Genotype ,Area ,Standard_dev,Skew,Kurt,Full_length,Final_length(squared),Area_normalised_to_squared_length,sex
+/+,10129,570,-0.0766,0.5356,"1,491","2,222,539",0.00455739992506117,female
+/+,8211,456,0.2455,0.5203,"1,250","1,563,250",0.00525251932878183,female
+/+,10502,420,-0.3992,2,"1,400","1,961,029",0.00535535286653627,female
+/+,12611,653,4,35,"1,169","1,365,547",0.00923512726729565,female
+/+,10202,436,0.2911,7,"1,152","1,326,271",0.00769224253170522,female
+/-,8231,496,0.1144,0.1305,"1,477","2,181,528",0.00377304277372133,female
+/-,7432,426,0.1086,0.3674,"1,368","1,872,282",0.00396948843396218,female
+/-,8453,522,0.0425,1,"1,450","2,103,294",0.0040189350370221,female
+/-,8292,415,-0.9247,4,"1,460","2,131,499",0.00389022003755565,female
+/-,8586,384,-0.9733,3,"1,324","1,754,272",0.00489433819896558,female
-/-,9020,497,0.298,1,"1,458","2,127,072",0.00424057102197714,female
-/-,8574,458,0.2618,0.7883,"1,176","1,383,293",0.00619825270563645,female
-/-,10552,430,0.1623,0.9142,"1,514","2,292,846",0.00460214103694109,female
-/-,10368,529,0.084,4,"1,061","1,126,368",0.00920480968225131,female
-/-,9826,506,-1,5,"1,183","1,399,658",0.00702028551094788,female
+/+,10457,629,-0.927,3,"1,483","2,199,038",0.00475526034217423,male
+/+,11259,448,-0.1123,0.1617,"1,468","2,153,898",0.00522726585329954,male
+/+,12875,506,6,99,"1,512","2,286,883",0.00562993279132598,male
+/+,9883,379,0.3036,1,"1,211","1,467,703",0.00673365146689931,male
+/+,11877,366,-0.1687,0.4844,"1,273","1,619,409",0.00733415614812195,male
+/-,9586,449,0.2908,0.7079,"1,505","2,263,613",0.00423482352264379,male
+/-,9638,485,-0.6893,2,"1,471","2,164,859",0.00445202194219542,male
+/-,7988,346,-0.1189,0.2216,"1,464","2,144,344",0.00372514898268056,male
+/-,8849,330,-0.5325,1,"1,118","1,250,578",0.00707592617153141,male
+/-,7240,277,-0.3656,0.5895,"1,371","1,879,901",0.00385126561352017,male
-/-,8718,450,-0.0824,0.7155,"1,165","1,356,301",0.00642777524544318,male
-/-,9021,432,-0.3569,0.3844,"1,458","2,126,823",0.00424153844863143,male
-/-,6925,436,-0.4606,0.9236,937,"878,600",0.00788185501890397,male
-/-,7347,338,0.0604,0.1893,"1,396","1,950,162",0.00376737883159506,male
-/-,9805,434,-0.306,0.34,"1,193","1,423,471",0.00688809416323746,male
