Genotype,sex,Area,Full_length,Final_length(squared),Area_normalised_to_squared_length
+/+,female,3301,823.7779,678610.02852841,0.004864354874269
+/+,female,4159,864.5782,747495.46391524,0.00556391336238476
+/+,female,2958,884.1299,781685.68007401,0.00378412970251666
+/-,female,2531,835.2247,697600.29949009,0.00362815211210493
+/-,female,3637,855.8883,732544.78207689,0.00496488418044352
+/-,female,3074,861.5161,742209.99055921,0.00414168502054779
-/-,female,1993,688.6421,474227.94189241,0.00420262035182263
-/-,female,1961,504.1254,254142.41892516,0.00771614596372232
-/-,female,1950,792.7341,628427.35330281,0.00310298396425845
+/+,male,3403,865.464,749027.935296,0.00454322174066206
+/+,male,2930,865.5177,749120.88901329,0.00391125123190634
+/+,male,2989,855.4947,731871.18172809,0.0040840520499009
+/-,male,3499,847.1434,717651.94016356,0.00487562257436738
+/-,male,3271,749.4071,561611.00153041,0.00582431610329286
+/-,male,3540,811.3356,658265.45582736,0.00537776966520391
-/-,male,2669,747.6023,558909.19896529,0.00477537318215754
-/-,male,3267,688.4399,473949.49591201,0.00689313951840668
-/-,male,3439,774.4343,599748.48501649,0.00573407034101211
