Genotype,Area,Mean,InDen,Median,RawIntDen,RawIntden_normalisedtoarea,Intden_norm,hemisphere
wt1M1,743.4788,105.1628,78186.3378,113,242190,325.752395360836,105.162834232799,L
wt2M1,1363.6364,86.4342,117864.7986,83,365098,267.738526193639,86.4341833350884,L
wt3M1,663.172,138.8787,92100.4344,146,1142277,1722.44455435392,138.878653501656,L
wt4M1,781.4544,90.5044,70725.092,93,877169,1122.48264262125,90.504438902641,L
wt5M1,1236.7653,95.5516,118174.9045,114,1465666,1185.08014414699,95.5516010192071,L
het1M1,895.9473,115.894,103834.9095,122,1287814,1437.37695286319,115.893992314057,L
het2M1,258.2541,49.2416,12716.8564,52,157721,610.720217026564,49.2416437919088,L
het3M1,231.2434,47.2594,10928.4288,50,135540,586.13564754713,47.2594192958588,L
hom1M1,688.8925,44.7055,30797.3025,46,381964,554.460964519138,44.7055273500583,L
hom2M1,676.3145,45.1662,30546.5469,46,378854,560.174297608583,45.1661865892274,L
hom3M1,745.3327,32.9106,24529.3801,31,304226,408.174765443674,32.9106452729097,L
wt1M2,1404.9587,79.9223,112287.5775,72,347822,247.567419597459,79.9223333041747,R
wt2M2,1382.6834,76.8961,106322.9597,68,329346,238.193356483487,76.8960990636034,R
wt3M2,1023.9859,118.4876,121329.5872,129,1504792,1469.54367242752,118.487556518112,R
wt4M2,789.1948,83.1782,65643.7839,95,814148,1031.61855602698,83.1781759079,R
wt5M2,832.4925,125.9856,104882.0358,135,1300801,1562.53780064085,125.985562392454,R
het1M2,1214.1086,89.6273,108817.2861,104,1349608,1111.60401960747,89.6273085455453,R
het2M2,275.3474,72.8214,20051.1754,80,248685,903.168143225613,72.8213718379037,R
het3M2,256.0771,68.3526,17503.547,73,217088,847.744683144256,68.3526445746223,R
hom1M2,638.9027,39.5083,25241.9776,42,313064,490.002624812824,39.5083282634429,R
hom2M2,575.3672,41.0517,23619.8065,43,292945,509.144421162694,41.0517083698897,R
hom3M2,455.5528,26.1278,11902.5861,24,147622,324.050252791773,26.1277860656328,R
