Adult;72h;48h;42h;36h;30h;24h;18h;12h;06h;L3
73;98;95;47;4;3;4;4;4;2;4
96;118;116;32;4;3;6;4;3;4;4
88;105;108;33;3;3;5;4;3;4;3
101;110;92;33;4;1;7;4;4;4;3
98;115;81;38;3;1;2;3;4;4;3
100;99;109;62;4;1;4;4;4;3;4
85;;111;57;2;1;2;4;4;4;4
116;;114;62;4;3;4;4;2;3;4
105;;;53;4;1;4;2;4;4;4
105;;;54;;1;;4;4;4;3
79;;;57;;1;;4;4;3;4
60;;;45;;4;;4;4;3;4
;;;45;;2;;;3;4;3
;;;51;;1;;;4;4;4
;;;56;;1;;;4;4;4
;;;;;;;;4;4;4
;;;;;;;;4;2;3
;;;;;;;;5;4;
;;;;;;;;4;4;
;;;;;;;;4;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;3;
;;;;;;;;;4;
;;;;;;;;;3;
;;;;;;;;;4;
;;;;;;;;;3;
;;;;;;;;;4;
;;;;;;;;;3;
;;;;;;;;;4;
;;;;;;;;;4;
