,groupA,groupB,p value,p value corrected,h,sig. level
0,42h,L3,0.0013600000000000279,0.0027200000000000557,True,**
1,42h,Adult,2e-05,5e-05,True,***
2,42h,48h,4.0790187512492e-06,2.0395093756246e-05,True,***
3,42h,36h,0.04062702676244201,0.05803860966063144,False,n.s.
4,L3,Adult,2e-05,5e-05,True,***
5,L3,48h,1.8491551672329704e-06,1.8491551672329702e-05,True,***
6,L3,36h,0.23174537133347203,0.23174537133347203,False,n.s.
7,Adult,48h,0.1423672302929269,0.15818581143658542,False,n.s.
8,Adult,36h,0.07897118361514655,0.09871397951893318,False,n.s.
9,48h,36h,0.018099547511312153,0.030165912518853588,True,*
