Adult;72h;48h;42h;36h;30h;24h;18h;12h;06h;L3
10;7;12;13;10;13;14;12;9;9;6
9;12;10;13;11;14;13;14;8;7;6
12;7;10;12;10;15;6;14;9;7;6
12;9;13;13;11;8;14;13;8;9;6
12;9;12;13;8;9;15;13;8;6;6
10;11;5;13;4;8;12;14;7;6;6
10;8;12;13;9;11;12;12;8;6;7
10;7;12;13;11;10;7;15;8;7;6
11;9;;12;9;8;;12;9;7;6
11;8;;12;13;10;;13;7;6;6
10;7;;14;12;9;;11;7;6;6
10;10;;9;14;11;;14;7;7;6
;9;;12;11;11;;;9;6;6
;9;;12;;10;;;9;6;5
;8;;12;;9;;;9;6;6
;10;;;;10;;;10;7;6
;8;;;;;;;6;6;7
;10;;;;;;;8;6;
;9;;;;;;;10;5;
;9;;;;;;;;5;
;9;;;;;;;;6;
;;;;;;;;;5;
;;;;;;;;;5;
;;;;;;;;;5;
;;;;;;;;;5;
;;;;;;;;;6;
;;;;;;;;;6;
;;;;;;;;;5;
;;;;;;;;;7;
;;;;;;;;;6;
;;;;;;;;;6;
;;;;;;;;;8;
;;;;;;;;;5;
;;;;;;;;;7;
;;;;;;;;;5;
;;;;;;;;;6;
;;;;;;;;;6;
;;;;;;;;;5;
