Adult;72h;48h;42h;36h;30h;24h;18h;12h;06h;L3
20;24;23;30;24;28;39;39;17;15;11
18;16;32;24;25;29;33;37;19;19;14
17;25;21;25;25;29;33;38;17;21;12
20;23;27;28;22;27;37;34;23;17;13
22;16;25;28;30;17;37;36;23;16;11
17;16;28;32;20;21;36;31;21;19;9
20;21;29;30;22;21;23;34;20;21;5
17;23;33;28;25;24;22;37;21;13;8
19;;;28;30;23;;30;19;9;10
23;;;35;25;24;;34;18;22;9
19;;;30;26;23;;;32;6;8
15;;;26;24;23;;;21;12;13
;;;27;30;22;;;20;20;13
;;;26;;20;;;21;15;13
;;;26;;20;;;22;17;12
;;;;;17;;;22;12;9
;;;;;;;;16;4;9
;;;;;;;;22;3;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;4;
;;;;;;;;;5;
;;;;;;;;;7;
;;;;;;;;;4;
;;;;;;;;;5;
;;;;;;;;;14;
;;;;;;;;;15;
;;;;;;;;;20;
;;;;;;;;;16;
;;;;;;;;;20;
;;;;;;;;;19;
;;;;;;;;;19;
;;;;;;;;;21;
;;;;;;;;;21;
;;;;;;;;;23;
