AI,factorial framing,Steve,letter_i,letter_ing,letter_l,letter_ly,ing to i__,i__ to ing,k_position,Linda,Peter,Kei,care_bear_neg,care_bear_pos,tumor_smurf,coin_story_pos,coin_story_neg,outbreak_story_pos,outbreak_story_neg
GPT3_5,X,L,500,1200,500,100,75,450,K,B,L,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,750,1100,1000,350,75,900,K,B,L,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,30000,1750,500,500,7.5,500,K,B,L,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,750,1000,500,500,75,1750,U,B,L,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,500,1750,350,500,75,1500,U,U,S,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,500,1750,500,150,150,500,U,U,S,A,B,A,33.2,T,T,G,G
GPT3_5,X,L,476,1750,500,100,125,500,U,U,S,A,B,A,33.2,S,T,G,G
GPT3_5,X,L,400,1100,800,100,500,500,U,U,S,A,B,A,33.2,S,T,G,G
GPT3_5,X,L,750,1100,500,750,150,500,U,U,S,A,B,A,33.2,S,T,G,G
GPT3_5,X,L,454,1000,500,500,450,500,U,U,S,A,B,A,33.2,S,T,G,G
GPT4,X,L,250,1250,400,750,650,1250,k,A,L,B,A,A,33.2,S,T,,
GPT4,X,L,1050,1350,500,500,750,1250,k,A,L,B,A,A,33.2,S,T,,
GPT4,X,F,500,2000,750,450,400,1250,k,A,S,B,A,U,33.2,S,T,,
GPT4,X,F,950,1750,400,750,750,1250,k,A,S,B,A,U,33.2,S,T,,
GPT4,X,F,1250,1250,1250,2000,750,1250,k,A,S,B,A,U,33.2,S,T,,
GPT4,X,L,900,1250,750,1000,500,1250,k,A,S,B,A,U,33.2,T,T,,
GPT4,X,L,150,1000,1500,750,750,1250,k,A,S,B,U,U,33.2,S,T,,
GPT4,X,L,600,2000,600,750,650,1250,k,A,S,B,U,U,33.2,S,T,,
GPT4,X,L,500,1500,1000,1500,750,1250,k,A,L,B,U,U,33.2,S,T,,
GPT4,X,L,1000,1250,400,1250,300,1250,k,A,L,B,U,U,33.2,S,T,,
