,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,wt_c2,2,mut_c4,2,7.671423342358192e-16,3.579997559767156e-15,True,***
1,wt_c2,2,mut_c2,2,0.01668192193051958,0.02458388495023938,True,*
2,wt_c2,2,wt_c4,2,4.322820432977914e-28,6.05194860616908e-27,True,***
3,wt_c2,2,wt_c3,2,0.4157964517029209,0.43119632028451055,False,n.s.
4,wt_c2,2,mut_c1,2,1.3707887490408975e-06,2.9524680748573177e-06,True,***
5,wt_c2,2,mut_c3,2,0.2597263494171676,0.2918977189683641,False,n.s.
6,wt_c2,2,wt_c1,2,0.21662639441733467,0.2637190888558857,False,n.s.
7,mut_c4,2,mut_c2,2,1.172430047269675e-07,2.735670110295908e-07,True,***
8,mut_c4,2,wt_c4,2,0.00909871772428677,0.014153560904446087,True,*
9,mut_c4,2,wt_c3,2,1.4912532314612237e-18,8.351018096182852e-18,True,***
10,mut_c4,2,mut_c1,2,0.001991465144231379,0.0032800602375575656,True,**
11,mut_c4,2,mut_c3,2,1.6477919718353757e-10,5.126463912376724e-10,True,***
12,mut_c4,2,wt_c1,2,6.297648425927322e-12,2.204176949074563e-11,True,***
13,mut_c2,2,wt_c4,2,1.418731494693884e-15,5.674925978775536e-15,True,***
14,mut_c2,2,wt_c3,2,0.0010251889445726547,0.0017940806530021458,True,**
15,mut_c2,2,mut_c1,2,0.028981529302519484,0.03864203907002598,True,*
16,mut_c2,2,mut_c3,2,0.2606229633646108,0.2918977189683641,False,n.s.
17,mut_c2,2,wt_c1,2,0.2833848492131255,0.30518368376798133,False,n.s.
18,wt_c4,2,wt_c3,2,8.914107498637149e-32,2.4959500996184017e-30,True,***
19,wt_c4,2,mut_c1,2,7.108014836188195e-09,1.9902441541326945e-08,True,***
20,wt_c4,2,mut_c3,2,2.7662955469228015e-19,1.936406882845961e-18,True,***
21,wt_c4,2,wt_c1,2,4.170721865459054e-23,3.892673741095117e-22,True,***
22,wt_c3,2,mut_c1,2,8.449586564184302e-09,2.1508038527014588e-08,True,***
23,wt_c3,2,mut_c3,2,0.04271864493159508,0.05436918445839374,False,n.s.
24,wt_c3,2,wt_c1,2,0.02394530797166354,0.03352343116032896,True,*
25,mut_c1,2,mut_c3,2,0.0006591966057367182,0.0012305003307085407,True,**
26,mut_c1,2,wt_c1,2,0.00022577679986864806,0.0004515535997372961,True,***
27,mut_c3,2,wt_c1,2,1.0,1.0,False,n.s.
