,"distance to center of stream, mm",id,sex,genotype
0,82.97615359988512,Frei-HM,F,rei-HM
1,83.55530216482248,Frei-HM,F,rei-HM
2,84.90507175055781,Frei-HM,F,rei-HM
3,86.43154131746465,Frei-HM,F,rei-HM
4,85.03205351074239,Frei-HM,F,rei-HM
5,85.50291524259873,Frei-HM,F,rei-HM
6,84.71038669435163,Frei-HM,F,rei-HM
7,83.51830582498988,Frei-HM,F,rei-HM
8,88.3734769208316,Frei-HM,F,rei-HM
9,84.74823966818963,Frei-HM,F,rei-HM
10,80.65311925472346,Frei-HM,F,rei-HM
11,83.99919097525537,Frei-HM,F,rei-HM
12,86.78893122364809,Frei-HM,F,rei-HM
13,84.3572975882227,Frei-HM,F,rei-HM
14,85.66297566103474,Frei-HM,F,rei-HM
15,84.03683787584535,Frei-HM,F,rei-HM
16,83.07501043078406,Frei-HM,F,rei-HM
17,84.54432155580564,Frei-HM,F,rei-HM
18,83.80880245212133,Frei-HM,F,rei-HM
19,82.70203479691376,Frei-HM,F,rei-HM
20,83.26039344057224,Frei-HM,F,rei-HM
21,86.66820511881431,Frei-HM,F,rei-HM
22,84.17777973666027,Frei-HM,F,rei-HM
23,83.0275011033506,Frei-HM,F,rei-HM
24,86.00173529711444,Frei-HM,F,rei-HM
25,85.1309642597089,Frei-HM,F,rei-HM
26,84.79012645084752,Frei-HM,F,rei-HM
27,85.81394959357414,Frei-HM,F,rei-HM
28,86.1022526204408,Frei-HM,F,rei-HM
29,84.11909779672999,Frei-HM,F,rei-HM
30,81.09909376609428,Frei-HM,F,rei-HM
31,88.3599571159873,Frei-HM,F,rei-HM
32,86.32045955266977,Frei-HM,F,rei-HM
33,88.58503976022402,Frei-HM,F,rei-HM
34,87.53899279088445,Frei-HM,F,rei-HM
35,87.68751045727058,Frei-HM,F,rei-HM
36,82.98479057052523,Frei-HM,F,rei-HM
37,88.0744839882176,Frei-HM,F,rei-HM
38,88.76102689061165,Frei-HM,F,rei-HM
39,86.64421242240596,Frei-HM,F,rei-HM
40,86.82405361060955,Frei-HM,F,rei-HM
41,84.66248526828508,Frei-HM,F,rei-HM
42,84.00057223804549,Frei-HM,F,rei-HM
43,83.59522612143755,Frei-HM,F,rei-HM
44,82.4932879910506,Frei-HM,F,rei-HM
45,84.35242262242905,Frei-HM,F,rei-HM
46,84.23405815602003,Frei-HM,F,rei-HM
47,83.52654100592274,Frei-HM,F,rei-HM
48,82.48660485865761,Frei-HM,F,rei-HM
49,84.53455879034384,Frei-HM,F,rei-HM
50,89.39104091386349,Frei-HM,F,rei-HM
51,85.48609932405995,Frei-HM,F,rei-HM
52,83.28567809954109,Frei-HM,F,rei-HM
53,86.82403980208178,Frei-HM,F,rei-HM
54,84.39741912069711,Frei-HM,F,rei-HM
0,84.33995748652544,Frei-HT,F,rei-HT
1,82.8136709199618,Frei-HT,F,rei-HT
2,82.61824262935573,Frei-HT,F,rei-HT
3,84.34831746052424,Frei-HT,F,rei-HT
4,82.85624916157118,Frei-HT,F,rei-HT
5,87.69423525872062,Frei-HT,F,rei-HT
6,83.63761282714606,Frei-HT,F,rei-HT
7,83.8111981831577,Frei-HT,F,rei-HT
8,84.34537202198702,Frei-HT,F,rei-HT
9,84.37391959767224,Frei-HT,F,rei-HT
10,83.11438565018723,Frei-HT,F,rei-HT
11,84.08327486405302,Frei-HT,F,rei-HT
12,82.44251166496629,Frei-HT,F,rei-HT
13,85.80380033131954,Frei-HT,F,rei-HT
14,85.00609697200227,Frei-HT,F,rei-HT
15,83.64167059791836,Frei-HT,F,rei-HT
16,83.94627953384693,Frei-HT,F,rei-HT
17,82.58039210950517,Frei-HT,F,rei-HT
18,85.59562848553453,Frei-HT,F,rei-HT
19,83.27545086764334,Frei-HT,F,rei-HT
20,85.05402027820617,Frei-HT,F,rei-HT
21,84.98469638222933,Frei-HT,F,rei-HT
22,83.09405851324456,Frei-HT,F,rei-HT
23,84.26914871835189,Frei-HT,F,rei-HT
24,84.83249488415476,Frei-HT,F,rei-HT
25,81.66446574087777,Frei-HT,F,rei-HT
26,83.00593782959177,Frei-HT,F,rei-HT
27,83.80948969829707,Frei-HT,F,rei-HT
28,85.55033064914346,Frei-HT,F,rei-HT
29,83.74347487010789,Frei-HT,F,rei-HT
30,81.8147356497312,Frei-HT,F,rei-HT
31,83.32891684420605,Frei-HT,F,rei-HT
32,82.74701938670246,Frei-HT,F,rei-HT
33,86.78752106139581,Frei-HT,F,rei-HT
34,84.09930127809437,Frei-HT,F,rei-HT
35,82.53967808512462,Frei-HT,F,rei-HT
36,85.30310388290567,Frei-HT,F,rei-HT
37,79.18092340904073,Frei-HT,F,rei-HT
38,85.54480207234556,Frei-HT,F,rei-HT
39,85.92078274487008,Frei-HT,F,rei-HT
40,85.72936357522349,Frei-HT,F,rei-HT
41,81.30821920023196,Frei-HT,F,rei-HT
42,83.9902064856822,Frei-HT,F,rei-HT
43,84.36883065793911,Frei-HT,F,rei-HT
44,86.0384332443102,Frei-HT,F,rei-HT
45,84.17936970270024,Frei-HT,F,rei-HT
46,83.27260098757009,Frei-HT,F,rei-HT
47,80.57942682681566,Frei-HT,F,rei-HT
48,84.3262880226046,Frei-HT,F,rei-HT
49,84.37926666232917,Frei-HT,F,rei-HT
50,81.61752584453781,Frei-HT,F,rei-HT
51,83.42970074399467,Frei-HT,F,rei-HT
52,83.78180612813193,Frei-HT,F,rei-HT
53,85.67763322879716,Frei-HT,F,rei-HT
54,89.56264800176976,Frei-HT,F,rei-HT
55,84.24612625414862,Frei-HT,F,rei-HT
56,87.11839177899382,Frei-HT,F,rei-HT
57,85.29449989381592,Frei-HT,F,rei-HT
58,84.56411870074848,Frei-HT,F,rei-HT
59,85.62390228988716,Frei-HT,F,rei-HT
60,87.47256688882962,Frei-HT,F,rei-HT
61,82.96770997736186,Frei-HT,F,rei-HT
62,87.45636651934481,Frei-HT,F,rei-HT
63,83.81348257255391,Frei-HT,F,rei-HT
64,87.69021012366244,Frei-HT,F,rei-HT
65,85.60587372358725,Frei-HT,F,rei-HT
66,87.5181209861234,Frei-HT,F,rei-HT
67,87.27808106858704,Frei-HT,F,rei-HT
68,88.7184257000472,Frei-HT,F,rei-HT
69,84.96815165798861,Frei-HT,F,rei-HT
70,88.4441063266856,Frei-HT,F,rei-HT
71,87.1895802943898,Frei-HT,F,rei-HT
72,85.49149589949812,Frei-HT,F,rei-HT
73,85.1172487833255,Frei-HT,F,rei-HT
74,83.54396631627426,Frei-HT,F,rei-HT
75,85.02478984809608,Frei-HT,F,rei-HT
76,85.6086761068509,Frei-HT,F,rei-HT
77,83.80856502436548,Frei-HT,F,rei-HT
78,84.78070807765224,Frei-HT,F,rei-HT
0,85.8453641501545,Frei-INT,F,rei-INT
1,83.22114927180081,Frei-INT,F,rei-INT
2,85.23013688599079,Frei-INT,F,rei-INT
3,86.96106145252472,Frei-INT,F,rei-INT
4,83.90287166581527,Frei-INT,F,rei-INT
5,84.04691004358341,Frei-INT,F,rei-INT
6,85.25630422887245,Frei-INT,F,rei-INT
7,83.93542438530639,Frei-INT,F,rei-INT
8,83.27187121985533,Frei-INT,F,rei-INT
9,84.5052438981943,Frei-INT,F,rei-INT
10,81.09404008148327,Frei-INT,F,rei-INT
11,83.72807125447571,Frei-INT,F,rei-INT
12,83.81943275605394,Frei-INT,F,rei-INT
13,83.36854593640892,Frei-INT,F,rei-INT
14,83.2196798503035,Frei-INT,F,rei-INT
15,82.17939109983652,Frei-INT,F,rei-INT
16,84.29406544061743,Frei-INT,F,rei-INT
17,83.47269529093751,Frei-INT,F,rei-INT
18,83.46250770310886,Frei-INT,F,rei-INT
19,80.3652205468376,Frei-INT,F,rei-INT
20,82.49144926803848,Frei-INT,F,rei-INT
21,86.5435010836755,Frei-INT,F,rei-INT
22,87.48029365166451,Frei-INT,F,rei-INT
23,86.64117559579049,Frei-INT,F,rei-INT
24,84.72908757543235,Frei-INT,F,rei-INT
25,84.30406944879914,Frei-INT,F,rei-INT
26,86.11958949184645,Frei-INT,F,rei-INT
27,85.656942404562,Frei-INT,F,rei-INT
28,83.34987087213709,Frei-INT,F,rei-INT
29,84.32329679952522,Frei-INT,F,rei-INT
30,82.05627226088312,Frei-INT,F,rei-INT
31,81.29375997672625,Frei-INT,F,rei-INT
32,83.81556392512508,Frei-INT,F,rei-INT
33,84.7709175425765,Frei-INT,F,rei-INT
34,87.60391702595601,Frei-INT,F,rei-INT
0,85.27275387376757,Mrei-HM,M,rei-HM
1,84.49634623077853,Mrei-HM,M,rei-HM
2,83.25789533819298,Mrei-HM,M,rei-HM
3,84.08025105825644,Mrei-HM,M,rei-HM
4,81.42458813913767,Mrei-HM,M,rei-HM
5,85.69134905004123,Mrei-HM,M,rei-HM
6,86.99486237093018,Mrei-HM,M,rei-HM
7,80.51525193823912,Mrei-HM,M,rei-HM
8,83.57023463010944,Mrei-HM,M,rei-HM
9,83.3761809505917,Mrei-HM,M,rei-HM
10,83.98267739483026,Mrei-HM,M,rei-HM
11,84.69155229865653,Mrei-HM,M,rei-HM
12,83.20457603189179,Mrei-HM,M,rei-HM
13,83.25391078605111,Mrei-HM,M,rei-HM
14,83.88637591641408,Mrei-HM,M,rei-HM
15,83.9804738004142,Mrei-HM,M,rei-HM
16,85.79273589140819,Mrei-HM,M,rei-HM
17,83.74039687632204,Mrei-HM,M,rei-HM
18,84.76950015874226,Mrei-HM,M,rei-HM
19,84.10683116170557,Mrei-HM,M,rei-HM
20,85.80327294849977,Mrei-HM,M,rei-HM
21,85.1783129222498,Mrei-HM,M,rei-HM
22,82.63931713242637,Mrei-HM,M,rei-HM
23,83.61134362573017,Mrei-HM,M,rei-HM
24,84.76068034946273,Mrei-HM,M,rei-HM
25,82.92153458272,Mrei-HM,M,rei-HM
26,85.22403057735393,Mrei-HM,M,rei-HM
27,83.94767130653962,Mrei-HM,M,rei-HM
28,81.64992507721037,Mrei-HM,M,rei-HM
29,81.03750050031286,Mrei-HM,M,rei-HM
30,85.06429466407386,Mrei-HM,M,rei-HM
31,84.91546933124606,Mrei-HM,M,rei-HM
32,87.77328280462842,Mrei-HM,M,rei-HM
33,85.22376206005003,Mrei-HM,M,rei-HM
34,83.1705616758423,Mrei-HM,M,rei-HM
35,84.01465460677232,Mrei-HM,M,rei-HM
36,87.8533881963377,Mrei-HM,M,rei-HM
37,85.73327207673128,Mrei-HM,M,rei-HM
38,83.17597661896184,Mrei-HM,M,rei-HM
39,86.94383972058918,Mrei-HM,M,rei-HM
40,87.15039313368655,Mrei-HM,M,rei-HM
41,86.24091318091126,Mrei-HM,M,rei-HM
42,84.69706133992334,Mrei-HM,M,rei-HM
43,86.55335638886493,Mrei-HM,M,rei-HM
44,82.47581665618529,Mrei-HM,M,rei-HM
45,81.31283032434405,Mrei-HM,M,rei-HM
46,86.20590955700774,Mrei-HM,M,rei-HM
47,85.93072700518235,Mrei-HM,M,rei-HM
48,83.0417525039561,Mrei-HM,M,rei-HM
49,85.32108691980221,Mrei-HM,M,rei-HM
50,83.76959058964346,Mrei-HM,M,rei-HM
51,82.06826108549168,Mrei-HM,M,rei-HM
52,86.84414374116507,Mrei-HM,M,rei-HM
53,86.08181819706462,Mrei-HM,M,rei-HM
54,84.10269491091367,Mrei-HM,M,rei-HM
55,82.35199818423467,Mrei-HM,M,rei-HM
56,84.10806788810771,Mrei-HM,M,rei-HM
57,85.88952631348724,Mrei-HM,M,rei-HM
58,84.07473935149409,Mrei-HM,M,rei-HM
59,83.49317235592879,Mrei-HM,M,rei-HM
60,84.45899064601957,Mrei-HM,M,rei-HM
61,86.52164013672059,Mrei-HM,M,rei-HM
62,84.74682415187672,Mrei-HM,M,rei-HM
63,83.80725131278027,Mrei-HM,M,rei-HM
64,85.93786930239423,Mrei-HM,M,rei-HM
65,88.48323037425277,Mrei-HM,M,rei-HM
66,87.20073475528457,Mrei-HM,M,rei-HM
67,86.31346138121489,Mrei-HM,M,rei-HM
68,88.35399315896862,Mrei-HM,M,rei-HM
69,81.76086523828627,Mrei-HM,M,rei-HM
70,87.76533587440827,Mrei-HM,M,rei-HM
71,83.06647438460479,Mrei-HM,M,rei-HM
72,87.85901892250592,Mrei-HM,M,rei-HM
73,88.00633443990259,Mrei-HM,M,rei-HM
74,83.15369982162159,Mrei-HM,M,rei-HM
75,83.89751258528368,Mrei-HM,M,rei-HM
76,87.41089087493614,Mrei-HM,M,rei-HM
0,83.42917505058924,Mrei-HT,M,rei-HT
1,85.05891891247745,Mrei-HT,M,rei-HT
2,82.3944772562285,Mrei-HT,M,rei-HT
3,84.75852636269738,Mrei-HT,M,rei-HT
4,83.28013821306195,Mrei-HT,M,rei-HT
5,85.0129004723619,Mrei-HT,M,rei-HT
6,83.19848764073376,Mrei-HT,M,rei-HT
7,82.5948433302028,Mrei-HT,M,rei-HT
8,85.0198061912896,Mrei-HT,M,rei-HT
9,84.25955028082379,Mrei-HT,M,rei-HT
10,83.47392551203843,Mrei-HT,M,rei-HT
11,85.44083029267296,Mrei-HT,M,rei-HT
12,83.84248528845072,Mrei-HT,M,rei-HT
13,85.51262280328137,Mrei-HT,M,rei-HT
14,83.22500084385787,Mrei-HT,M,rei-HT
15,82.62244068345552,Mrei-HT,M,rei-HT
16,84.42061382267475,Mrei-HT,M,rei-HT
17,85.76827985734427,Mrei-HT,M,rei-HT
18,84.43280910931702,Mrei-HT,M,rei-HT
19,82.75636431217107,Mrei-HT,M,rei-HT
20,85.19608139237545,Mrei-HT,M,rei-HT
21,82.83287349451106,Mrei-HT,M,rei-HT
22,83.81104401983814,Mrei-HT,M,rei-HT
23,84.13459360910878,Mrei-HT,M,rei-HT
24,82.87179132414357,Mrei-HT,M,rei-HT
25,83.77696563814669,Mrei-HT,M,rei-HT
26,81.64333745408132,Mrei-HT,M,rei-HT
27,85.17301400452622,Mrei-HT,M,rei-HT
28,86.47085500864245,Mrei-HT,M,rei-HT
29,85.07895668929726,Mrei-HT,M,rei-HT
30,83.75601073822583,Mrei-HT,M,rei-HT
31,83.1802518603279,Mrei-HT,M,rei-HT
32,84.82330473351954,Mrei-HT,M,rei-HT
33,80.25894820577011,Mrei-HT,M,rei-HT
34,84.30139410466913,Mrei-HT,M,rei-HT
35,83.55301680062598,Mrei-HT,M,rei-HT
36,85.26484337431081,Mrei-HT,M,rei-HT
37,85.93941949547145,Mrei-HT,M,rei-HT
38,80.53149455058275,Mrei-HT,M,rei-HT
39,84.56454003562052,Mrei-HT,M,rei-HT
40,82.30144913464389,Mrei-HT,M,rei-HT
41,84.88380156788828,Mrei-HT,M,rei-HT
42,84.09266048184206,Mrei-HT,M,rei-HT
43,84.62468746303169,Mrei-HT,M,rei-HT
44,85.32006333404911,Mrei-HT,M,rei-HT
45,88.01940291037239,Mrei-HT,M,rei-HT
46,86.29728128914994,Mrei-HT,M,rei-HT
47,84.92425903318029,Mrei-HT,M,rei-HT
48,85.28337798805079,Mrei-HT,M,rei-HT
49,83.12079970608605,Mrei-HT,M,rei-HT
50,83.2243269365387,Mrei-HT,M,rei-HT
51,85.64983243703608,Mrei-HT,M,rei-HT
52,84.54234847687808,Mrei-HT,M,rei-HT
53,85.07867608912858,Mrei-HT,M,rei-HT
54,82.55345641193131,Mrei-HT,M,rei-HT
55,85.5319503277282,Mrei-HT,M,rei-HT
56,84.0713241602596,Mrei-HT,M,rei-HT
57,84.12679949631396,Mrei-HT,M,rei-HT
58,83.00573877950721,Mrei-HT,M,rei-HT
59,82.44402390258864,Mrei-HT,M,rei-HT
60,85.38296673983533,Mrei-HT,M,rei-HT
61,82.94552195369093,Mrei-HT,M,rei-HT
62,83.53926819125854,Mrei-HT,M,rei-HT
63,82.86514697367521,Mrei-HT,M,rei-HT
64,83.36287963660237,Mrei-HT,M,rei-HT
65,85.49350143269989,Mrei-HT,M,rei-HT
66,84.96099836746825,Mrei-HT,M,rei-HT
67,88.38520500072326,Mrei-HT,M,rei-HT
68,83.10443585203295,Mrei-HT,M,rei-HT
69,81.55326405175147,Mrei-HT,M,rei-HT
70,80.45176218609745,Mrei-HT,M,rei-HT
71,84.77866579369805,Mrei-HT,M,rei-HT
72,82.77655906326675,Mrei-HT,M,rei-HT
73,80.30655659835035,Mrei-HT,M,rei-HT
74,83.58356304404177,Mrei-HT,M,rei-HT
75,81.62648883542185,Mrei-HT,M,rei-HT
76,80.66628869256914,Mrei-HT,M,rei-HT
77,82.99095157572961,Mrei-HT,M,rei-HT
0,82.61340573391755,Mrei-INT,M,rei-INT
1,83.8405306921183,Mrei-INT,M,rei-INT
2,83.7692826096993,Mrei-INT,M,rei-INT
3,85.2408741614918,Mrei-INT,M,rei-INT
4,84.52335824167014,Mrei-INT,M,rei-INT
5,86.37153049112453,Mrei-INT,M,rei-INT
6,84.14498989865996,Mrei-INT,M,rei-INT
7,83.02648759638933,Mrei-INT,M,rei-INT
8,86.80277861806034,Mrei-INT,M,rei-INT
9,83.95272342811768,Mrei-INT,M,rei-INT
10,82.60233545816435,Mrei-INT,M,rei-INT
11,84.32268834538036,Mrei-INT,M,rei-INT
12,82.51166749951624,Mrei-INT,M,rei-INT
13,81.32299430542065,Mrei-INT,M,rei-INT
14,81.67912260205028,Mrei-INT,M,rei-INT
15,83.8883302073883,Mrei-INT,M,rei-INT
16,86.86836581237733,Mrei-INT,M,rei-INT
17,82.94140219482681,Mrei-INT,M,rei-INT
18,85.14193977094955,Mrei-INT,M,rei-INT
19,82.35428057272448,Mrei-INT,M,rei-INT
20,86.27680921361295,Mrei-INT,M,rei-INT
21,84.3595940899813,Mrei-INT,M,rei-INT
22,83.4002655752798,Mrei-INT,M,rei-INT
23,84.59491934614503,Mrei-INT,M,rei-INT
24,81.71838964260942,Mrei-INT,M,rei-INT
25,82.02210603390179,Mrei-INT,M,rei-INT
26,83.06142341415752,Mrei-INT,M,rei-INT
27,82.71828939165985,Mrei-INT,M,rei-INT
28,81.91014884236918,Mrei-INT,M,rei-INT
29,82.29988561943253,Mrei-INT,M,rei-INT
30,86.61002232512213,Mrei-INT,M,rei-INT
31,83.57557562957778,Mrei-INT,M,rei-INT
32,81.74113733256894,Mrei-INT,M,rei-INT
33,84.15232367843406,Mrei-INT,M,rei-INT
34,85.7205993639713,Mrei-INT,M,rei-INT
35,83.71443570234867,Mrei-INT,M,rei-INT
36,84.52602481197817,Mrei-INT,M,rei-INT
