AI,factorial framing,Steve,letter_i,letter_ing,letter_l,letter_ly,ing to i__,i__ to ing,k_position,Linda,Peter,Kei,framing_neg,framing_pos,tumor
GPT3_5,X,L,500,1200,500,100,75.0,450,K,B,L,A,B,A,33.2
GPT3_5,X,L,750,1100,1000,350,75.0,900,K,B,L,A,B,A,33.2
GPT3_5,X,L,30000,1750,500,500,7.5,500,K,B,L,A,B,A,33.2
GPT3_5,X,L,750,1000,500,500,75.0,1750,U,B,L,A,B,A,33.2
GPT3_5,X,L,500,1750,350,500,75.0,1500,U,U,S,A,B,A,33.2
GPT3_5,X,L,500,1750,500,150,150.0,500,U,U,S,A,B,A,33.2
GPT3_5,X,L,476,1750,500,100,125.0,500,U,U,S,A,B,A,33.2
GPT3_5,X,L,400,1100,800,100,500.0,500,U,U,S,A,B,A,33.2
GPT3_5,X,L,750,1100,500,750,150.0,500,U,U,S,A,B,A,33.2
GPT3_5,X,L,454,1000,500,500,450.0,500,U,U,S,A,B,A,33.2
GPT4,X,L,250,1250,400,750,650.0,1250,k,A,L,B,A,A,33.2
GPT4,X,L,1050,1350,500,500,750.0,1250,k,A,L,B,A,A,33.2
GPT4,X,F,500,2000,750,450,400.0,1250,k,A,S,B,A,U,33.2
GPT4,X,F,950,1750,400,750,750.0,1250,k,A,S,B,A,U,33.2
GPT4,X,F,1250,1250,1250,2000,750.0,1250,k,A,S,B,A,U,33.2
GPT4,X,L,900,1250,750,1000,500.0,1250,k,A,S,B,A,U,33.2
GPT4,X,L,150,1000,1500,750,750.0,1250,k,A,S,B,U,U,33.2
GPT4,X,L,600,2000,600,750,650.0,1250,k,A,S,B,U,U,33.2
GPT4,X,L,500,1500,1000,1500,750.0,1250,k,A,L,B,U,U,33.2
GPT4,X,L,1000,1250,400,1250,300.0,1250,k,A,L,B,U,U,33.2
