Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
27/06/2018 08:30:24,female,22.0,1103.0,21,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
27/06/2018 08:31:29,female,25.0,10.0,9,20,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:32:46,male,24.0,1000.0,13,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
27/06/2018 08:34:06,male,23.0,500000.0,3.5,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:34:17,female,23.0,231.0,9,20,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:35:35,female,28.0,0.0,9,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:35:57,female,28.0,400000.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:36:22,female,,10.0,9,100,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
27/06/2018 08:36:30,female,24.0,1000.0,21,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
19/11/2018 17:02:04,male,32.0,10000.0,21,100,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:27:50,male,25.0,1056.0,9,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
24/04/2019 08:28:02,female,24.0,215.0,13,20,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:28:02,female,23.0,1000.0,6,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:28:53,female,23.0,3567.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:29:24,female,22.0,200000.0,6,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:29:25,female,29.0,10000.0,21,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:30:16,male,22.0,100000.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
24/04/2019 08:30:55,male,23.0,4560.0,13,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
24/04/2019 08:31:52,female,24.0,362880.0,3.5,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
24/04/2019 08:32:10,female,23.0,500000.0,1.5,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:36:22,female,18.0,200.0,9,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:36:53,male,19.0,10.0,21,50,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:36:57,Prefer not to say,22.0,10.0,21,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:36:57,male,24.0,10024.0,6,100,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:37:02,female,20.0,10.0,21,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:37:27,male,18.0,500.0,3.5,30,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:37:36,male,20.0,1200.0,13,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:37:39,male,19.0,1000000.0,3.5,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:37:43,male,20.0,1000.0,3.5,40,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
03/05/2019 10:38:07,male,19.0,10000.0,1.5,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:13,male,18.0,6570.0,6,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:15,male,20.0,1000.0,9,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:18,female,20.0,50000.0,9,40,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:26,,,362880.0,3.5,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,3.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:35,male,19.0,1000.0,21,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:39,male,19.0,479.0,13,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:40,male,,10.0,9,90,,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:50,male,22.0,10.0,0.0,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,1.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:38:59,male,24.0,10000.0,1.5,30,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
03/05/2019 10:39:00,female,20.0,45.0,13,30,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
