,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
0,15V,dark,0.0,0.0,,68.69592143652658,,,female
1,15V,dark,0.0,0.0,,224.04187586518796,,,female
2,15V,dark,0.0,0.0,,367.1748576144804,,,female
3,15V,dark,0.0,0.0,,1121.1079179286749,,,male
4,15V,dark,0.02249146487100724,0.005536980105882161,8.12409090909091,3155.0909944537457,1.4817893257857424,0.7620517200546683,male
5,15V,dark,0.05093014973755973,0.011829002953475526,8.611063829787232,7238.220830895459,1.1966292337489377,0.7202256120794978,male
6,15V,dark,0.0,0.0,,511.0650401738466,,,female
7,15V,dark,0.0,0.0,,594.4232670469313,,,female
8,15V,dark,0.0,0.0,,422.2128003838034,,,female
9,15V,dark,0.1288883128192415,0.03250459003066732,7.926413632842758,14208.281994867037,1.4321647676203013,0.7831450141267039,male
10,15V,dark,0.0,0.0,,774.4412895426769,,,male
11,15V,dark,0.11296446139655222,0.02562111703540018,8.818074656188605,15059.922272979356,1.3525452576716346,0.7373402587429875,male
12,15V,dark,0.0004454752176096102,0.00010067236556149384,8.85,335.02753027293363,0.8891350085896927,0.6808262764918868,female
13,15V,dark,0.0,0.0,,794.593959011592,,,female
14,15V,dark,0.25382271848105536,0.049392379353607914,10.277777777777779,26163.33689332203,1.5348102492720286,0.7976947915751029,female
15,15V,dark,0.0,0.0,,1462.934349370659,,,male
16,15V,dark,0.029050269487338562,0.00538597155753992,10.787383177570094,4938.544852489793,1.4330881754145337,0.7747071931693271,male
17,15V,dark,0.046669191865169504,0.010973287846202828,8.505963302752294,6673.936653278369,1.3625020082668189,0.7350653859203696,male
18,15V,dark,0.0,0.0,,315.7646038644246,,,female
19,15V,dark,0.0,0.0,,612.6278031413239,,,female
20,15V,dark,0.005825154752301937,0.001258404569518673,9.258,1376.8728214176251,1.3687697375825776,0.8429779711091663,female
21,15V,dark,0.03173318802955237,0.006141014299251124,10.33483606557377,4023.0636836341,1.6217995783095747,0.8388078616372856,male
22,15V,dark,0.015136090162170596,0.003221515697967803,9.396875000000001,2203.7106662955466,1.672524150917806,0.8960151904769003,male
23,15V,dark,0.0931835999682882,0.02324273239900989,8.01863488624052,10719.111660626473,1.3083860431807897,0.733340740568932,male
24,15V,dark,0.025910550086389473,0.00538597155753992,9.621495327102803,2774.9450330435516,1.4375431096555817,0.828372380805035,female
25,15V,dark,0.012723728602403301,0.0029950028754544417,8.496638655462185,2888.2702830187764,1.3392384451430472,0.8044593479907376,female
26,15V,dark,0.0437106827222311,0.011036208074678762,7.911415525114155,5301.205412064627,1.6784484975473672,0.7930143661308391,female
27,15V,dark,0.2535030837203976,0.05407364435221737,9.376443202979516,22487.51108505628,1.6160095105554144,0.8625692401366002,male
28,15V,dark,0.09139540707500217,0.01946751869045387,9.38706338939198,12980.002056697012,1.7117229847585382,0.7659462812625466,male
29,15V,dark,0.020622734085272012,0.004945529958208385,8.360714285714286,3846.104647132157,1.3661681197271869,0.7529304044391275,male
30,15V,dark,0.0001157732203957179,2.516809139037346e-05,9.2,467.41970024519526,0.6666738281242548,0.6082875441780233,female
31,15V,dark,0.0,0.0,,706.906591909282,,,female
32,15V,dark,0.0,0.0,,523.4458187702327,,,female
33,15V,dark,0.0,0.0,,866.6828310369904,,,male
34,15V,dark,0.09170497459910376,0.013968290721657268,13.13045045045045,9655.966991855004,1.5078732115103182,0.7961030274525928,male
35,15V,dark,0.030583006253012305,0.007651099782673531,7.994407894736843,4996.742391812711,1.262870300827469,0.7197554831774176,male
36,15V,dark,0.013780788440798986,0.0039010541655078858,7.06516129032258,1933.9309837687465,1.3380259836181447,0.740595593063032,female
37,15V,dark,0.029840547556996288,0.006241686664812618,9.561693548387096,4254.740776694312,1.4894332997299635,0.8604414277724894,female
38,15V,dark,0.018418009279475296,0.004379247901924982,8.411494252873563,3391.8920020092264,1.450293680824487,0.8065495948843854,female
39,15V,dark,0.03965610319924194,0.00850681488994623,9.323372781065089,5170.245214411569,1.5030839112258083,0.7923309318128893,male
40,15V,dark,0.10442996160607658,0.0224751056116035,9.292945128779396,12529.782317068491,1.5383856669911902,0.7710743425472646,male
41,15V,dark,0.07990239814158813,0.02120411699638964,7.531591448931117,8282.55728217456,1.342310381671624,0.756741658978844,male
42,15V,dark,0.015430556831437967,0.00392622225689826,7.860256410256409,2548.6373160733397,1.1986207438285825,0.7551671583130051,female
43,15V,dark,0.0732894821287675,0.012873478746176024,11.385909980430528,9156.359994903922,1.5535909095700169,0.7533955635835586,female
44,15V,dark,0.00020889515854009968,2.516809139037346e-05,16.6,597.5044338232857,0.5553295621507675,0.5347540549384503,female
45,15V,dark,0.00783231004068422,0.0018372706714972623,8.526027397260274,1166.8079549568627,1.5424199222629627,0.9027124443417638,male
46,15V,dark,0.03611243593147735,0.009400282134304487,7.67935656836461,8132.369413604057,1.291145902615827,0.6772540316287602,male
47,15V,dark,0.07464730065927816,0.01946751869045387,7.669598965071151,9248.906539967787,1.2323352806320178,0.7270716104524475,male
48,15V,dark,0.022268727262202435,0.006820552766791207,6.529889298892989,4150.220594451667,1.1401462439260528,0.6594875675625265,female
49,15V,dark,0.005049977537478434,0.0011703162496523659,8.567391304347826,1740.2989189847697,1.4125840244810122,0.7647636358832524,female
