,genotype,activity_ratio,speed_ratio
0,15V,,0.5044747718475187
1,15V,,0.427159502055101
2,15V,,0.4996478067504275
3,15V,1.0,0.4805194747846617
4,15V,1.0,0.5838819552788498
5,15V,0.8956469886702445,0.4347397030707226
6,15V,,0.5159692878499972
7,15V,,0.3866186208524599
8,15V,,0.43528582485506784
9,15V,0.9813925570228091,0.7634004683794549
10,15V,1.0,0.5185209311397381
11,15V,1.0,0.6026971679723561
12,15V,0.9674074074074074,0.5054702972689691
13,15V,,0.5272235640416809
14,15V,0.865074633120495,0.3471608215981862
15,15V,,0.4943822624199546
16,15V,1.0,0.4961628490090212
17,15V,0.9876986160943106,0.49980777806365306
18,15V,,0.5516341234608817
19,15V,,0.49475970274435355
20,15V,0.9584605986560782,0.5711207463057748
21,15V,0.995697463768116,0.6738167213594102
22,15V,0.8907528641571195,0.5032954323606172
23,15V,0.9023099133782483,0.5168892543067956
24,15V,1.0,0.5452444602518566
25,15V,0.9442013129102844,0.34756518799536246
26,15V,1.0,0.47458966508703715
27,15V,1.0,0.5718625480383994
28,15V,0.9066278401435872,0.6356788587041651
29,15V,1.0,0.5106335168493203
30,15V,,0.4194270287163231
31,15V,,0.42582082953626077
32,15V,,0.4442466183371966
33,15V,0.9125506072874494,0.48859573728278316
34,15V,0.8238736102984201,0.40609150424414797
35,15V,1.0,0.6921815054934186
36,15V,0.8241822429906542,0.5148458547557849
37,15V,0.9519832985386222,0.5258361797782307
38,15V,1.0,0.7026106198147504
39,15V,0.952316076294278,0.507875963797633
40,15V,0.8907063197026023,0.4921290491275526
41,15V,0.9280340075918501,0.47972969147429545
42,15V,0.818783865141481,0.442813533408842
43,15V,0.884452702612095,0.4282638385000917
44,15V,,0.4450714280844594
45,15V,,0.4511819841825626
46,15V,1.0,0.5218733638420417
47,15V,0.9586249485384932,0.7273436830104003
48,15V,0.9776649746192894,0.7354588524748796
49,15V,0.9859007832898172,0.9129134767293783
50,15V,0.5,0.29197878694323554
51,15V,0.5694014447884417,0.5841045329690993
52,15V,0.950828729281768,0.7009173493174532
53,15V,1.0,0.9436717308711612
54,15V,0.909054805401112,0.6831388642648692
55,15V,0.9008651766402307,0.48136250847514206
56,15V,,0.4266397980275145
57,15V,1.0,0.35864231544794567
58,15V,1.0,0.8264442021566709
59,15V,1.0,0.5877939267158786
60,15V,0.9940357852882704,0.6109948746868996
61,15V,1.0,0.618495024422584
62,15V,,0.5033202542480836
63,15V,1.0,0.9886610865900409
64,15V,1.0,0.9757103776638132
65,15V,1.0,0.9486293374949742
66,15V,1.0,0.6488209285878432
67,15V,1.0,0.6557046368814425
68,15V,0.8999842957853844,0.5268257516266516
69,15V,1.0,0.9669891313885464
70,15V,1.0,0.9698132135571561
71,15V,0.7386973421344416,0.11017484218845577
72,15V,0.8454800420134533,0.5368493877682385
73,15V,1.0,0.41907556719059635
74,15V,1.0,0.4698134714818315
75,15V,0.9409131602506715,0.4878086642671981
76,15V,1.0,0.9690745624447976
77,15V,1.0,0.9715793352851873
78,15V,1.0,0.4083324476761354
79,15V,,0.4721463437335727
80,15V,0.987319741422178,0.7367326152012005
81,15V,0.9005883167220377,0.49053818204553445
82,15V,1.0,0.9735319491175989
83,15V,1.0,0.7505661006509925
84,15V,1.0,0.5531585539587789
85,15V,1.0,0.5645921866505319
86,15V,1.0,0.7353587170589727
87,15V,1.0,0.9544503427780524
88,15V,0.9505718954248366,0.662022322751967
89,15V,0.9757998359310911,0.9483904121051179
90,15V,0.8254879448909299,0.33401955551756024
91,15V,1.0,0.5957583210687956
92,15V,1.0,0.8056085634479997
93,15V,1.0,0.9766744168262194
94,15V,1.0,0.9772519360068912
95,15V,1.0,0.6478079204130702
96,15V,0.913704128440367,0.41497362224393247
97,15V,0.9910714285714286,0.5236261431318174
98,15V,1.0,0.47915905833944517
99,15V,0.9154698399671728,0.7840760021799877
100,15V,1.0,0.9815998972567715
101,15V,1.0,0.9703525025537674
102,15V,1.0,0.5637541162886239
103,15V,0.8443483631871526,0.264716601936659
104,15V,0.5910931174089069,0.583238048118277
105,15V,0.854341736694678,0.35857022751241197
106,15V,0.9249843191550553,0.6268675280288576
107,15V,1.0,0.9889320824779718
108,13V,0.9033018867924528,0.5978500937540441
109,13V,0.7059859154929577,0.37750228375007033
110,13V,1.0,0.38541243957936244
111,13V,1.0,0.47029571867099856
112,13V,0.9318923327895595,0.48961557681501733
113,13V,0.7135847457627118,0.4199347548434177
114,13V,1.0,0.4644718378212493
115,13V,1.0,0.4946835408292841
116,13V,0.7948717948717949,0.4469338179811093
117,13V,0.648854961832061,0.11495324163178736
118,13V,1.0,0.9528130442234521
119,13V,0.9368641532016757,0.5440536690768749
120,13V,1.0,0.5481154498300849
121,13V,1.0,0.451219446253173
122,13V,1.0,0.8523583864877984
123,13V,0.8779836617383114,0.4634626660040561
124,13V,1.0,0.7145600199477765
125,13V,1.0,0.5771991917108116
126,13V,1.0,0.4122544527440405
127,13V,1.0,0.6433935121178078
128,13V,0.25704225352112675,0.5448087907738293
129,13V,1.0,0.6542733688317648
130,13V,1.0,0.5657932200903856
131,13V,0.8862028301886793,0.5006120999974972
132,13V,1.0,0.5088127579668109
133,13V,1.0,0.5046996163645239
134,13V,1.0,0.6810270834367658
135,13V,1.0,0.4585106260973496
136,13V,0.9585308056872037,0.6587550703669411
137,13V,1.0,0.8041415386578172
138,13V,1.0,0.6964329178068681
139,13V,1.0,0.5170874969028498
140,13V,1.0,0.5224835097813842
141,13V,1.0,0.6670687804887258
