,genotype,activity_ratio,speed_ratio
0,3V,,1.10692710669849
1,3V,,1.3705163295967302
2,3V,9.209302325581396,1.7231970466554436
3,3V,7.192691029900332,0.7888370284634793
4,3V,,61.3839038419827
5,3V,,0.6646355982270501
6,3V,,1.3783751476375496
7,3V,,1.191236247526814
8,3V,,0.8065458719277818
9,3V,,1.631785254593813
10,3V,,7.247973738748016
11,3V,14.533898305084746,4.745747708470457
12,3V,,1.541116724534401
13,3V,3.229235880398671,0.45842388429921105
14,3V,,5.227910486558264
15,3V,,0.5916411174403058
16,3V,,2.568211711162432
17,3V,,1.3878086811879955
18,3V,,25.48508755137664
19,3V,,53.57922525978199
20,3V,,2.901463066279713
21,3V,7.120567375886525,0.8543715549453132
22,3V,21.096153846153847,5.208381811608271
23,3V,,99.89236031271426
24,3V,2.417910447761194,0.2726733079731868
25,3V,,0.9724175817427966
26,3V,,0.5079987468524686
27,3V,13.443708609271523,3.4349244061608166
28,3V,8.054054054054054,0.9520433496546429
29,3V,7.564705882352941,0.8329993029479154
30,3V,,2.197944200361717
31,3V,,1.4186867147607682
32,3V,,1.1088239017752441
33,3V,,1.5447726037830658
34,3V,,38.75208084883661
35,3V,,81.39394453986216
36,3V,,21.35429057599848
37,3V,,5.458156902092149
38,3V,,1.0549394846735258
39,3V,,31.89170603878287
40,3V,,1.208056223778595
41,3V,,2.5184503673741587
42,3V,4.338983050847458,0.12703557729202947
43,3V,,2.561170726140327
44,3V,13.144329896907216,8.237747622210117
45,3V,,3.2201233137461456
46,3V,,1.2099513484832998
47,3V,,2.038590494913005
48,3V,,30.955013740862626
49,3V,,1.1632785818509221
50,3V,,1.272264496509416
51,3V,,2.1868999507454636
52,15V,,48.58305557733943
53,15V,,56.87726176618748
54,15V,9.243801652892563,1.8914141095324788
55,15V,7.043189368770764,0.7351969453409618
56,15V,,69.23202939577854
57,15V,,15.82480989790499
58,15V,,2.927945599727274
59,15V,,7.257768073442824
60,15V,,35.49595584398007
61,15V,,11.156252131930863
62,15V,,33.551352170959966
