genotype,sex,large_spikes
+/+,female,0
+/+,female,0
+/+,female,17
+/+,female,17
+/+,female,0
+/+,female,7
+/+,female,0
+/+,female,0
+/+,female,0
+/-,female,8
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,0
+/-,female,1
-/-,female,0
-/-,female,0
-/-,female,0
-/-,female,0
-/-,female,0
+/+,male,1
+/+,male,1
+/+,male,0
+/+,male,3
+/+,male,2
+/+,male,0
+/+,male,2
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,1
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/+,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
+/-,male,0
-/-,male,3
-/-,male,0
-/-,male,0
-/-,male,0
-/-,male,0
