genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,M,24,c-start,08-2019,1.476922761490978,1.6302103163343957,3.688130007854996
rei-HT,M,11,c-start,08-2019,2.107339744628303,2.127612150083162,3.7223877069222624
rei-HT,M,1,c-start,08-2019,1.9758625410528152,1.94863570097624,3.4158308583107013
rei-HT,M,6,c-start,08-2019,1.79879067862541,1.8941576075966557,3.1292121540401525
rei-HT,M,70,c-start,08-2019,1.5797384189248862,1.6975734095089017,3.49134433326999
rei-HT,M,15,c-start,08-2019,1.9552580949379759,1.9189999866806895,3.430011010858022
rei-HT,M,17,c-start,08-2019,1.4527253141821572,1.566028117822371,2.956760121444313
rei-HT,M,10,c-start,08-2019,2.190382665832434,2.2935208448917663,4.670728959433761
rei-HT,M,23,c-start,08-2019,2.4077567856184015,2.483600333049326,5.336405979209503
rei-HT,M,21,c-start,08-2019,2.1162051203196777,2.2016062531137655,4.5357277630735275
rei-HT,M,31,c-start,08-2019,2.5120881413910596,2.626959209478158,4.627653540461187
rei-HT,M,27,c-start,08-2019,1.4486557419672166,1.793702180095844,4.061167155589425
rei-HT,M,20,c-start,08-2019,1.7222058915007548,1.731151122193683,2.9392260189637964
rei-HT,M,14,c-start,08-2019,1.6118203879979751,1.8065660506465129,3.045648499293843
rei-HT,M,91,c-start,08-2019,1.0763281167303176,1.2710676931176457,2.307272307687532
rei-HT,M,4,c-start,08-2019,1.3940460743475964,1.461189113369648,3.2891380880013394
rei-HT,M,61,c-start,08-2019,2.1733445269635494,2.4107893212642724,3.994569239506948
rei-HT,M,30,c-start,08-2019,1.6180928145424716,1.6615144023747273,3.0906030388117736
rei-HT,M,13,c-start,08-2019,1.8720614506323483,1.9331596277485132,3.78725437101363
rei-HT,M,71,c-start,08-2019,1.2320873361489308,1.3220284797550492,2.342513475112675
rei-HT,M,18,c-start,08-2019,1.052679740484015,1.0337020826312193,1.9608092008296107
rei-HT,M,41,c-start,08-2019,1.3691400909231057,1.433792087737944,3.290864094037051
rei-HT,M,7,c-start,08-2019,1.7688565420735278,1.9754316471693085,4.378115181342612
rei-HT,M,40,c-start,08-2019,1.4200405174161321,1.6111193295382722,3.790090633346251
rei-HT,M,12,c-start,08-2019,1.758927172590174,1.9168633743504664,3.680586369904213
rei-HT,M,50,c-start,08-2019,1.8915694186108705,1.9648078058095593,4.17931534719094
rei-HT,M,16,c-start,08-2019,2.5474807224435994,2.5376990541349786,5.176566161928046
rei-HT,M,51,c-start,08-2019,2.16044154772495,2.20260514757859,4.4344453654784814
rei-HT,M,80,c-start,08-2019,2.8420680046857303,2.8997869927650703,6.16478033144961
rei-HT,M,2,c-start,08-2019,1.928396557816303,2.1502031165090143,4.632463849984385
rei-HT,M,32,c-start,08-2019,2.3118835807525535,2.278248634245049,4.4800846418969265
rei-HT,M,81,c-start,08-2019,1.9723180681470924,2.0148182267864425,3.5069019054279202
rei-HT,M,60,c-start,08-2019,1.9947208611223985,2.2443581936015216,4.400858526978241
rei-HT,M,90,c-start,08-2019,1.0070079508271619,1.1159957641971638,3.339083100663853
rei-HT,M,3,c-start,08-2019,1.6398974642019184,1.7272847072477815,3.2438308260398605
rei-HT,M,9,c-start,08-2019,2.262224767692112,2.4029785266281234,6.621087242880836
rei-HT,M,19,c-start,08-2019,1.8561609524839355,1.887290336370046,3.4047649478119597
rei-HT,M,28,c-start,08-2019,1.7402071688125906,1.8134295168129593,4.405487622798024
rei-HT,M,29,c-start,08-2019,1.563512527428953,1.6109042251164416,2.580305023613615
rei-HT,F,41,c-start,08-2019,1.947534705969936,1.9553417407054507,4.1043907251446745
rei-HT,F,8,c-start,08-2019,1.9501238694327097,2.2125209544318207,5.080016866363512
