genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-INT,F,9,counter current,11-2018,0.6521320894368199,0.7659534408534131,1.9534972664111425
rei-INT,F,3,counter current,11-2018,1.0875709583533637,1.2874832080017473,3.1789551635913087
rei-INT,F,6,counter current,11-2018,0.7234842178287391,0.8509157834108962,2.0308260655274486
rei-INT,F,2,counter current,11-2018,0.8952026113465954,1.039090976907668,2.9896229352456847
rei-INT,M,4,counter current,11-2018,0.7105555488590949,0.783545203572151,1.9095001667474412
rei-INT,F,7,counter current,11-2018,0.8296684358918165,0.8684376036490616,2.7139634205666354
rei-INT,M,1,counter current,11-2018,0.8291007815691992,0.9168620259565713,2.478702474424994
rei-INT,M,10,counter current,11-2018,0.8002310884585866,0.9004638944782621,2.0443686243371135
rei-INT,M,12,counter current,11-2018,0.8147224734322802,1.015226491089286,2.554830583218904
rei-INT,M,7,counter current,11-2018,0.794434759147421,0.9737031698525296,2.7605767133907455
rei-INT,F,4,counter current,11-2018,0.718933360334242,0.7831768910692586,1.8144209321574134
rei-INT,M,8,counter current,11-2018,0.8531390608417917,0.942462480952332,2.7024378251491115
rei-INT,M,5,counter current,11-2018,0.853631102299945,0.9358705899798513,2.4002754694814445
rei-INT,M,14,counter current,11-2018,0.8679152331425157,0.921821887956068,2.379029192761035
rei-INT,F,13,counter current,11-2018,0.6795625389054711,0.7277734342372484,2.0499245530369685
rei-INT,F,11,counter current,11-2018,0.8186133727138307,0.9736083556986637,1.9750605856693713
rei-INT,M,9,counter current,11-2018,0.7366241996811063,0.8258448791810628,1.9762377864979699
rei-INT,M,3,counter current,11-2018,0.8328742526618593,0.9278576188569534,2.450884396402304
rei-INT,M,2,counter current,11-2018,0.6967722649156096,0.7446835986471758,1.9229383605361154
rei-INT,M,15,counter current,11-2018,0.7378773439742352,0.8798434797492714,2.366367364989408
rei-INT,M,11,counter current,11-2018,0.6914451975775964,0.7642465018325095,2.051232255522384
rei-INT,F,5,counter current,11-2018,0.767384094283661,0.9183385924007237,2.1335524219947626
rei-INT,F,15,counter current,11-2018,0.7945468737618219,1.0391573549563051,2.3945960420526093
rei-INT,F,8,counter current,11-2018,0.7784015036207328,0.9407992085295794,2.1857459345407575
rei-INT,M,13,counter current,11-2018,0.6365201390935148,0.7949514316366039,2.263607354596719
rei-INT,F,10,counter current,11-2018,0.6562621490136348,0.7253792523832268,1.7678140983388997
rei-HM,M,1,counter current,11-2018,1.029038343413062,1.1937987923959539,3.4780328564142944
rei-HM,M,4,counter current,11-2018,1.1548940448479863,1.3607213577002955,3.756258023756729
rei-HM,M,6,counter current,11-2018,1.4630871283132634,1.6127320951164767,4.315226297798734
