genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-INT,F,60,free swimming,11-2018,1.335297896005502,1.3833882184691433,2.807895444230481
rei-INT,F,29,free swimming,11-2018,1.4716220728087515,1.592269085022895,3.015208622067623
rei-INT,F,13,free swimming,11-2018,1.2474264883008517,1.3679757261621797,3.0579787233034494
rei-INT,F,4,free swimming,11-2018,1.4554726058490024,1.559981681786393,2.8330359528057363
rei-INT,F,17,free swimming,11-2018,1.5361159313122288,1.676693419976252,3.090957488931527
rei-INT,F,8,free swimming,11-2018,1.3548559866751109,1.4067826284065645,2.3549338203267576
rei-INT,F,20,free swimming,11-2018,1.5943625208075065,1.7106395602942617,2.886645112699078
rei-INT,F,25,free swimming,11-2018,1.2879114800520388,1.3612938500807679,3.095267475321406
rei-INT,F,36,free swimming,11-2018,1.6399207809986371,1.6707795403279577,2.7842426583372104
rei-INT,F,21,free swimming,11-2018,1.4379781670817988,1.5290740903401678,3.118996095186226
rei-INT,F,32,free swimming,11-2018,1.5189245351396248,1.76473498132648,3.9126688095493587
rei-INT,F,90,free swimming,11-2018,1.3770866170601233,1.4659073364396178,2.9012213038619294
rei-INT,F,10,free swimming,11-2018,1.1339124893435937,1.195291882965539,2.36779878513115
rei-INT,F,26,free swimming,11-2018,1.4561860324904037,1.6604571055127657,3.3310327106684956
rei-INT,F,35,free swimming,11-2018,1.2125236652643596,1.337410391687919,3.18584322174396
rei-INT,F,11,free swimming,11-2018,1.4299147630552849,1.5310069018806605,3.0174714549393884
rei-INT,F,22,free swimming,11-2018,1.6666558972221508,1.5986882282218555,2.7083975985573017
rei-INT,F,31,free swimming,11-2018,1.5024560024487452,1.6665190727060628,3.151590394416706
rei-INT,F,14,free swimming,11-2018,1.0983174659646324,1.223858273881643,2.127072831445556
rei-INT,F,3,free swimming,11-2018,1.5094590885155283,1.507631209957601,2.589295270363516
