genotype,sex,animalNo,expType,birthDate,thrust_mean_m/s,slip_mean_m/s,yaw_mean_m/s,thrust_median_m/s,slip_median_m/s,yaw_median_m/s,cruising_thrust_mean_m/s,cruising_slip_mean_m/s,cruising_yaw_mean_m/s,cruising_thrust_median_m/s,cruising_slip_median_m/s,cruising_yaw_median_m/s,activity_duration_s,activity_fraction,sec_to_first_stop,torque
rei-INT,F,60,free swimming,11-2018,0.059245977145396804,0.021158342880454404,152.89209801390433,0.05656005509086335,0.007814311669155399,59.95383650856638,0.060885987783386566,0.021624993511515814,157.17199515338496,0.05786151882295225,0.00783912181813795,62.646364926581555,28.90363980000001,0.9635060823196134,29.96840550000001,0.001081152406590523
rei-INT,F,29,free swimming,11-2018,0.1446845527617625,0.03767536943629199,289.90917102891206,0.1349498972978101,0.0192521552585699,136.63548432174366,0.1446845527617625,0.03767536943629199,289.90917102891206,0.1349498972978101,0.0192521552585699,136.63548432174366,29.99579999999998,0.9998333611064822,29.990800699999983,0.0012313877726166762
rei-INT,F,13,free swimming,11-2018,0.029457500666489552,0.013401422205912053,92.08156609138895,0.02783777154445465,0.0035052770870094997,22.93087997479688,0.035335147332763495,0.017769955712959144,126.21033144710556,0.033306912121713106,0.0050393908947022,43.3364025896708,20.650319999999947,0.6878853524412598,29.909947499999927,0.0009975808886490212
rei-INT,F,4,free swimming,11-2018,0.06445518028433928,0.02157967694189402,158.46832092284,0.057420882215355,0.0067929329492729,54.21146171028823,0.06730232311762968,0.022336578752271772,165.5558579636162,0.0596517950070547,0.0067903582603272,57.65998329397348,28.276956000000045,0.945024077046549,29.897928000000046,0.0013749658125421537
rei-INT,F,17,free swimming,11-2018,0.11983223978141702,0.031725399792515194,251.40055049338517,0.1076244036375193,0.01302579983596075,104.89289153858294,0.1211805624390116,0.031944511379309905,254.2880030468938,0.1089166278068493,0.0130673311562875,108.92263659885656,29.62788760000007,0.9876687218796867,29.98780120000007,0.0012510721375439521
rei-INT,F,8,free swimming,11-2018,0.05319125944578064,0.018329733257224805,165.02118316026488,0.0479378018035857,0.0041107751350432,32.25473847461302,0.05507984489073568,0.019135274844967624,172.90948650260705,0.0503437928816495,0.004225808434431,34.40768872458477,28.279534499999976,0.9468256094294133,29.859731999999976,0.0016844218812844458
rei-INT,F,20,free swimming,11-2018,0.03338721679362118,0.01866596812332875,109.46088173545365,0.02192872129236955,0.0033888367138370998,17.548490462172595,0.05560807338315087,0.031962687789933907,191.0417106957497,0.05001897963376965,0.015235733960856649,88.85630821815198,16.577347200000027,0.5525745709048492,19.27191600000003,0.000803950552122834
rei-INT,F,25,free swimming,11-2018,0.14393590311387391,0.0298753322810241,243.9625136419059,0.1342842191262562,0.0160931353403275,125.05126028851237,0.14393590311387391,0.0298753322810241,243.9625136419059,0.1342842191262562,0.0160931353403275,125.05126028851237,29.98800000000002,0.9998333611064822,29.98300200000002,0.0013115051787337558
rei-INT,F,36,free swimming,11-2018,0.05636804485015388,0.022965481471303933,178.920783775076,0.0465218756676833,0.00626054971045765,45.97704696082019,0.06593392671950676,0.027206873075615017,213.7884909789757,0.05480165244604495,0.00915018133639375,82.29776256088144,24.761980799999954,0.8251958006998833,29.99739959999994,0.0009002450612696937
rei-INT,F,21,free swimming,11-2018,0.1109816412140718,0.037051091925224565,277.24395509518,0.0859048207888395,0.0109368756771813,80.11775320172632,0.11787303758297177,0.03940895423784849,295.3734917225659,0.0913164813831257,0.0129592934069953,96.09899581776916,28.298141999999956,0.9358125992588672,30.231107999999953,0.0012196734553603181
rei-INT,F,32,free swimming,11-2018,0.07625830718553842,0.021874577470257377,142.31848865204896,0.0708502620659648,0.0047787916603517,33.02310975995226,0.07699623612384651,0.02210741260009892,143.9585666404325,0.07129982086044935,0.00486158547225815,33.69217354708951,29.61644559999995,0.9871688051991335,29.99140059999995,0.0024540077227370484
rei-INT,F,90,free swimming,11-2018,0.016189145652640388,0.011607731897601482,76.21503421342503,0.0128703561977942,0.0035387793627505004,15.411248163707114,0.03031127645965513,0.027180582735686985,190.62648829564833,0.029333557836941353,0.01532870588719715,110.58511427791018,10.215503200000015,0.34060989835027494,29.966808800000045,0.00041365973486699227
rei-INT,F,10,free swimming,11-2018,0.06345014182130893,0.014371295141136197,141.56480112099243,0.0551332249256553,0.0031421069981164,29.762110670816355,0.06617357343815809,0.01507753573720343,148.79491667586814,0.05769030145720115,0.00322867236575705,31.29620452940962,28.85101120000006,0.941544885177453,30.63420840000006,0.0020945400005129822
rei-INT,F,26,free swimming,11-2018,0.02601235529113861,0.012907274684958519,89.91891945083003,0.01071857143699155,0.00419042227057845,14.801189057351394,0.0529771983469785,0.026259133109926,200.68434178645435,0.048027821135421,0.0145337894883612,74.33043196535465,12.287787799999977,0.40959840026662225,25.545400999999952,0.0010072390618859563
rei-INT,F,35,free swimming,11-2018,0.04583206535182481,0.015902886341549616,119.73494570446361,0.0388276612069687,0.004778831303430001,35.30102278119216,0.0503814417995508,0.01774506679604256,135.4501434996373,0.04347197783688455,0.005764272220710151,44.76804619006316,25.836899199999955,0.8611898016997167,29.986401199999946,0.0012436219079785882
rei-INT,F,11,free swimming,11-2018,0.09894199965043148,0.024753507707213056,206.81572990553764,0.08976588310669814,0.0082625840089054,72.66485386170416,0.0990191203674328,0.024772013001022573,206.97468812462003,0.08984532695311889,0.00826868947202375,73.05053759240536,29.971198800000032,0.9988335277453758,29.99119960000003,0.001397903735118586
rei-INT,F,22,free swimming,11-2018,0.045208239276176246,0.01780726034090959,151.316999511209,0.0376960071169255,0.0032608572762087,23.168980986497445,0.06328634815682574,0.025350585806754988,220.09331414474815,0.05788336198177825,0.0058741467102081495,56.22604048604174,19.97600640000003,0.6700643776824035,29.192318400000048,0.0013331257765938796
rei-INT,F,31,free swimming,11-2018,0.12132135791563095,0.031037872680630345,268.0477536861035,0.1127700178168282,0.011811193236304751,91.40606688621347,0.1213886348566345,0.03105239409804062,268.19963794205194,0.1128123952329811,0.011811193236304751,91.64979667182251,29.984197200000043,0.9991668055324112,29.994198600000043,0.001355443945837555
rei-INT,F,14,free swimming,11-2018,0.029228206858326247,0.008836343414157564,72.23998848453533,0.01301912988869955,0.0020459304389988,9.922539839884337,0.05840276087241466,0.017651028726263344,154.60317472620923,0.0540298378243424,0.0037634267845402,31.018108178960667,12.88890719999998,0.4318821165438714,26.37748439999996,0.002029090506872072
rei-INT,F,3,free swimming,11-2018,0.06525037116359911,0.02116805590150482,164.72893796794025,0.0529942553632725,0.005313374891453,40.61028390228172,0.0784012660803991,0.02589894988898062,202.64606316580742,0.0666773187928029,0.0086984633164645,66.77941130918441,24.084772400000002,0.8033880218754168,28.283512400000003,0.0013402520100381638
rei-INT,F,1,free swimming,11-2018,0.07149005734107775,0.017163745818164232,145.54285603131487,0.0617294462551888,0.00408510534420315,33.58202862067117,0.07440053084942341,0.01795472309792326,152.51961303495267,0.0646801616026648,0.0043693154616945,35.862760314408604,28.286374200000036,0.9474460383429414,29.72731020000004,0.002165810338235403
rei-INT,F,18,free swimming,11-2018,0.14773186834197227,0.04534388256306593,395.88441044801294,0.135396737598853,0.02851946326345765,228.7635205119784,0.14993074968613293,0.04598013472839655,401.9447419826136,0.13696844815165665,0.029410258634535752,239.6416138646032,29.490559999999956,0.9838252459563115,29.960409599999956,0.0007958466460609873
rei-INT,F,7,free swimming,11-2018,0.07828726608316333,0.02152770177162844,158.21690814782346,0.07140356825559754,0.0050420220911808,36.61054208887293,0.07948274814634657,0.02183307844048985,160.77838565245375,0.0723140255827877,0.0050878144670478,36.940881230421496,31.194384899999985,0.9806167400881057,31.786962099999982,0.0022036730588347844
rei-INT,F,15,free swimming,11-2018,0.07958931871802737,0.028304409223667417,201.4364738047818,0.0642203981320548,0.0084666246723263,51.588075838921554,0.08453336834590941,0.0299144988390141,215.16522781773676,0.0685627667357814,0.00892246416017535,57.13596400771337,28.364649600000046,0.9263515278140506,30.611750400000048,0.001484361619254769
rei-INT,F,23,free swimming,11-2018,0.014739613771553358,0.005094344949093673,38.98538562457127,0.0046638511900346,0.0006285015473694,2.853493097504156,0.05988983987343225,0.025479309756261267,208.64737737916752,0.0517269957884428,0.0044071456330414,24.992909184334167,5.080568299999993,0.17161760734539563,29.26023599999996,0.00216599727365059
rei-INT,F,30,free swimming,11-2018,0.08713545256306478,0.020759314200918814,159.5041253996363,0.011536433545603849,0.0026403940095751,10.194301621910995,0.1760124956189424,0.04148130042211407,324.15384620140253,0.1642132458306119,0.0265200153955314,206.44283643177917,14.54383640000003,0.48475254124312617,14.53883680000003,0.0010369868142024122
rei-INT,F,27,free swimming,11-2018,0.1751223063427552,0.045430295760676684,362.0080417302566,0.15776388389933654,0.030996653116346952,222.03283267496087,0.17520015718604054,0.04544604622397141,362.1688002556333,0.1578423689941895,0.0310164418700268,222.19048824001027,29.98020240000005,0.999333444425929,29.99020080000005,0.0009256771954594482
rei-INT,F,34,free swimming,11-2018,0.17728468694781988,0.04845518198071501,351.6063287173736,0.1656097832275352,0.0346850947432406,258.51647853714326,0.1776483168457326,0.04854591077255384,352.27247518354574,0.1657187837130543,0.0350434416318853,259.3298376942755,29.93440129999994,0.9976670554907515,29.994400099999943,0.0008865231451660548
rei-INT,F,80,free swimming,11-2018,0.06592749082877163,0.02630362566654381,173.34058609178226,0.0635206151957049,0.00677088557107605,52.48007658269672,0.07514254423565703,0.029896338890361196,197.77406344652448,0.07056827388926515,0.010164991811152,72.14845185905006,25.878447200000025,0.8625229128478586,29.99320030000003,0.0011517269926463371
rei-INT,F,19,free swimming,11-2018,0.04260131922704798,0.010501340246039041,81.44912841421166,0.040096221744451044,0.0031152728466474497,25.29286833379274,0.04593182376003586,0.01138440271715802,89.56708527870873,0.0432243573429065,0.00328458183450165,28.9994513124352,26.26527139999995,0.875520746542243,29.969604499999942,0.0017767231491860158
rei-INT,F,6,free swimming,11-2018,0.05566324773784955,0.01753264883937628,126.46601904457631,0.0504765427729716,0.0037086881620451,25.105465044248376,0.058822776732172205,0.018762028074811244,135.9083847109801,0.05352177000574275,0.0039089081845221,27.141336403890378,27.446390400000055,0.9198606271777003,29.81756020000006,0.002155968796467224
rei-INT,F,38,free swimming,11-2018,0.06461111510034374,0.01570879474769039,115.2754754722735,0.05423725934367525,0.003515399637958,20.58222932105096,0.07236930098480075,0.01762158908998382,130.39393431715135,0.0593460078383022,0.0042387892519083,27.301012593886757,26.130881699999975,0.8713547742042993,29.97880269999997,0.0025526371383375558
rei-INT,F,2,free swimming,11-2018,0.05386621440103069,0.019850425562119307,159.24588081510655,0.0372769055913045,0.0045063308205384,34.07046693632765,0.06876583311127069,0.026222005494204493,212.8894928897924,0.050975932037173,0.0079799747165705,68.21164379574896,21.940318200000043,0.7331640833778728,29.90552940000006,0.0010541979323377604
rei-INT,F,24,free swimming,11-2018,0.0724639615621368,0.020083616444450142,159.14741357017851,0.0483180901858648,0.0041328850373632,23.558022038201894,0.10442333914859864,0.029001041944996822,233.93484706750968,0.0879066931239556,0.0089350263514497,68.24432570020322,19.918035999999972,0.6690840719849583,29.761111999999958,0.0015401199688737362
rei-INT,F,16,free swimming,11-2018,0.10762630557997574,0.051040837785517275,440.7545762625032,0.10235139900439325,0.03669597902093495,264.34475991477484,0.11512404970453367,0.05471293556961094,473.31805139706,0.109028896167083,0.0418366173015048,301.50690789641885,27.886707499999947,0.9290118313614397,28.396921699999943,0.0005024903464278508
rei-INT,F,9,free swimming,11-2018,0.028284630230305023,0.010706671371075366,86.30003316573803,0.0174029853472905,0.001577663273706,9.196865959864908,0.052408603018200536,0.021343098976516484,175.23403973755578,0.0437193928216351,0.0045696319503805,35.48883215735543,14.100945999999979,0.47039210456121633,27.37830399999996,0.0014784499599032174
rei-INT,F,12,free swimming,11-2018,0.05849807456528045,0.02510387224581579,179.9790539601416,0.055594042252674045,0.0125645589352596,79.86587587352112,0.061192786334138466,0.02578320397295954,188.16308475494031,0.05786196856388365,0.0123413203508653,84.91922283488628,28.955688599999952,0.942845983595886,30.69494909999995,0.0008837441256888138
rei-INT,F,5,free swimming,11-2018,0.043573863096001565,0.03167675704983825,204.91219767161155,0.03844037663496,0.01758041728682825,82.93421631283238,0.0514433977553706,0.03651275600200378,244.7854124982921,0.04718912842929855,0.0229774853708989,122.15934014399465,24.260851200000037,0.8082100493136078,29.937986400000046,0.0005896335067394554
rei-INT,F,28,free swimming,11-2018,0.059830627088440724,0.02879008384349056,219.0587509577811,0.0446863850160001,0.008849148637555,48.383490266124696,0.0925406421013276,0.04383686665987273,342.5680591518201,0.082451127624906,0.03064933634073585,251.36002301515106,18.745125000000012,0.6248958506915514,20.739606300000013,0.000547402553190279
rei-INT,F,70,free swimming,11-2018,0.07242982079722717,0.0322766248544583,209.61914675690693,0.061423820280024896,0.008301629223515801,54.054073623433396,0.07308935919531226,0.03251700500904018,211.44746997897033,0.0618176521929849,0.0082418727881499,54.23238122280054,29.673899499999944,0.9886685552407932,29.953983499999946,0.0014580798818117817
rei-INT,F,33,free swimming,11-2018,0.1043560124466055,0.041629497653246306,329.37721823381463,0.09892102992066745,0.0275618199597726,201.7361374300663,0.10606891718676219,0.042198733196609085,334.6491949906238,0.10012386408949506,0.0287803649484612,206.17484990473403,29.45292960000007,0.9818363606065655,29.97780360000007,0.0006429772801474652
rei-INT,F,37,free swimming,11-2018,0.048034273660584235,0.013363640569279689,95.76647025946849,0.01137176523934125,0.0030081602176047504,17.676963062712048,0.10849242018372592,0.02883467725578884,213.53541260393698,0.094885588361592,0.0100491177778445,69.7750905672251,12.193292699999994,0.40643226128978505,26.671265499999983,0.0017553649528005894
rei-INT,M,60,free swimming,11-2018,0.11306955770304115,0.032300704834980015,226.88764432422153,0.09403735724517455,0.010853333662994648,73.61903348585486,0.15771104003264297,0.0445232628040424,316.56671185777446,0.13405651460803936,0.0293758047440891,196.43110666344938,21.30596399999998,0.7098816863856025,30.003398599999972,0.0010392989167231164
rei-INT,M,29,free swimming,11-2018,0.09334721125741785,0.022884512978341143,151.9146209828532,0.0869392952438121,0.00378052987186975,20.692077730831215,0.10678555196796866,0.026359384258684313,175.96811721247514,0.09932637374736,0.0048645297058872,28.56388790122537,25.66089360000004,0.8553574404265956,29.98020240000005,0.0037898163971102207
