sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Fructose,18.15,%,0.5605948379009743,0.5552223311609666,female_18.15
male,Fructose,18.15,%,0.7135608577469043,-1.0,male_18.15
female,Fructose,18.15,%,0.0084913112164296,-0.0454971369078604,female_18.15
male,Fructose,18.15,%,-0.2462613661982415,-0.9607472215653818,male_18.15
female,Fructose,18.15,%,0.212581220171353,0.1555774804217796,female_18.15
male,Fructose,18.15,%,0.0748308172826652,0.0564109370852137,male_18.15
female,Fructose,18.15,%,-0.7405729598672878,-0.7309066843150231,female_18.15
male,Fructose,18.15,%,0.2097664306817548,0.0784632386400572,male_18.15
female,Fructose,18.15,%,0.2704044630404463,-0.0729346131758142,female_18.15
male,Fructose,18.15,%,0.3213619402985074,0.2441558441558441,male_18.15
female,Fructose,18.15,%,-0.0403140382578353,0.014891934633632,female_18.15
male,Fructose,18.15,%,0.501536607411871,0.5851145038167939,male_18.15
female,Fructose,18.15,%,0.6541160593792174,0.6498873027798647,female_18.15
male,Fructose,18.15,%,-0.7076115781752524,-0.9570615623383342,male_18.15
female,Fructose,18.15,%,0.0344827586206896,-0.0369121454808213,female_18.15
male,Fructose,18.15,%,-0.2149394347240915,-0.2149394347240915,male_18.15
female,Fructose,18.15,%,-0.7785755497147253,-0.7785755497147253,female_18.15
male,Fructose,18.15,%,0.1262690355329949,0.054582904222451,male_18.15
female,Fructose,18.15,%,-0.8469995419147962,-0.8609588645935499,female_18.15
male,Fructose,18.15,%,0.1598966893637004,0.1522833619617366,male_18.15
female,Fructose,18.15,%,0.9913009535493224,0.9912917271407836,female_18.15
male,Fructose,18.15,%,0.970736275313122,0.970736275313122,male_18.15
female,Fructose,18.15,%,-0.912880081995217,-0.8992094861660079,female_18.15
male,Fructose,18.15,%,-0.3746643315820198,-0.3514953384186947,male_18.15
female,Fructose,18.15,%,-0.5204647822964945,-0.5119909652560951,female_18.15
male,Fructose,18.15,%,-0.2179231153270095,-0.2144424246223281,male_18.15
female,Fructose,18.15,%,-1.0,-1.0,female_18.15
male,Fructose,18.15,%,-0.8931739540736081,-0.9172985027078688,male_18.15
female,Fructose,18.15,%,-0.2553430821147356,-0.273649505452701,female_18.15
male,Fructose,18.15,%,0.6557361097596575,0.6299937251621,male_18.15
female,Fructose,18.15,%,0.9782449278904912,0.97560139812213,female_18.15
male,Fructose,18.15,%,-0.2992814371257485,-0.3751188288231193,male_18.15
female,Fructose,18.15,%,-0.5226639937632253,-0.511260619191516,female_18.15
male,Fructose,18.15,%,0.222092050209205,-0.646669815777043,male_18.15
female,Fructose,18.15,%,1.0,,female_18.15
male,Fructose,18.15,%,-0.2817567567567568,-0.829021372328459,male_18.15
female,Fructose,18.15,%,-0.6195735542261084,-0.6195735542261083,female_18.15
male,Fructose,18.15,%,-0.1929141783533517,-0.1932344452647828,male_18.15
female,Fructose,18.15,%,-0.9910288113174996,-0.9900731784918868,female_18.15
male,Fructose,18.15,%,-0.1453001132502831,-0.3320600632244468,male_18.15
female,Fructose,18.15,%,-1.0,-1.0,female_18.15
male,Fructose,18.15,%,0.207533843437316,0.4053017329954106,male_18.15
female,Fructose,18.15,%,0.0208545269582909,-0.0504774897680764,female_18.15
male,Fructose,18.15,%,-0.504244888198015,-0.5204254290548707,male_18.15
female,Fructose,18.15,%,-0.7362900013278448,-0.7312402733608498,female_18.15
male,Fructose,18.15,%,-0.6417341040462428,-0.645634161886552,male_18.15
female,Fructose,18.15,%,0.7699859747545582,0.7201747201747202,female_18.15
male,Fructose,18.15,%,-0.9423621333937264,-0.925366568914956,male_18.15
female,Fructose,18.15,%,0.3347726695453391,0.3323986744838134,female_18.15
male,Fructose,18.15,%,-1.0,-1.0,male_18.15
female,Fructose,18.15,%,-0.9158421742758374,-0.9158421742758374,female_18.15
male,Fructose,18.15,%,-0.8265446224256292,-0.7822308410543705,male_18.15
female,Fructose,18.15,%,-0.2367514142662071,-0.2583526298379093,female_18.15
male,Fructose,18.15,%,-0.1999714326524782,-0.1999714326524782,male_18.15
