"N","year","date","season","session","post_ctrl","post_ctrl_days","site","method_code","method_type","method_number","cluster","n_checks","date_placed","date_collected","duration","bait","Tukutuku","Oligosoma","Lizard","Rattus","Other","Nothing","notes"
1,2025,2025-02-28,NA,1,0,0,"SH","BTT01","BTT",1,1,NA,"2025-02-24","2025-03-01",5,"pear",0,1,0,0,0,0,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT02","BTT",2,2,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT03","BTT",3,3,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT04","BTT",4,4,NA,"2025-02-24","2025-03-01",5,"pear",0,1,0,0,0,0,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT05","BTT",5,5,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT06","BTT",6,6,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT07","BTT",7,7,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT08","BTT",8,8,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT09","BTT",9,9,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT10","BTT",10,10,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT11","BTT",11,11,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT12","BTT",12,12,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
NA,2025,2025-02-28,NA,1,0,0,"SH","BTT13","BTT",13,13,NA,"2025-02-24","2025-03-01",5,"pear",0,0,0,0,0,1,NA
