sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
male,Salt,1.0,%,-0.0335500650195058,-0.0128835170673396,male_1.0
female,Salt,1.0,%,0.0321697467488021,0.0321697467488021,female_1.0
male,Salt,1.0,%,-0.80570874492455,-0.8163862472567667,male_1.0
female,Salt,1.0,%,-0.6073677396575061,-0.218552354181307,female_1.0
male,Salt,1.0,%,0.0176146788990825,0.0176146788990825,male_1.0
female,Salt,1.0,%,0.3977844914400805,0.3967839553788643,female_1.0
male,Salt,1.0,%,-0.2849406753878916,-0.205247852843714,male_1.0
female,Salt,1.0,%,-0.234095634095634,-0.2167891635789345,female_1.0
male,Salt,1.0,%,-0.3670801206838753,-0.8262427227944469,male_1.0
female,Salt,1.0,%,0.282147315855181,0.2272024729520865,female_1.0
male,Salt,1.0,%,0.3657429048414023,0.2916169451073985,male_1.0
female,Salt,1.0,%,0.417191086103502,0.4158504007123775,female_1.0
male,Salt,1.0,%,0.3264959416095136,0.3197763091001525,male_1.0
female,Salt,1.0,%,0.0304802189599402,0.0556298986809405,female_1.0
male,Salt,1.0,%,0.0342958161461402,-0.0785126686410003,male_1.0
female,Salt,1.0,%,-0.2789694123619748,-0.291178166442437,female_1.0
male,Salt,1.0,%,0.2199832073887489,0.2255570394320658,male_1.0
female,Salt,1.0,%,0.2906409465597488,0.5424205870526739,female_1.0
male,Salt,1.0,%,-0.5350059438153038,-0.5350059438153038,male_1.0
female,Salt,1.0,%,0.446247712019524,0.4451305251574249,female_1.0
male,Salt,1.0,%,0.0660295395308427,0.032838506522717,male_1.0
female,Salt,1.0,%,0.2295766249254621,0.2186744073536526,female_1.0
male,Salt,1.0,%,-0.8844048836230227,-0.9562937062937062,male_1.0
female,Salt,1.0,%,0.1351734736095514,0.1748944760506515,female_1.0
male,Salt,1.0,%,-0.0495662115811419,-0.0405322832507298,male_1.0
female,Salt,1.0,%,0.0594493482200268,0.1151858232832882,female_1.0
male,Salt,1.0,%,-0.0433271100238202,-0.0511772718427709,male_1.0
female,Salt,1.0,%,0.0921432003844305,0.0700221511198621,female_1.0
male,Salt,1.0,%,0.064532203812134,0.0635405624493359,male_1.0
female,Salt,1.0,%,0.4721892010260902,0.3806167400881057,female_1.0
male,Salt,1.0,%,-0.9833454423517576,-0.9817915190028108,male_1.0
female,Salt,1.0,%,-0.7763188205482607,-0.7751794396851123,female_1.0
male,Salt,1.0,%,-0.2601693904330192,-0.2319029042045947,male_1.0
female,Salt,1.0,%,-0.202572347266881,-0.1848293299620733,female_1.0
male,Salt,1.0,%,0.432600046805523,0.4101690791874468,male_1.0
female,Salt,1.0,%,-0.0844444444444444,-0.0937475848210835,female_1.0
male,Salt,1.0,%,1.0,,male_1.0
female,Salt,1.0,%,-0.8275952693823917,-0.8227266585596541,female_1.0
male,Salt,1.0,%,0.582474517091851,0.5711476168440537,male_1.0
female,Salt,1.0,%,0.1702050224432852,0.1578947368421052,female_1.0
male,Salt,1.0,%,0.612248489470288,0.557385830989688,male_1.0
female,Salt,1.0,%,0.4153455161563597,0.4330351672589143,female_1.0
male,Salt,1.0,%,0.1053105310531052,0.1166759932848349,male_1.0
female,Salt,1.0,%,0.1464926160337552,0.1118885916169307,female_1.0
male,Salt,1.0,%,-0.6765327695560253,0.5179457251240152,male_1.0
female,Salt,1.0,%,-0.0488407106293285,-0.0497257549273702,female_1.0
male,Salt,1.0,%,-0.0001769389560601,0.0488800890978839,male_1.0
female,Salt,1.0,%,0.5097703957010259,0.5097703957010259,female_1.0
male,Salt,1.0,%,-1.0,,male_1.0
female,Salt,1.0,%,0.2233920943384874,0.221377729521052,female_1.0
male,Salt,1.0,%,0.2941997789283844,0.2719635141622659,male_1.0
female,Salt,1.0,%,-0.0879482727653715,-0.1042780748663101,female_1.0
male,Salt,1.0,%,0.0992034757422157,-0.0947491933118216,male_1.0
female,Salt,1.0,%,0.385980584837115,0.4389414456192419,female_1.0
male,Salt,18.8,%,-0.0814933267728642,-0.0597494176163193,male_18.8
female,Salt,18.8,%,-0.1188062708556318,-0.1308387425225913,female_18.8
male,Salt,18.8,%,1.0,,male_18.8
female,Salt,18.8,%,-0.7883220964253912,-0.6367208819997817,female_18.8
male,Salt,18.8,%,1.0,,male_18.8
female,Salt,18.8,%,-0.9108760479378832,-0.9059605794348136,female_18.8
male,Salt,18.8,%,-0.1715629389849141,-0.167648502700049,male_18.8
female,Salt,18.8,%,-0.3879580187810716,-0.3794648413192283,female_18.8
male,Salt,18.8,%,-0.8561691312384473,-0.8554090935485744,male_18.8
female,Salt,18.8,%,0.0071677516932991,-0.0041902228134353,female_18.8
male,Salt,18.8,%,-0.990453728661276,-0.989183686454158,male_18.8
female,Salt,18.8,%,-0.6765967050327238,-0.9547427970003948,female_18.8
male,Salt,18.8,%,-0.3454941464742717,-0.1116859122401847,male_18.8
female,Salt,18.8,%,-0.2779288185862581,-0.3161512027491409,female_18.8
male,Salt,18.8,%,0.1055885850178359,0.466792869537782,male_18.8
female,Salt,18.8,%,-0.2547669153752949,-0.2457238752985219,female_18.8
male,Salt,18.8,%,-0.965312425754336,-0.9591950810508664,male_18.8
female,Salt,18.8,%,-0.3714684339030345,-0.2394699079935848,female_18.8
male,Salt,18.8,%,-0.3089798411728772,-0.3224711473183978,male_18.8
female,Salt,18.8,%,-0.331046518625504,-0.3316876392317418,female_18.8
male,Salt,18.8,%,-0.1932659932659932,-0.0774938746937346,male_18.8
female,Salt,18.8,%,-0.1076585422201686,-0.0279962252280591,female_18.8
male,Salt,18.8,%,-0.544053124629432,-0.544053124629432,male_18.8
female,Salt,18.8,%,-0.1171223021582734,-0.1828153564899451,female_18.8
male,Salt,18.8,%,-0.2972972972972972,-0.1879046602632515,male_18.8
female,Salt,18.8,%,0.2717320474390721,0.2665222812889676,female_18.8
male,Salt,18.8,%,-0.1694246435845213,-0.1516609243970617,male_18.8
female,Salt,18.8,%,0.1347794568672279,0.1505625600723695,female_18.8
male,Salt,18.8,%,1.0,1.0,male_18.8
female,Salt,18.8,%,-0.9163987138263666,-0.9069191049913942,female_18.8
male,Salt,18.8,%,-0.4080645161290321,-0.4073291925465838,male_18.8
female,Salt,18.8,%,-0.1544064093226511,-0.1346583850931677,female_18.8
male,Salt,18.8,%,0.0188346456692913,0.0201841806484168,male_18.8
