mechanic,final_infected_count
None,3814
None,1204
None,3203
None,3378
None,380
None,680
None,1785
None,618
None,2118
None,3088
None,3919
None,2197
None,1032
None,1303
None,2057
None,1386
None,973
None,3485
None,2821
None,2551
None,4201
None,809
None,2515
None,1965
None,4208
None,2224
None,2061
None,2469
None,4232
None,1976
None,1065
None,2195
None,2706
None,2694
None,2446
None,4179
None,1538
None,2633
None,1278
None,1644
None,450
None,4374
None,3824
None,1685
None,2083
None,3919
None,1858
None,3308
None,2074
None,2683
None,4761
None,2775
None,639
None,2292
None,857
None,1869
None,2470
None,4674
None,2944
None,2445
None,4921
None,1778
None,2272
None,2820
None,2333
None,1119
None,2868
None,1441
None,2765
None,3155
None,2310
None,3593
None,3024
None,3708
None,2264
None,2709
None,3239
None,1428
None,1391
None,2075
None,1912
None,3148
None,2329
None,1826
None,2414
None,598
None,2868
None,1529
None,1650
None,2483
None,1685
None,1200
None,2269
None,3160
None,2441
None,2930
None,518
None,2564
None,2520
None,485
None,1879
None,1246
None,1549
None,2066
None,864
None,1610
None,1542
None,2614
None,1985
None,1231
None,3917
None,2189
None,3068
None,5731
None,2898
None,1016
None,806
None,4185
None,606
None,1432
None,1472
None,2433
None,2195
None,3305
None,1505
None,2329
None,2147
None,1974
None,2569
None,1987
None,903
None,1003
None,1660
None,1993
None,911
None,1854
None,2861
None,226
None,2169
None,1986
None,4054
None,831
None,2431
None,2125
None,1491
None,2320
None,3678
None,1157
None,1155
None,325
None,2814
None,3506
None,1631
None,3276
None,3062
None,3109
None,156
None,2166
None,1274
None,3887
None,1396
None,3143
None,1620
None,3602
None,2621
None,2040
None,1052
None,2547
None,2271
None,2247
None,1115
None,2234
None,2105
None,2033
None,1316
None,3385
None,1049
None,1168
None,1655
None,2208
None,1625
None,3517
None,3574
None,1506
None,2523
None,2019
None,1639
None,4382
None,2134
None,1847
None,1267
None,2279
None,3649
None,1131
None,1046
None,1378
None,4040
None,1670
None,2000
None,1043
ER,1294
ER,2616
ER,2140
ER,2885
ER,2510
ER,3769
ER,3674
ER,1658
ER,4003
ER,1763
ER,5107
ER,3082
ER,3528
ER,1982
ER,3474
ER,3313
ER,2202
ER,4569
ER,2736
ER,3977
ER,3731
ER,1795
ER,5757
ER,3516
ER,1137
ER,1564
ER,3122
ER,3650
ER,877
ER,2435
ER,3149
ER,3192
ER,3569
ER,2638
ER,2904
ER,4458
ER,4028
ER,3533
ER,4108
ER,2129
ER,1751
ER,3347
ER,2848
ER,3572
ER,4327
ER,1501
ER,1176
ER,5863
ER,4035
ER,2494
ER,4175
ER,3240
ER,2567
ER,3043
ER,704
ER,3704
ER,3497
ER,3817
ER,4499
ER,2921
ER,2361
ER,651
ER,3857
ER,2234
ER,913
ER,3159
ER,5113
ER,3001
ER,3118
ER,3637
ER,3039
ER,4046
ER,3755
ER,2487
ER,3878
ER,800
ER,1461
ER,3348
ER,3511
ER,4012
ER,2955
ER,2967
ER,2653
ER,1668
ER,2967
ER,4177
ER,2888
ER,2633
ER,3175
ER,2656
ER,914
ER,2375
ER,2124
ER,2652
ER,2048
ER,2805
ER,4173
ER,2049
ER,2664
ER,4543
ER,2720
ER,2893
ER,3197
ER,2384
ER,3211
ER,5343
ER,3597
ER,3490
ER,6417
ER,3004
ER,1028
ER,4473
ER,3451
ER,2038
ER,4989
ER,4289
ER,2281
ER,2576
ER,4708
ER,2498
ER,3354
ER,3533
ER,2097
ER,2492
ER,3847
ER,3169
ER,5151
ER,3817
ER,3659
ER,3966
ER,1877
ER,3753
ER,5116
ER,3297
ER,3052
ER,3614
ER,1091
ER,2729
ER,369
ER,1701
ER,2667
ER,2142
ER,4121
ER,2081
ER,3190
ER,4753
ER,3390
ER,3031
ER,2955
ER,6440
ER,3612
ER,1292
ER,1149
ER,3296
ER,2252
ER,4606
ER,3111
ER,3666
ER,5589
ER,1506
ER,1908
ER,4924
ER,3231
ER,2772
ER,2631
ER,1933
ER,3369
ER,2092
ER,3317
ER,3727
ER,2931
ER,3719
ER,3301
ER,6399
ER,4163
ER,1868
ER,2553
ER,3891
ER,1986
ER,4663
ER,4811
ER,5177
ER,2930
ER,1740
ER,3697
ER,7630
ER,5007
ER,2998
ER,3166
ER,4931
ER,2440
ER,2678
ER,3344
ER,3203
ER,4114
ER,2337
ER,3963
ER,1746
ER,3698
ER,3058
IE,3170
IE,2064
IE,2223
IE,3653
IE,2060
IE,3219
IE,2258
IE,4004
IE,3116
IE,2128
IE,5383
IE,3480
IE,4578
IE,8084
IE,4933
IE,2437
IE,1886
IE,5940
IE,870
IE,2365
IE,2610
IE,4539
IE,3304
IE,4667
IE,2262
IE,3469
IE,3082
IE,3841
IE,4812
IE,3072
IE,1488
IE,3029
IE,2458
IE,3605
IE,1599
IE,3031
IE,3960
IE,290
IE,3518
IE,3241
IE,6612
IE,1959
IE,3938
IE,4015
IE,2025
IE,4189
IE,5339
IE,2362
IE,2069
IE,543
IE,4467
IE,4673
IE,2879
IE,4616
IE,5553
IE,4737
IE,257
IE,3227
IE,2390
IE,5530
IE,2433
IE,5001
IE,2303
IE,5289
IE,3989
IE,3256
IE,1911
IE,4354
IE,4141
IE,3833
IE,1784
IE,3756
IE,4076
IE,3346
IE,2275
IE,5123
IE,2004
IE,2275
IE,3322
IE,3670
IE,2642
IE,5375
IE,5909
IE,2274
IE,3940
IE,3811
IE,2687
IE,6326
IE,3610
IE,3084
IE,2554
IE,3309
IE,5843
IE,1845
IE,2302
IE,2632
IE,6400
IE,2104
IE,3046
IE,2043
IE,2026
IE,3174
IE,4314
IE,3089
IE,1868
IE,6253
IE,3107
IE,2011
IE,3638
IE,5080
IE,3740
IE,3562
IE,4531
IE,5213
IE,4675
IE,5053
IE,3123
IE,4280
IE,5423
IE,5757
IE,2469
IE,1404
IE,7285
IE,3654
IE,2192
IE,2013
IE,3399
IE,5848
IE,930
IE,569
IE,4966
IE,3705
IE,2300
IE,2906
IE,3193
IE,5941
IE,4952
IE,3306
IE,6009
IE,3533
IE,3664
IE,3837
IE,2622
IE,2589
IE,4833
IE,366
IE,3299
IE,4421
IE,1924
IE,4452
IE,5339
IE,4960
IE,3761
IE,2941
IE,1017
IE,4621
IE,4620
IE,4844
IE,5940
IE,5950
IE,5059
IE,5836
IE,6704
IE,1149
IE,1848
IE,5628
IE,7474
IE,5425
IE,3964
IE,2980
IE,4207
IE,5085
IE,3780
IE,3102
IE,5698
IE,1342
IE,3114
IE,5447
IE,3345
IE,5716
IE,4995
IE,2559
IE,4857
IE,2229
IE,4657
IE,4855
IE,4700
IE,1322
IE,1284
IE,4858
IE,2784
IE,3931
IE,3905
IE,3523
IE,4095
IE,3221
IE,6001
IE,1493
IE,4753
IE,5263
MK,5085
MK,7073
MK,6377
MK,4668
MK,12139
MK,6851
MK,9961
MK,4287
MK,7514
MK,8288
MK,5478
MK,9377
MK,8754
MK,7429
MK,3680
MK,4049
MK,2148
MK,8606
MK,7494
MK,3978
MK,4003
MK,6101
MK,7553
MK,7953
MK,5901
MK,7761
MK,9129
MK,9633
MK,6617
MK,1172
MK,6809
MK,12122
MK,2653
MK,4337
MK,2721
MK,6749
MK,4894
MK,8310
MK,7835
MK,11395
MK,5991
MK,3315
MK,6257
MK,5852
MK,3760
MK,6606
MK,10002
MK,5182
MK,7369
MK,6094
MK,6042
MK,8895
MK,5576
MK,6100
MK,9162
MK,5168
MK,7181
MK,8476
MK,6372
MK,6332
MK,7082
MK,7775
MK,7722
MK,3840
MK,8569
MK,6927
MK,9713
MK,8486
MK,10199
MK,3012
MK,6368
MK,4688
MK,3876
MK,7108
MK,6362
MK,2661
MK,4651
MK,10328
MK,1984
MK,7301
MK,9427
MK,8428
MK,1006
MK,1130
MK,6525
MK,5249
MK,12460
MK,5516
MK,3640
MK,10109
MK,9866
MK,10309
MK,4962
MK,4552
MK,781
MK,1995
MK,3818
MK,3885
MK,3577
MK,5898
MK,9934
MK,3585
MK,9861
MK,7396
MK,3717
MK,6029
MK,6329
MK,5637
MK,10356
MK,5289
MK,7948
MK,6166
MK,4847
MK,5184
MK,6194
MK,6335
MK,7361
MK,4776
MK,9880
MK,9202
MK,7736
MK,11269
MK,1724
MK,4544
MK,5205
MK,8044
MK,5487
MK,3849
MK,3882
MK,7229
MK,8108
MK,912
MK,4635
MK,6777
MK,1660
MK,3311
MK,5297
MK,6444
MK,11336
MK,3254
MK,6446
MK,6599
MK,7952
MK,5910
MK,4515
MK,8234
MK,9317
MK,9123
MK,5367
MK,5105
MK,9789
MK,5227
MK,2480
MK,4802
MK,7799
MK,5906
MK,7751
MK,6982
MK,3698
MK,8620
MK,7323
MK,7874
MK,9705
MK,7245
MK,4682
MK,8304
MK,9064
