mechanic,replicate,final_infected_count
None,0,3814
None,1,1204
None,2,3203
None,3,3378
None,4,380
None,5,680
None,6,1785
None,7,618
None,8,2118
None,9,3088
None,10,3919
None,11,2197
None,12,1032
None,13,1303
None,14,2057
None,15,1386
None,16,973
None,17,3485
None,18,2821
None,19,2551
None,20,4201
None,21,809
None,22,2515
None,23,1965
None,24,4208
None,25,2224
None,26,2061
None,27,2469
None,28,4232
None,29,1976
None,30,1065
None,31,2195
None,32,2706
None,33,2694
None,34,2446
None,35,4179
None,36,1538
None,37,2633
None,38,1278
None,39,1644
None,40,450
None,41,4374
None,42,3824
None,43,1685
None,44,2083
None,45,3919
None,46,1858
None,47,3308
None,48,2074
None,49,2683
None,50,4761
None,51,2775
None,52,639
None,53,2292
None,54,857
None,55,1869
None,56,2470
None,57,4674
None,58,2944
None,59,2445
None,60,4921
None,61,1778
None,62,2272
None,63,2820
None,64,2333
None,65,1119
None,66,2868
None,67,1441
None,68,2765
None,69,3155
None,70,2310
None,71,3593
None,72,3024
None,73,3708
None,74,2264
None,75,2709
None,76,3239
None,77,1428
None,78,1391
None,79,2075
None,80,1912
None,81,3148
None,82,2329
None,83,1826
None,84,2414
None,85,598
None,86,2868
None,87,1529
None,88,1650
None,89,2483
None,90,1685
None,91,1200
None,92,2269
None,93,3160
None,94,2441
None,95,2930
None,96,518
None,97,2564
None,98,2520
None,99,485
None,100,1879
None,101,1246
None,102,1549
None,103,2066
None,104,864
None,105,1610
None,106,1542
None,107,2614
None,108,1985
None,109,1231
None,110,3917
None,111,2189
None,112,3068
None,113,5731
None,114,2898
None,115,1016
None,116,806
None,117,4185
None,118,606
None,119,1432
None,120,1472
None,121,2433
None,122,2195
None,123,3305
None,124,1505
None,125,2329
None,126,2147
None,127,1974
None,128,2569
None,129,1987
None,130,903
None,131,1003
None,132,1660
None,133,1993
None,134,911
None,135,1854
None,136,2861
None,137,226
None,138,2169
None,139,1986
None,140,4054
None,141,831
None,142,2431
None,143,2125
None,144,1491
None,145,2320
None,146,3678
None,147,1157
None,148,1155
None,149,325
None,150,2814
None,151,3506
None,152,1631
None,153,3276
None,154,3062
None,155,3109
None,156,156
None,157,2166
None,158,1274
None,159,3887
None,160,1396
None,161,3143
None,162,1620
None,163,3602
None,164,2621
None,165,2040
None,166,1052
None,167,2547
None,168,2271
None,169,2247
None,170,1115
None,171,2234
None,172,2105
None,173,2033
None,174,1316
None,175,3385
None,176,1049
None,177,1168
None,178,1655
None,179,2208
None,180,1625
None,181,3517
None,182,3574
None,183,1506
None,184,2523
None,185,2019
None,186,1639
None,187,4382
None,188,2134
None,189,1847
None,190,1267
None,191,2279
None,192,3649
None,193,1131
None,194,1046
None,195,1378
None,196,4040
None,197,1670
None,198,2000
None,199,1043
IE,0,3170
IE,1,2064
IE,2,2223
IE,3,3653
IE,4,2060
IE,5,3219
IE,6,2258
IE,7,4004
IE,8,3116
IE,9,2128
IE,10,5383
IE,11,3480
IE,12,4578
IE,13,8084
IE,14,4933
IE,15,2437
IE,16,1886
IE,17,5940
IE,18,870
IE,19,2365
IE,20,2610
IE,21,4539
IE,22,3304
IE,23,4667
IE,24,2262
IE,25,3469
IE,26,3082
IE,27,3841
IE,28,4812
IE,29,3072
IE,30,1488
IE,31,3029
IE,32,2458
IE,33,3605
IE,34,1599
IE,35,3031
IE,36,3960
IE,37,290
IE,38,3518
IE,39,3241
IE,40,6612
IE,41,1959
IE,42,3938
IE,43,4015
IE,44,2025
IE,45,4189
IE,46,5339
IE,47,2362
IE,48,2069
IE,49,543
IE,50,4467
IE,51,4673
IE,52,2879
IE,53,4616
IE,54,5553
IE,55,4737
IE,56,257
IE,57,3227
IE,58,2390
IE,59,5530
IE,60,2433
IE,61,5001
IE,62,2303
IE,63,5289
IE,64,3989
IE,65,3256
IE,66,1911
IE,67,4354
IE,68,4141
IE,69,3833
IE,70,1784
IE,71,3756
IE,72,4076
IE,73,3346
IE,74,2275
IE,75,5123
IE,76,2004
IE,77,2275
IE,78,3322
IE,79,3670
IE,80,2642
IE,81,5375
IE,82,5909
IE,83,2274
IE,84,3940
IE,85,3811
IE,86,2687
IE,87,6326
IE,88,3610
IE,89,3084
IE,90,2554
IE,91,3309
IE,92,5843
IE,93,1845
IE,94,2302
IE,95,2632
IE,96,6400
IE,97,2104
IE,98,3046
IE,99,2043
IE,100,2026
IE,101,3174
IE,102,4314
IE,103,3089
IE,104,1868
IE,105,6253
IE,106,3107
IE,107,2011
IE,108,3638
IE,109,5080
IE,110,3740
IE,111,3562
IE,112,4531
IE,113,5213
IE,114,4675
IE,115,5053
IE,116,3123
IE,117,4280
IE,118,5423
IE,119,5757
IE,120,2469
IE,121,1404
IE,122,7285
IE,123,3654
IE,124,2192
IE,125,2013
IE,126,3399
IE,127,5848
IE,128,930
IE,129,569
IE,130,4966
IE,131,3705
IE,132,2300
IE,133,2906
IE,134,3193
IE,135,5941
IE,136,4952
IE,137,3306
IE,138,6009
IE,139,3533
IE,140,3664
IE,141,3837
IE,142,2622
IE,143,2589
IE,144,4833
IE,145,366
IE,146,3299
IE,147,4421
IE,148,1924
IE,149,4452
IE,150,5339
IE,151,4960
IE,152,3761
IE,153,2941
