mechanic,replicate,final_infection_rate
None,0,0.193398
None,1,0.061216
None,2,0.162226
None,3,0.170563
None,4,0.019271
None,5,0.03446
None,6,0.091006
None,7,0.031321
None,8,0.107344
None,9,0.157648
None,10,0.198732
None,11,0.111274
None,12,0.052367
None,13,0.065865
None,14,0.103989
None,15,0.070135
None,16,0.049353
None,17,0.177155
None,18,0.143002
None,19,0.129263
None,20,0.213683
None,21,0.041072
None,22,0.127808
None,23,0.099544
None,24,0.21315
None,25,0.11302
None,26,0.104154
None,27,0.125681
None,28,0.214681
None,29,0.099954
None,30,0.054234
None,31,0.111016
None,32,0.136999
None,33,0.136703
None,34,0.124219
None,35,0.212261
None,36,0.078063
None,37,0.133519
None,38,0.06489
None,39,0.083737
None,40,0.022806
None,41,0.222346
None,42,0.194033
None,43,0.085451
None,44,0.105967
None,45,0.19829
None,46,0.094781
None,47,0.168158
None,48,0.105386
None,49,0.135938
None,50,0.241259
None,51,0.1404
None,52,0.032438
None,53,0.116268
None,54,0.043549
None,55,0.095071
None,56,0.124975
None,57,0.23685
None,58,0.149571
None,59,0.124005
None,60,0.24967
None,61,0.09013
None,62,0.114962
None,63,0.143249
None,64,0.119158
None,65,0.056822
None,66,0.145289
None,67,0.073181
None,68,0.139562
None,69,0.159884
None,70,0.116891
None,71,0.182757
None,72,0.15362
None,73,0.187994
None,74,0.114959
None,75,0.137856
None,76,0.164575
None,77,0.072351
None,78,0.070584
None,79,0.105132
None,80,0.096766
None,81,0.159692
None,82,0.11799
None,83,0.092681
None,84,0.122457
None,85,0.030378
None,86,0.14523
None,87,0.077125
None,88,0.084004
None,89,0.125613
None,90,0.085529
None,91,0.060806
None,92,0.115224
None,93,0.15987
None,94,0.124009
None,95,0.148512
None,96,0.026273
None,97,0.13043
None,98,0.127873
None,99,0.024497
None,100,0.095497
None,101,0.062898
None,102,0.078677
None,103,0.104623
None,104,0.043734
None,105,0.08168
None,106,0.078262
None,107,0.132616
None,108,0.100731
None,109,0.062459
None,110,0.198028
None,111,0.11083
None,112,0.156323
None,113,0.290855
None,114,0.147166
None,115,0.051642
None,116,0.040905
None,117,0.211834
None,118,0.030799
None,119,0.073005
None,120,0.07463
None,121,0.123415
None,122,0.111342
None,123,0.167818
None,124,0.076195
None,125,0.118392
None,126,0.108929
None,127,0.100432
None,128,0.130214
None,129,0.101063
None,130,0.045945
None,131,0.050924
None,132,0.084012
None,133,0.100998
None,134,0.046239
None,135,0.093921
None,136,0.145147
None,137,0.011481
None,138,0.110018
None,139,0.101048
None,140,0.205141
None,141,0.04208
None,142,0.123008
None,143,0.107562
None,144,0.075555
None,145,0.117695
None,146,0.187166
None,147,0.058764
None,148,0.058469
None,149,0.016505
None,150,0.143535
None,151,0.177762
None,152,0.082645
None,153,0.165949
None,154,0.155258
None,155,0.157258
None,156,0.007914
None,157,0.11024
None,158,0.064792
None,159,0.19708
None,160,0.070849
None,161,0.15897
None,162,0.082204
None,163,0.183094
None,164,0.13312
None,165,0.103296
None,166,0.053341
None,167,0.129519
None,168,0.115256
None,169,0.113766
None,170,0.056815
None,171,0.113057
None,172,0.107464
None,173,0.103261
None,174,0.066853
None,175,0.171531
None,176,0.053262
None,177,0.059592
None,178,0.083942
None,179,0.11156
None,180,0.082333
None,181,0.178302
None,182,0.181026
None,183,0.076536
None,184,0.127954
None,185,0.102176
None,186,0.083181
None,187,0.222155
None,188,0.108204
None,189,0.093292
None,190,0.064387
None,191,0.115334
None,192,0.184358
None,193,0.057275
None,194,0.053191
None,195,0.069963
None,196,0.204536
None,197,0.084935
None,198,0.101849
None,199,0.05296
IE,0,0.160328
IE,1,0.104554
IE,2,0.112403
IE,3,0.184831
IE,4,0.104225
IE,5,0.162436
IE,6,0.11455
IE,7,0.202539
IE,8,0.157636
IE,9,0.107616
IE,10,0.272047
IE,11,0.175713
IE,12,0.231329
IE,13,0.406906
IE,14,0.24957
IE,15,0.123286
IE,16,0.095051
IE,17,0.299365
IE,18,0.044275
IE,19,0.119978
IE,20,0.132032
IE,21,0.228481
IE,22,0.167699
IE,23,0.2356
IE,24,0.114706
IE,25,0.175663
IE,26,0.156439
IE,27,0.193414
IE,28,0.242467
IE,29,0.155458
IE,30,0.075652
IE,31,0.153181
IE,32,0.125013
IE,33,0.182837
IE,34,0.081085
IE,35,0.153562
IE,36,0.200598
IE,37,0.014684
IE,38,0.177874
IE,39,0.16401
IE,40,0.335464
IE,41,0.098884
IE,42,0.198548
IE,43,0.202532
IE,44,0.10263
IE,45,0.211256
IE,46,0.269103
IE,47,0.119377
IE,48,0.104775
IE,49,0.027545
IE,50,0.224913
IE,51,0.235427
IE,52,0.146179
IE,53,0.232591
IE,54,0.280809
IE,55,0.239448
IE,56,0.01298
IE,57,0.163368
IE,58,0.120683
IE,59,0.280213
IE,60,0.122991
IE,61,0.252742
IE,62,0.116243
IE,63,0.266596
IE,64,0.201597
IE,65,0.164894
IE,66,0.096912
IE,67,0.220288
IE,68,0.208615
IE,69,0.193782
IE,70,0.090467
IE,71,0.189295
IE,72,0.205506
IE,73,0.169195
IE,74,0.114969
IE,75,0.258868
IE,76,0.101268
IE,77,0.115248
IE,78,0.167998
IE,79,0.186238
IE,80,0.133738
IE,81,0.272111
IE,82,0.297863
IE,83,0.115273
IE,84,0.199201
IE,85,0.192582
IE,86,0.136646
IE,87,0.319915
IE,88,0.182038
IE,89,0.156429
IE,90,0.129816
IE,91,0.167451
IE,92,0.294669
IE,93,0.093267
IE,94,0.116028
IE,95,0.133131
IE,96,0.32177
IE,97,0.106591
IE,98,0.154298
IE,99,0.103443
IE,100,0.102246
IE,101,0.16066
IE,102,0.217989
IE,103,0.156065
IE,104,0.094272
IE,105,0.315952
IE,106,0.157054
IE,107,0.10172
IE,108,0.1841
IE,109,0.25676
IE,110,0.189233
IE,111,0.180126
IE,112,0.228285
IE,113,0.262474
IE,114,0.235516
IE,115,0.255654
IE,116,0.157624
IE,117,0.21672
IE,118,0.272993
IE,119,0.290391
IE,120,0.125413
IE,121,0.07072
IE,122,0.367354
IE,123,0.184276
IE,124,0.110612
IE,125,0.101636
IE,126,0.172293
IE,127,0.294728
IE,128,0.047191
IE,129,0.028817
IE,130,0.250947
IE,131,0.186706
IE,132,0.116367
IE,133,0.146857
IE,134,0.160978
IE,135,0.300324
IE,136,0.249723
IE,137,0.166633
IE,138,0.304376
IE,139,0.179204
IE,140,0.185604
IE,141,0.194033
IE,142,0.132995
IE,143,0.131301
IE,144,0.243341
IE,145,0.018562
IE,146,0.166726
IE,147,0.223746
IE,148,0.097088
IE,149,0.225692
IE,150,0.269701
IE,151,0.250695
IE,152,0.18994
IE,153,0.148671
IE,154,0.051624
IE,155,0.233254
IE,156,0.233818
IE,157,0.244166
IE,158,0.299335
IE,159,0.299793
IE,160,0.254733
IE,161,0.295299
IE,162,0.336901
IE,163,0.058236
IE,164,0.093527
IE,165,0.284128
IE,166,0.375729
IE,167,0.274906
IE,168,0.200607
IE,169,0.150978
IE,170,0.212905
IE,171,0.257117
IE,172,0.191664
IE,173,0.156572
IE,174,0.287691
IE,175,0.067967
IE,176,0.157408
IE,177,0.274546
IE,178,0.169144
IE,179,0.289535
IE,180,0.251904
IE,181,0.129145
IE,182,0.245229
IE,183,0.112964
IE,184,0.235404
IE,185,0.245922
IE,186,0.236669
IE,187,0.066714
IE,188,0.065191
IE,189,0.245713
IE,190,0.141083
IE,191,0.198776
IE,192,0.196696
IE,193,0.178542
IE,194,0.206703
IE,195,0.162603
IE,196,0.30305
IE,197,0.075845
IE,198,0.23999
IE,199,0.265072
ER,0,0.065592
ER,1,0.132934
ER,2,0.108294
ER,3,0.146752
ER,4,0.12758
ER,5,0.191029
ER,6,0.186696
ER,7,0.083907
ER,8,0.204381
ER,9,0.089338
ER,10,0.259819
ER,11,0.156391
ER,12,0.17935
ER,13,0.100436
ER,14,0.176551
ER,15,0.167985
ER,16,0.111471
ER,17,0.23167
ER,18,0.138336
ER,19,0.202382
ER,20,0.188806
ER,21,0.091228
ER,22,0.292145
ER,23,0.178586
ER,24,0.057651
ER,25,0.079415
ER,26,0.157844
ER,27,0.185091
ER,28,0.044482
ER,29,0.123767
ER,30,0.15933
ER,31,0.162072
ER,32,0.180819
ER,33,0.13414
ER,34,0.147479
ER,35,0.226697
ER,36,0.203712
ER,37,0.17914
ER,38,0.208613
ER,39,0.108137
ER,40,0.088775
ER,41,0.169976
ER,42,0.144349
ER,43,0.181127
ER,44,0.219868
ER,45,0.076294
ER,46,0.059581
ER,47,0.298904
ER,48,0.204874
ER,49,0.126017
ER,50,0.212004
ER,51,0.164051
ER,52,0.130656
ER,53,0.154475
ER,54,0.035785
ER,55,0.188432
ER,56,0.177405
ER,57,0.192768
ER,58,0.228468
ER,59,0.14763
ER,60,0.11989
ER,61,0.033047
ER,62,0.19543
ER,63,0.113852
ER,64,0.046315
ER,65,0.160233
ER,66,0.259057
ER,67,0.152676
ER,68,0.157985
ER,69,0.185033
ER,70,0.154201
ER,71,0.205516
ER,72,0.191104
ER,73,0.126488
ER,74,0.196106
ER,75,0.040638
ER,76,0.073922
ER,77,0.169519
ER,78,0.178088
ER,79,0.202698
ER,80,0.150466
ER,81,0.150129
ER,82,0.134752
ER,83,0.084657
ER,84,0.150831
ER,85,0.212149
ER,86,0.14677
ER,87,0.133567
ER,88,0.16102
ER,89,0.13485
ER,90,0.046365
ER,91,0.12054
ER,92,0.107533
ER,93,0.134299
ER,94,0.104182
ER,95,0.142234
ER,96,0.211698
ER,97,0.10427
ER,98,0.135352
ER,99,0.231219
ER,100,0.137547
ER,101,0.147301
ER,102,0.162739
ER,103,0.121089
ER,104,0.163501
ER,105,0.271136
ER,106,0.1831
ER,107,0.177563
ER,108,0.325439
ER,109,0.15279
ER,110,0.052366
ER,111,0.226653
ER,112,0.175347
ER,113,0.103232
ER,114,0.252787
ER,115,0.21827
ER,116,0.115377
ER,117,0.131001
ER,118,0.238912
ER,119,0.126834
ER,120,0.170012
ER,121,0.178859
ER,122,0.106577
ER,123,0.126177
ER,124,0.195428
ER,125,0.161404
ER,126,0.260784
ER,127,0.194032
ER,128,0.186
ER,129,0.201658
ER,130,0.095517
ER,131,0.190073
ER,132,0.259169
ER,133,0.167658
ER,134,0.154728
ER,135,0.183797
ER,136,0.055207
ER,137,0.138556
ER,138,0.018722
ER,139,0.086433
ER,140,0.134908
ER,141,0.108428
ER,142,0.208891
ER,143,0.105726
ER,144,0.162019
ER,145,0.240439
ER,146,0.171793
ER,147,0.153749
ER,148,0.150397
ER,149,0.327535
ER,150,0.183546
ER,151,0.065831
ER,152,0.058357
ER,153,0.16742
ER,154,0.114083
ER,155,0.23344
ER,156,0.158095
ER,157,0.185818
ER,158,0.283432
ER,159,0.076657
ER,160,0.096784
ER,161,0.251084
ER,162,0.163919
ER,163,0.140184
ER,164,0.133675
ER,165,0.098167
ER,166,0.171111
ER,167,0.106274
ER,168,0.168521
ER,169,0.18937
ER,170,0.148586
ER,171,0.188361
ER,172,0.167334
ER,173,0.324016
ER,174,0.21132
ER,175,0.094914
ER,176,0.129502
ER,177,0.196953
ER,178,0.100981
ER,179,0.236089
ER,180,0.242955
ER,181,0.263662
ER,182,0.149299
ER,183,0.088289
ER,184,0.187399
ER,185,0.387251
ER,186,0.253918
ER,187,0.151621
ER,188,0.161087
ER,189,0.250051
ER,190,0.124072
ER,191,0.135726
ER,192,0.170031
ER,193,0.162383
ER,194,0.208684
ER,195,0.119186
ER,196,0.201947
ER,197,0.088486
ER,198,0.18764
ER,199,0.156036
ER+IE,0,0.211524
ER+IE,1,0.233034
ER+IE,2,0.230874
ER+IE,3,0.212989
ER+IE,4,0.24156
ER+IE,5,0.397503
ER+IE,6,0.281637
ER+IE,7,0.272049
ER+IE,8,0.481726
ER+IE,9,0.252167
ER+IE,10,0.101815
ER+IE,11,0.354266
ER+IE,12,0.31203
ER+IE,13,0.182398
ER+IE,14,0.339905
ER+IE,15,0.377358
ER+IE,16,0.176869
ER+IE,17,0.241595
ER+IE,18,0.355565
ER+IE,19,0.225868
ER+IE,20,0.223947
ER+IE,21,0.274202
ER+IE,22,0.178752
ER+IE,23,0.194554
ER+IE,24,0.335732
ER+IE,25,0.262737
ER+IE,26,0.386356
ER+IE,27,0.308824
ER+IE,28,0.284923
ER+IE,29,0.315444
ER+IE,30,0.149491
ER+IE,31,0.283769
ER+IE,32,0.421529
ER+IE,33,0.239094
ER+IE,34,0.245189
ER+IE,35,0.318102
ER+IE,36,0.088959
ER+IE,37,0.214455
ER+IE,38,0.028185
ER+IE,39,0.153862
ER+IE,40,0.239535
ER+IE,41,0.174314
ER+IE,42,0.303266
ER+IE,43,0.182972
ER+IE,44,0.288049
ER+IE,45,0.36001
ER+IE,46,0.259043
ER+IE,47,0.242917
ER+IE,48,0.267264
ER+IE,49,0.452731
ER+IE,50,0.303721
ER+IE,51,0.085463
ER+IE,52,0.099418
ER+IE,53,0.288662
ER+IE,54,0.189653
ER+IE,55,0.361059
ER+IE,56,0.281345
ER+IE,57,0.304484
ER+IE,58,0.420446
ER+IE,59,0.131461
ER+IE,60,0.17602
ER+IE,61,0.343072
ER+IE,62,0.301321
ER+IE,63,0.234241
ER+IE,64,0.199716
ER+IE,65,0.158847
ER+IE,66,0.273533
ER+IE,67,0.221638
ER+IE,68,0.23872
ER+IE,69,0.298823
ER+IE,70,0.254347
ER+IE,71,0.323952
ER+IE,72,0.315967
ER+IE,73,0.430009
ER+IE,74,0.305017
ER+IE,75,0.167983
ER+IE,76,0.216923
ER+IE,77,0.296422
ER+IE,78,0.152441
ER+IE,79,0.363288
ER+IE,80,0.363228
ER+IE,81,0.373704
ER+IE,82,0.252588
ER+IE,83,0.173473
ER+IE,84,0.293702
ER+IE,85,0.535988
ER+IE,86,0.363029
ER+IE,87,0.25713
ER+IE,88,0.266232
ER+IE,89,0.361455
ER+IE,90,0.196715
ER+IE,91,0.198359
ER+IE,92,0.257833
ER+IE,93,0.25094
ER+IE,94,0.334019
ER+IE,95,0.223775
ER+IE,96,0.302518
ER+IE,97,0.173966
ER+IE,98,0.314094
ER+IE,99,0.176444
ER+IE,100,0.28557
ER+IE,101,0.166768
ER+IE,102,0.20479
ER+IE,103,0.308255
ER+IE,104,0.350958
ER+IE,105,0.340047
ER+IE,106,0.312535
ER+IE,107,0.182049
ER+IE,108,0.120825
ER+IE,109,0.123176
ER+IE,110,0.216718
ER+IE,111,0.302425
ER+IE,112,0.233905
ER+IE,113,0.33002
ER+IE,114,0.223238
ER+IE,115,0.224168
ER+IE,116,0.123867
ER+IE,117,0.281458
ER+IE,118,0.312721
ER+IE,119,0.352214
ER+IE,120,0.386553
ER+IE,121,0.232284
ER+IE,122,0.393869
ER+IE,123,0.276153
ER+IE,124,0.249204
ER+IE,125,0.251757
ER+IE,126,0.080529
ER+IE,127,0.214603
ER+IE,128,0.346605
ER+IE,129,0.232622
ER+IE,130,0.259226
ER+IE,131,0.412621
ER+IE,132,0.13495
ER+IE,133,0.174212
ER+IE,134,0.191636
ER+IE,135,0.304909
ER+IE,136,0.191709
ER+IE,137,0.229294
ER+IE,138,0.370329
ER+IE,139,0.361507
ER+IE,140,0.162102
ER+IE,141,0.182836
ER+IE,142,0.376299
ER+IE,143,0.227452
ER+IE,144,0.306177
ER+IE,145,0.309849
ER+IE,146,0.182985
ER+IE,147,0.20679
ER+IE,148,0.254131
ER+IE,149,0.294914
ER+IE,150,0.178401
ER+IE,151,0.258631
ER+IE,152,0.433573
ER+IE,153,0.30183
ER+IE,154,0.294846
ER+IE,155,0.3138
ER+IE,156,0.161325
ER+IE,157,0.362891
ER+IE,158,0.34547
ER+IE,159,0.393504
ER+IE,160,0.246176
ER+IE,161,0.069355
ER+IE,162,0.228898
ER+IE,163,0.11356
ER+IE,164,0.384
ER+IE,165,0.33251
ER+IE,166,0.307522
ER+IE,167,0.247056
ER+IE,168,0.343421
ER+IE,169,0.1333
ER+IE,170,0.317522
ER+IE,171,0.235051
ER+IE,172,0.124709
ER+IE,173,0.348478
