mechanic,replicate,final_population_size
None,0,19721
None,1,19668
None,2,19744
None,3,19805
None,4,19719
None,5,19733
None,6,19614
None,7,19731
None,8,19731
None,9,19588
None,10,19720
None,11,19744
None,12,19707
None,13,19783
None,14,19781
None,15,19762
None,16,19715
None,17,19672
None,18,19727
None,19,19735
None,20,19660
None,21,19697
None,22,19678
None,23,19740
None,24,19742
None,25,19678
None,26,19788
None,27,19645
None,28,19713
None,29,19769
None,30,19637
None,31,19772
None,32,19752
None,33,19707
None,34,19691
None,35,19688
None,36,19702
None,37,19720
None,38,19695
None,39,19633
None,40,19732
None,41,19672
None,42,19708
None,43,19719
None,44,19657
None,45,19764
None,46,19603
None,47,19672
None,48,19680
None,49,19737
None,50,19734
None,51,19765
None,52,19699
None,53,19713
None,54,19679
None,55,19659
None,56,19764
None,57,19734
None,58,19683
None,59,19717
None,60,19710
None,61,19727
None,62,19763
None,63,19686
None,64,19579
None,65,19693
None,66,19740
None,67,19691
None,68,19812
None,69,19733
None,70,19762
None,71,19660
None,72,19685
None,73,19724
None,74,19694
None,75,19651
None,76,19681
None,77,19737
None,78,19707
None,79,19737
None,80,19759
None,81,19713
None,82,19739
None,83,19702
None,84,19713
None,85,19685
None,86,19748
None,87,19825
None,88,19642
None,89,19767
None,90,19701
None,91,19735
None,92,19692
None,93,19766
None,94,19684
None,95,19729
None,96,19716
None,97,19658
None,98,19707
None,99,19798
None,100,19676
None,101,19810
None,102,19688
None,103,19747
None,104,19756
None,105,19711
None,106,19703
None,107,19711
None,108,19706
None,109,19709
None,110,19780
None,111,19751
None,112,19626
None,113,19704
None,114,19692
None,115,19674
None,116,19704
None,117,19756
None,118,19676
None,119,19615
None,120,19724
None,121,19714
None,122,19714
None,123,19694
None,124,19752
None,125,19672
None,126,19710
None,127,19655
None,128,19729
None,129,19661
None,130,19654
None,131,19696
None,132,19759
None,133,19733
None,134,19702
None,135,19740
None,136,19711
None,137,19684
None,138,19715
None,139,19654
None,140,19762
None,141,19748
None,142,19763
None,143,19756
None,144,19734
None,145,19712
None,146,19651
None,147,19689
None,148,19754
None,149,19691
None,150,19605
None,151,19723
None,152,19735
None,153,19741
None,154,19722
None,155,19770
None,156,19713
None,157,19648
None,158,19663
None,159,19723
None,160,19704
None,161,19771
None,162,19707
None,163,19673
None,164,19689
None,165,19749
None,166,19722
None,167,19665
None,168,19704
None,169,19751
None,170,19625
None,171,19760
None,172,19588
None,173,19688
None,174,19685
None,175,19734
None,176,19695
None,177,19600
None,178,19716
None,179,19792
None,180,19737
None,181,19725
None,182,19743
None,183,19677
None,184,19718
None,185,19760
None,186,19704
None,187,19725
None,188,19722
None,189,19798
None,190,19678
None,191,19760
None,192,19793
None,193,19747
None,194,19665
None,195,19696
None,196,19752
None,197,19662
None,198,19637
None,199,19694
IE,0,19772
IE,1,19741
IE,2,19777
IE,3,19764
IE,4,19765
IE,5,19817
IE,6,19712
IE,7,19769
IE,8,19767
IE,9,19774
IE,10,19787
IE,11,19805
IE,12,19790
IE,13,19867
IE,14,19766
IE,15,19767
IE,16,19842
IE,17,19842
IE,18,19650
IE,19,19712
IE,20,19768
IE,21,19866
IE,22,19702
IE,23,19809
IE,24,19720
IE,25,19748
IE,26,19701
IE,27,19859
IE,28,19846
IE,29,19761
IE,30,19669
IE,31,19774
IE,32,19662
IE,33,19717
IE,34,19720
IE,35,19738
IE,36,19741
IE,37,19749
IE,38,19778
IE,39,19761
IE,40,19710
IE,41,19811
IE,42,19834
IE,43,19824
IE,44,19731
IE,45,19829
IE,46,19840
IE,47,19786
IE,48,19747
IE,49,19713
IE,50,19861
IE,51,19849
IE,52,19695
IE,53,19846
IE,54,19775
IE,55,19783
IE,56,19800
IE,57,19753
IE,58,19804
IE,59,19735
IE,60,19782
IE,61,19787
IE,62,19812
IE,63,19839
IE,64,19787
IE,65,19746
IE,66,19719
IE,67,19765
IE,68,19850
IE,69,19780
IE,70,19720
IE,71,19842
IE,72,19834
IE,73,19776
IE,74,19788
IE,75,19790
IE,76,19789
IE,77,19740
IE,78,19774
IE,79,19706
IE,80,19755
IE,81,19753
IE,82,19838
IE,83,19727
IE,84,19779
IE,85,19789
IE,86,19664
IE,87,19774
IE,88,19831
IE,89,19715
IE,90,19674
IE,91,19761
IE,92,19829
IE,93,19782
IE,94,19840
IE,95,19770
IE,96,19890
IE,97,19739
IE,98,19741
IE,99,19750
IE,100,19815
IE,101,19756
IE,102,19790
IE,103,19793
IE,104,19815
IE,105,19791
IE,106,19783
IE,107,19770
IE,108,19761
IE,109,19785
IE,110,19764
IE,111,19775
IE,112,19848
IE,113,19861
IE,114,19850
IE,115,19765
IE,116,19813
IE,117,19749
IE,118,19865
IE,119,19825
IE,120,19687
IE,121,19853
IE,122,19831
IE,123,19829
IE,124,19817
IE,125,19806
IE,126,19728
IE,127,19842
IE,128,19707
IE,129,19745
IE,130,19789
IE,131,19844
IE,132,19765
IE,133,19788
IE,134,19835
IE,135,19782
IE,136,19830
IE,137,19840
IE,138,19742
IE,139,19715
IE,140,19741
IE,141,19775
IE,142,19715
IE,143,19718
IE,144,19861
IE,145,19718
