mechanic,final_infected_count
None,10058
None,14698
None,9651
None,12361
None,9276
None,9920
None,8646
None,7319
None,7971
None,11613
None,6858
None,8245
None,7561
None,11318
None,10469
None,11197
None,10817
None,8315
None,8696
None,11587
None,8617
None,9920
None,10164
None,10345
None,9724
None,9942
None,10119
None,11560
None,10800
None,11470
None,9946
None,7958
None,13804
None,10040
None,8143
None,10402
None,12123
None,11159
None,9512
None,10513
None,9711
None,14213
None,6517
None,9834
None,8559
None,6705
None,9212
None,10623
None,6907
None,10555
None,9120
None,7984
None,10791
None,11592
None,12830
None,9664
None,7427
None,9586
None,9400
None,10028
None,9443
None,8530
None,9490
None,10578
None,12523
None,10531
None,8030
None,9187
None,9215
None,7646
None,9552
None,8494
None,7073
None,8056
None,10356
None,9957
None,9648
None,9836
None,9599
None,11700
None,10452
None,11316
None,10230
None,14513
None,10243
None,7766
None,11866
None,9996
None,12279
None,7726
None,11039
None,10365
None,9859
None,7554
None,10250
None,10616
None,9638
None,10016
None,10906
None,8867
None,9231
None,9308
None,10989
None,10311
None,9974
None,7863
None,11973
None,10112
None,10760
None,10469
None,9600
None,8541
None,11260
None,12301
None,11944
None,9189
None,11856
None,8163
None,12210
None,6349
None,7903
None,11246
None,10016
None,8211
None,10545
None,10134
None,7906
None,8921
None,10754
None,10833
None,11342
None,8910
None,12164
None,12181
None,11557
None,8063
None,9998
None,10284
None,10172
None,9992
None,8738
None,7940
None,8049
None,10581
None,10838
None,9436
None,10103
None,12751
None,8401
None,12465
None,6901
None,9245
None,9067
None,9163
None,8913
None,9811
None,8854
None,7045
None,11163
None,6820
None,11671
None,9400
None,10341
None,10040
None,13273
None,8157
None,10135
None,8986
None,11497
None,10976
None,10995
None,8980
None,7673
None,9976
None,9569
None,12256
None,6982
None,9356
None,7877
None,10696
None,9058
None,12443
None,9337
None,9826
None,9605
None,9830
None,9913
None,9025
None,9853
None,8702
None,11974
None,9604
None,10849
None,6675
None,11189
None,12894
None,9912
None,11180
None,9685
None,7436
ER,12031
ER,15227
ER,9719
ER,11432
ER,12312
ER,10936
ER,10572
ER,13854
ER,12437
ER,9847
ER,12473
ER,14231
ER,10020
ER,13352
ER,11921
ER,11935
ER,13368
ER,14190
ER,13193
ER,9765
ER,10601
ER,14111
ER,13726
ER,12477
ER,11599
ER,9068
ER,10797
ER,13408
ER,12211
ER,12270
ER,9380
ER,9889
ER,14665
ER,9862
ER,10778
ER,12350
ER,12460
ER,11037
ER,11933
ER,12440
ER,13503
ER,10356
ER,7950
ER,12766
ER,14982
ER,12120
ER,9100
ER,12580
ER,12802
ER,11664
ER,11707
ER,12967
ER,13038
ER,12312
ER,12230
ER,12102
ER,13100
ER,9918
ER,13038
ER,12661
ER,11838
ER,11396
ER,12661
ER,11766
ER,12966
ER,13611
ER,13016
ER,12341
ER,9823
ER,10601
ER,10963
ER,10968
ER,15359
ER,11605
ER,14424
ER,14052
ER,12654
ER,10162
ER,11660
ER,9752
ER,10448
ER,11297
ER,14024
ER,10198
ER,10226
ER,10770
ER,10762
ER,11015
ER,13719
ER,9917
ER,11217
ER,12124
ER,12281
ER,12853
ER,12277
ER,12539
ER,13284
ER,10583
ER,10507
ER,11940
ER,11438
ER,11594
ER,11960
ER,12821
ER,10368
ER,11710
ER,12375
ER,9449
ER,13660
ER,12215
ER,12607
ER,12905
ER,10718
ER,14273
ER,13950
ER,12994
ER,13159
ER,13548
ER,14552
ER,14503
ER,12042
ER,11712
ER,9148
ER,10016
ER,11746
ER,14404
ER,10340
ER,13274
ER,12707
ER,10424
ER,8633
ER,11474
ER,10422
ER,14000
ER,10275
ER,11020
ER,11413
ER,13042
ER,11686
ER,13213
ER,11877
ER,11529
ER,11007
ER,14310
ER,15076
ER,12386
ER,10878
ER,9099
ER,12335
ER,9810
ER,13095
ER,13360
ER,11142
ER,12171
ER,12333
ER,10808
ER,9596
ER,11992
ER,9920
ER,11538
ER,11683
ER,11052
ER,13594
ER,9234
ER,13263
ER,11381
ER,12918
ER,10737
ER,11573
ER,12392
ER,11927
ER,12356
ER,10968
ER,10707
ER,9609
ER,11649
ER,13090
ER,11863
ER,9760
ER,14381
ER,11571
ER,11266
ER,12675
ER,12002
ER,13096
ER,12565
ER,14394
ER,11714
ER,12487
ER,12123
ER,11960
ER,11394
ER,10213
ER,11892
ER,12194
ER,9820
ER,12889
ER,13331
ER,9845
ER,11883
IE,12574
IE,11998
IE,13860
IE,13860
IE,13350
IE,11016
IE,15426
IE,13378
IE,14342
IE,13423
IE,12509
IE,11195
IE,14285
IE,14890
IE,15218
IE,11623
IE,13912
IE,12237
IE,14949
IE,9608
IE,11534
IE,14111
IE,12542
IE,11035
IE,13317
IE,13210
IE,10834
IE,11925
IE,13657
IE,13195
IE,14448
IE,11473
IE,15034
IE,15063
IE,14239
IE,10867
IE,12064
IE,13427
IE,12899
IE,12378
IE,11546
IE,11392
IE,10877
IE,13399
IE,13389
IE,12133
IE,13152
IE,15525
IE,11467
IE,14913
IE,10058
IE,12524
IE,13442
IE,12015
IE,11257
IE,12203
IE,12455
IE,10314
IE,14333
IE,9591
IE,14201
IE,12261
IE,12676
IE,13807
IE,15797
IE,10757
IE,13158
IE,11987
IE,14742
IE,14116
IE,14164
IE,11678
IE,10845
IE,13182
IE,12700
IE,14586
IE,9971
IE,12392
IE,10499
IE,13294
IE,11862
IE,14739
IE,12609
IE,13113
IE,12236
IE,13218
IE,13228
IE,11860
IE,11976
IE,12388
IE,14499
IE,12596
IE,12889
IE,9240
IE,13039
IE,15280
IE,13405
IE,14174
IE,12929
IE,9915
IE,12677
IE,15670
IE,13500
IE,14689
IE,12123
IE,12623
IE,13474
IE,13542
IE,14071
IE,8452
IE,13491
IE,13255
IE,11784
IE,12621
IE,13353
IE,13626
IE,13632
IE,15902
IE,12423
IE,11802
IE,10922
IE,15605
IE,15066
IE,13182
IE,15235
IE,11722
IE,13087
IE,12372
IE,12477
IE,13669
IE,14331
IE,13627
IE,13341
IE,12413
IE,13431
IE,14672
IE,13714
IE,10532
IE,13801
IE,13107
IE,13694
IE,12243
IE,12600
IE,13499
IE,14114
IE,14836
IE,10133
IE,12115
IE,13217
IE,14177
IE,11152
IE,12030
IE,15837
IE,13423
IE,11468
IE,15193
IE,13057
IE,14622
IE,13746
IE,15249
IE,12019
IE,14268
IE,12139
IE,12147
IE,12816
IE,15054
IE,14451
IE,13288
IE,14195
IE,13427
IE,11551
IE,13458
IE,15211
IE,12916
IE,12849
IE,13139
IE,12423
IE,11060
IE,11631
IE,8713
IE,12162
IE,10177
IE,13742
IE,15443
IE,11407
IE,12571
IE,11075
IE,11351
IE,11627
IE,9769
IE,14200
IE,14127
IE,12636
IE,13003
IE,12753
IE,13285
IE,9269
IE,14621
IE,14984
IE,13862
MK,14936
MK,16212
MK,16116
MK,14817
MK,15529
MK,16474
MK,15930
MK,17919
MK,14788
MK,16915
MK,16897
MK,14751
MK,14880
MK,16766
MK,11202
MK,15405
MK,15342
MK,12723
MK,16071
MK,15479
MK,15476
MK,13489
MK,17277
MK,15523
MK,14752
MK,16556
MK,17176
MK,16107
MK,14594
MK,15931
MK,15889
MK,16683
MK,15594
MK,14977
MK,15080
MK,15871
MK,14263
MK,16721
MK,15022
MK,15543
MK,15764
MK,15553
MK,14687
MK,16303
MK,13122
MK,17600
MK,15934
MK,16059
MK,15830
MK,13726
MK,14512
MK,16650
MK,15444
MK,15098
MK,15723
MK,15704
MK,16250
MK,16239
MK,17188
MK,14277
MK,16130
MK,15212
MK,16489
MK,9510
MK,15686
MK,16407
MK,15536
MK,17933
MK,16944
MK,16470
MK,15926
MK,15434
MK,15298
MK,15700
MK,14528
MK,13952
MK,15361
MK,15397
MK,15693
MK,16096
MK,15897
MK,15508
MK,16141
MK,16718
MK,15938
MK,14293
MK,16693
MK,14710
MK,15840
MK,16943
MK,11763
MK,17962
MK,15045
MK,14435
MK,13765
MK,15843
MK,16614
MK,15539
MK,16257
MK,17592
MK,16559
MK,16374
MK,17512
MK,14984
MK,17149
MK,16434
MK,16887
MK,14704
MK,15826
MK,15554
MK,17084
MK,16219
MK,16670
MK,13478
MK,16797
MK,13436
MK,17058
MK,15157
MK,16658
MK,17484
MK,16131
MK,16144
MK,15785
MK,14348
MK,16572
MK,15165
MK,16790
MK,15895
MK,16422
MK,14671
MK,14360
MK,13186
MK,13790
MK,14304
MK,15684
MK,12881
MK,15851
MK,16341
MK,16557
MK,13982
MK,15928
MK,14167
MK,15075
MK,13356
MK,14860
MK,15385
MK,15417
MK,15671
MK,16143
MK,15462
MK,15322
