mechanic,final_infection_rate
None,0.512196
None,0.742623
None,0.489824
None,0.626222
None,0.469885
None,0.502406
None,0.439307
None,0.371146
None,0.403125
None,0.588686
None,0.348529
None,0.417892
None,0.382777
None,0.573528
None,0.531448
None,0.56708
None,0.547752
None,0.421589
None,0.442725
None,0.586981
None,0.437211
None,0.505426
None,0.514998
None,0.525687
None,0.494106
None,0.503061
None,0.5129
None,0.586237
None,0.548864
None,0.583507
None,0.504566
None,0.403734
None,0.700711
None,0.510007
None,0.410993
None,0.52631
None,0.615443
None,0.566763
None,0.483039
None,0.532978
None,0.494349
None,0.716742
None,0.330795
None,0.498252
None,0.433631
None,0.340892
None,0.468304
None,0.538446
None,0.350431
None,0.538136
None,0.462944
None,0.407202
None,0.547128
None,0.588576
None,0.651335
None,0.491732
None,0.376909
None,0.486229
None,0.477133
None,0.508622
None,0.478563
None,0.432995
None,0.482363
None,0.537009
None,0.634108
None,0.535438
None,0.406335
None,0.466227
None,0.467505
None,0.387355
None,0.483254
None,0.431036
None,0.360481
None,0.409391
None,0.526969
None,0.504868
None,0.49002
None,0.498379
None,0.488126
None,0.595268
None,0.530558
None,0.570305
None,0.52069
None,0.735133
None,0.520108
None,0.393614
None,0.602366
None,0.506306
None,0.624663
None,0.392601
None,0.560014
None,0.526543
None,0.500558
None,0.384271
None,0.520648
None,0.5379
None,0.489338
None,0.508478
None,0.552119
None,0.449463
None,0.468983
None,0.469887
None,0.557761
None,0.522605
None,0.505678
None,0.399461
None,0.604941
None,0.514579
None,0.546665
None,0.532205
None,0.486791
None,0.432697
None,0.570907
None,0.625305
None,0.605495
None,0.466589
None,0.599302
None,0.414976
None,0.620553
None,0.323565
None,0.401351
None,0.568784
None,0.507731
None,0.41541
None,0.534899
None,0.515673
None,0.401462
None,0.452866
None,0.543955
None,0.549118
None,0.575269
None,0.452101
None,0.617055
None,0.616104
None,0.584425
None,0.40751
None,0.506921
None,0.522216
None,0.515429
None,0.506745
None,0.442498
None,0.401883
None,0.40707
None,0.537079
None,0.55018
None,0.477724
None,0.5124
None,0.648048
None,0.425109
None,0.631331
None,0.350554
None,0.467014
None,0.458787
None,0.465292
None,0.452827
None,0.49797
None,0.449305
None,0.357941
None,0.56711
None,0.345002
None,0.592737
None,0.47446
None,0.524046
None,0.509929
None,0.671473
None,0.41383
None,0.515409
None,0.455656
None,0.582835
None,0.558291
