mechanic,replicate,final_infected_count
None,0,10058
None,1,14698
None,2,9651
None,3,12361
None,4,9276
None,5,9920
None,6,8646
None,7,7319
None,8,7971
None,9,11613
None,10,6858
None,11,8245
None,12,7561
None,13,11318
None,14,10469
None,15,11197
None,16,10817
None,17,8315
None,18,8696
None,19,11587
None,20,8617
None,21,9920
None,22,10164
None,23,10345
None,24,9724
None,25,9942
None,26,10119
None,27,11560
None,28,10800
None,29,11470
None,30,9946
None,31,7958
None,32,13804
None,33,10040
None,34,8143
None,35,10402
None,36,12123
None,37,11159
None,38,9512
None,39,10513
None,40,9711
None,41,14213
None,42,6517
None,43,9834
None,44,8559
None,45,6705
None,46,9212
None,47,10623
None,48,6907
None,49,10555
None,50,9120
None,51,7984
None,52,10791
None,53,11592
None,54,12830
None,55,9664
None,56,7427
None,57,9586
None,58,9400
None,59,10028
None,60,9443
None,61,8530
None,62,9490
None,63,10578
None,64,12523
None,65,10531
None,66,8030
None,67,9187
None,68,9215
None,69,7646
None,70,9552
None,71,8494
None,72,7073
None,73,8056
None,74,10356
None,75,9957
None,76,9648
None,77,9836
None,78,9599
None,79,11700
None,80,10452
None,81,11316
None,82,10230
None,83,14513
None,84,10243
None,85,7766
None,86,11866
None,87,9996
None,88,12279
None,89,7726
None,90,11039
None,91,10365
None,92,9859
None,93,7554
None,94,10250
None,95,10616
None,96,9638
None,97,10016
None,98,10906
None,99,8867
None,100,9231
None,101,9308
None,102,10989
None,103,10311
None,104,9974
None,105,7863
None,106,11973
None,107,10112
None,108,10760
None,109,10469
None,110,9600
None,111,8541
None,112,11260
None,113,12301
None,114,11944
None,115,9189
None,116,11856
None,117,8163
None,118,12210
None,119,6349
None,120,7903
None,121,11246
None,122,10016
None,123,8211
None,124,10545
None,125,10134
None,126,7906
None,127,8921
None,128,10754
None,129,10833
None,130,11342
None,131,8910
None,132,12164
None,133,12181
None,134,11557
None,135,8063
None,136,9998
None,137,10284
None,138,10172
None,139,9992
None,140,8738
None,141,7940
None,142,8049
None,143,10581
None,144,10838
None,145,9436
None,146,10103
None,147,12751
None,148,8401
None,149,12465
None,150,6901
None,151,9245
None,152,9067
None,153,9163
None,154,8913
None,155,9811
None,156,8854
None,157,7045
None,158,11163
None,159,6820
None,160,11671
None,161,9400
None,162,10341
None,163,10040
None,164,13273
None,165,8157
None,166,10135
None,167,8986
None,168,11497
None,169,10976
None,170,10995
None,171,8980
None,172,7673
None,173,9976
None,174,9569
None,175,12256
None,176,6982
None,177,9356
None,178,7877
None,179,10696
None,180,9058
None,181,12443
None,182,9337
None,183,9826
None,184,9605
None,185,9830
None,186,9913
None,187,9025
None,188,9853
None,189,8702
None,190,11974
None,191,9604
None,192,10849
None,193,6675
None,194,11189
None,195,12894
None,196,9912
None,197,11180
None,198,9685
None,199,7436
IE,0,12574
IE,1,11998
IE,2,13860
IE,3,13860
IE,4,13350
IE,5,11016
IE,6,15426
IE,7,13378
IE,8,14342
IE,9,13423
IE,10,12509
IE,11,11195
IE,12,14285
IE,13,14890
IE,14,15218
IE,15,11623
IE,16,13912
IE,17,12237
IE,18,14949
IE,19,9608
IE,20,11534
IE,21,14111
IE,22,12542
IE,23,11035
IE,24,13317
IE,25,13210
IE,26,10834
IE,27,11925
IE,28,13657
IE,29,13195
IE,30,14448
IE,31,11473
IE,32,15034
IE,33,15063
IE,34,14239
IE,35,10867
IE,36,12064
IE,37,13427
IE,38,12899
IE,39,12378
IE,40,11546
IE,41,11392
IE,42,10877
IE,43,13399
IE,44,13389
IE,45,12133
IE,46,13152
IE,47,15525
IE,48,11467
IE,49,14913
IE,50,10058
IE,51,12524
IE,52,13442
IE,53,12015
IE,54,11257
IE,55,12203
IE,56,12455
IE,57,10314
IE,58,14333
IE,59,9591
IE,60,14201
IE,61,12261
IE,62,12676
IE,63,13807
IE,64,15797
IE,65,10757
IE,66,13158
IE,67,11987
IE,68,14742
IE,69,14116
IE,70,14164
IE,71,11678
IE,72,10845
IE,73,13182
IE,74,12700
IE,75,14586
IE,76,9971
IE,77,12392
IE,78,10499
IE,79,13294
IE,80,11862
IE,81,14739
IE,82,12609
IE,83,13113
IE,84,12236
IE,85,13218
IE,86,13228
IE,87,11860
IE,88,11976
IE,89,12388
IE,90,14499
IE,91,12596
IE,92,12889
IE,93,9240
IE,94,13039
IE,95,15280
IE,96,13405
IE,97,14174
IE,98,12929
IE,99,9915
IE,100,12677
IE,101,15670
IE,102,13500
IE,103,14689
IE,104,12123
IE,105,12623
IE,106,13474
IE,107,13542
IE,108,14071
IE,109,8452
IE,110,13491
IE,111,13255
IE,112,11784
IE,113,12621
IE,114,13353
IE,115,13626
IE,116,13632
IE,117,15902
IE,118,12423
IE,119,11802
IE,120,10922
IE,121,15605
IE,122,15066
IE,123,13182
IE,124,15235
IE,125,11722
IE,126,13087
IE,127,12372
IE,128,12477
IE,129,13669
IE,130,14331
IE,131,13627
IE,132,13341
IE,133,12413
IE,134,13431
IE,135,14672
IE,136,13714
IE,137,10532
IE,138,13801
IE,139,13107
IE,140,13694
IE,141,12243
IE,142,12600
IE,143,13499
IE,144,14114
IE,145,14836
IE,146,10133
IE,147,12115
IE,148,13217
IE,149,14177
IE,150,11152
IE,151,12030
IE,152,15837
IE,153,13423
IE,154,11468
IE,155,15193
IE,156,13057
IE,157,14622
IE,158,13746
IE,159,15249
IE,160,12019
IE,161,14268
IE,162,12139
IE,163,12147
IE,164,12816
IE,165,15054
IE,166,14451
IE,167,13288
IE,168,14195
IE,169,13427
IE,170,11551
IE,171,13458
IE,172,15211
IE,173,12916
IE,174,12849
IE,175,13139
IE,176,12423
IE,177,11060
IE,178,11631
IE,179,8713
IE,180,12162
IE,181,10177
IE,182,13742
IE,183,15443
IE,184,11407
IE,185,12571
IE,186,11075
IE,187,11351
IE,188,11627
IE,189,9769
IE,190,14200
IE,191,14127
IE,192,12636
IE,193,13003
IE,194,12753
IE,195,13285
IE,196,9269
IE,197,14621
IE,198,14984
IE,199,13862
ER,0,12031
ER,1,15227
ER,2,9719
ER,3,11432
ER,4,12312
ER,5,10936
ER,6,10572
ER,7,13854
ER,8,12437
ER,9,9847
ER,10,12473
ER,11,14231
ER,12,10020
ER,13,13352
ER,14,11921
ER,15,11935
ER,16,13368
ER,17,14190
ER,18,13193
ER,19,9765
ER,20,10601
ER,21,14111
ER,22,13726
ER,23,12477
ER,24,11599
ER,25,9068
ER,26,10797
ER,27,13408
ER,28,12211
ER,29,12270
ER,30,9380
ER,31,9889
ER,32,14665
ER,33,9862
ER,34,10778
ER,35,12350
ER,36,12460
ER,37,11037
ER,38,11933
ER,39,12440
ER,40,13503
ER,41,10356
ER,42,7950
