mechanic,replicate,final_infection_rate
None,0,0.512196
None,1,0.742623
None,2,0.489824
None,3,0.626222
None,4,0.469885
None,5,0.502406
None,6,0.439307
None,7,0.371146
None,8,0.403125
None,9,0.588686
None,10,0.348529
None,11,0.417892
None,12,0.382777
None,13,0.573528
None,14,0.531448
None,15,0.56708
None,16,0.547752
None,17,0.421589
None,18,0.442725
None,19,0.586981
None,20,0.437211
None,21,0.505426
None,22,0.514998
None,23,0.525687
None,24,0.494106
None,25,0.503061
None,26,0.5129
None,27,0.586237
None,28,0.548864
None,29,0.583507
None,30,0.504566
None,31,0.403734
None,32,0.700711
None,33,0.510007
None,34,0.410993
None,35,0.52631
None,36,0.615443
None,37,0.566763
None,38,0.483039
None,39,0.532978
None,40,0.494349
None,41,0.716742
None,42,0.330795
None,43,0.498252
None,44,0.433631
None,45,0.340892
None,46,0.468304
None,47,0.538446
None,48,0.350431
None,49,0.538136
None,50,0.462944
None,51,0.407202
None,52,0.547128
None,53,0.588576
None,54,0.651335
None,55,0.491732
None,56,0.376909
None,57,0.486229
None,58,0.477133
None,59,0.508622
None,60,0.478563
None,61,0.432995
None,62,0.482363
None,63,0.537009
None,64,0.634108
None,65,0.535438
None,66,0.406335
None,67,0.466227
None,68,0.467505
None,69,0.387355
None,70,0.483254
None,71,0.431036
None,72,0.360481
None,73,0.409391
None,74,0.526969
None,75,0.504868
None,76,0.49002
None,77,0.498379
None,78,0.488126
None,79,0.595268
None,80,0.530558
None,81,0.570305
None,82,0.52069
None,83,0.735133
None,84,0.520108
None,85,0.393614
None,86,0.602366
None,87,0.506306
None,88,0.624663
None,89,0.392601
None,90,0.560014
None,91,0.526543
None,92,0.500558
None,93,0.384271
None,94,0.520648
None,95,0.5379
None,96,0.489338
None,97,0.508478
None,98,0.552119
None,99,0.449463
None,100,0.468983
None,101,0.469887
None,102,0.557761
None,103,0.522605
None,104,0.505678
None,105,0.399461
None,106,0.604941
None,107,0.514579
None,108,0.546665
None,109,0.532205
None,110,0.486791
None,111,0.432697
None,112,0.570907
None,113,0.625305
None,114,0.605495
None,115,0.466589
None,116,0.599302
None,117,0.414976
None,118,0.620553
None,119,0.323565
None,120,0.401351
None,121,0.568784
None,122,0.507731
None,123,0.41541
None,124,0.534899
None,125,0.515673
None,126,0.401462
None,127,0.452866
None,128,0.543955
None,129,0.549118
None,130,0.575269
None,131,0.452101
None,132,0.617055
None,133,0.616104
None,134,0.584425
None,135,0.40751
None,136,0.506921
None,137,0.522216
None,138,0.515429
None,139,0.506745
None,140,0.442498
None,141,0.401883
None,142,0.40707
None,143,0.537079
None,144,0.55018
None,145,0.477724
None,146,0.5124
None,147,0.648048
None,148,0.425109
None,149,0.631331
None,150,0.350554
None,151,0.467014
None,152,0.458787
None,153,0.465292
None,154,0.452827
None,155,0.49797
None,156,0.449305
None,157,0.357941
None,158,0.56711
None,159,0.345002
None,160,0.592737
None,161,0.47446
None,162,0.524046
None,163,0.509929
None,164,0.671473
None,165,0.41383
None,166,0.515409
None,167,0.455656
None,168,0.582835
None,169,0.558291
None,170,0.555893
None,171,0.453215
None,172,0.388683
None,173,0.507039
None,174,0.484752
None,175,0.623017
None,176,0.353716
None,177,0.475576
None,178,0.39922
None,179,0.542889
None,180,0.460101
None,181,0.630792
None,182,0.473983
None,183,0.499568
None,184,0.487044
None,185,0.497999
None,186,0.50525
None,187,0.458471
None,188,0.499164
None,189,0.441614
None,190,0.604931
None,191,0.486821
None,192,0.550627
None,193,0.338884
None,194,0.566962
None,195,0.654518
None,196,0.503582
None,197,0.56642
None,198,0.490927
None,199,0.376087
IE,0,0.631828
IE,1,0.601916
IE,2,0.695818
IE,3,0.694772
IE,4,0.67397
IE,5,0.551738
IE,6,0.772575
IE,7,0.670408
IE,8,0.718249
IE,9,0.671721
IE,10,0.627962
IE,11,0.565033
IE,12,0.716184
IE,13,0.748617
IE,14,0.762463
IE,15,0.584305
IE,16,0.697658
IE,17,0.613599
IE,18,0.748985
IE,19,0.482572
IE,20,0.57774
IE,21,0.708348
IE,22,0.631044
IE,23,0.55391
IE,24,0.667251
IE,25,0.661824
IE,26,0.545025
IE,27,0.599096
IE,28,0.683944
IE,29,0.664
IE,30,0.726687
IE,31,0.577084
IE,32,0.752189
IE,33,0.754017
IE,34,0.713341
IE,35,0.545176
IE,36,0.606384
IE,37,0.67408
IE,38,0.649039
IE,39,0.621354
IE,40,0.579589
IE,41,0.572002
IE,42,0.546803
IE,43,0.670553
IE,44,0.673355
IE,45,0.610865
IE,46,0.659943
IE,47,0.777455
IE,48,0.574787
IE,49,0.747781
IE,50,0.505707
IE,51,0.628841
IE,52,0.672975
IE,53,0.60389
IE,54,0.566532
IE,55,0.612539
IE,56,0.624373
IE,57,0.519074
IE,58,0.718014
IE,59,0.482057
IE,60,0.713546
IE,61,0.614002
IE,62,0.637401
IE,63,0.692358
IE,64,0.790482
IE,65,0.541969
IE,66,0.661971
IE,67,0.600762
IE,68,0.7371
IE,69,0.709454
IE,70,0.711187
IE,71,0.585275
IE,72,0.546678
IE,73,0.661315
IE,74,0.638351
IE,75,0.730249
IE,76,0.500602
IE,77,0.62488
IE,78,0.52653
IE,79,0.668477
IE,80,0.595901
IE,81,0.737577
IE,82,0.631524
IE,83,0.656668
IE,84,0.61435
IE,85,0.664154
IE,86,0.664557
IE,87,0.59691
IE,88,0.601416
IE,89,0.623045
IE,90,0.727752
IE,91,0.630715
IE,92,0.648895
IE,93,0.466525
IE,94,0.655094
IE,95,0.765416
IE,96,0.67328
IE,97,0.709338
IE,98,0.64846
IE,99,0.499069
IE,100,0.635407
IE,101,0.785385
IE,102,0.675608
IE,103,0.736438
IE,104,0.611285
IE,105,0.632732
IE,106,0.676134
IE,107,0.677846
IE,108,0.706482
IE,109,0.427668
IE,110,0.678417
IE,111,0.667019
IE,112,0.591596
IE,113,0.635915
IE,114,0.66882
IE,115,0.682734
IE,116,0.685783
IE,117,0.798454
IE,118,0.623363
IE,119,0.593095
IE,120,0.548789
IE,121,0.78299
IE,122,0.756781
IE,123,0.659793
IE,124,0.761864
IE,125,0.59223
IE,126,0.655333
IE,127,0.619622
IE,128,0.625006
IE,129,0.68685
IE,130,0.718382
IE,131,0.682237
IE,132,0.671313
