mechanic,replicate,final_population_size
None,0,19637
None,1,19792
None,2,19703
None,3,19739
None,4,19741
None,5,19745
None,6,19681
None,7,19720
None,8,19773
None,9,19727
None,10,19677
None,11,19730
None,12,19753
None,13,19734
None,14,19699
None,15,19745
None,16,19748
None,17,19723
None,18,19642
None,19,19740
None,20,19709
None,21,19627
None,22,19736
None,23,19679
None,24,19680
None,25,19763
None,26,19729
None,27,19719
None,28,19677
None,29,19657
None,30,19712
None,31,19711
None,32,19700
None,33,19686
None,34,19813
None,35,19764
None,36,19698
None,37,19689
None,38,19692
None,39,19725
None,40,19644
None,41,19830
None,42,19701
None,43,19737
None,44,19738
None,45,19669
None,46,19671
None,47,19729
None,48,19710
None,49,19614
None,50,19700
None,51,19607
None,52,19723
None,53,19695
None,54,19698
None,55,19653
None,56,19705
None,57,19715
None,58,19701
None,59,19716
None,60,19732
None,61,19700
None,62,19674
None,63,19698
None,64,19749
None,65,19668
None,66,19762
None,67,19705
None,68,19711
None,69,19739
None,70,19766
None,71,19706
None,72,19621
None,73,19678
None,74,19652
None,75,19722
None,76,19689
None,77,19736
None,78,19665
None,79,19655
None,80,19700
None,81,19842
None,82,19647
None,83,19742
None,84,19694
None,85,19730
None,86,19699
None,87,19743
None,88,19657
None,89,19679
None,90,19712
None,91,19685
None,92,19696
None,93,19658
None,94,19687
None,95,19736
None,96,19696
None,97,19698
None,98,19753
None,99,19728
None,100,19683
None,101,19809
None,102,19702
None,103,19730
None,104,19724
None,105,19684
None,106,19792
None,107,19651
None,108,19683
None,109,19671
None,110,19721
None,111,19739
None,112,19723
None,113,19672
None,114,19726
None,115,19694
None,116,19783
None,117,19671
None,118,19676
None,119,19622
None,120,19691
None,121,19772
None,122,19727
None,123,19766
None,124,19714
None,125,19652
None,126,19693
None,127,19699
None,128,19770
None,129,19728
None,130,19716
None,131,19708
None,132,19713
None,133,19771
None,134,19775
None,135,19786
None,136,19723
None,137,19693
None,138,19735
None,139,19718
None,140,19747
None,141,19757
None,142,19773
None,143,19701
None,144,19699
None,145,19752
None,146,19717
None,147,19676
None,148,19762
None,149,19744
None,150,19686
None,151,19796
None,152,19763
None,153,19693
None,154,19683
None,155,19702
None,156,19706
None,157,19682
None,158,19684
None,159,19768
None,160,19690
None,161,19812
None,162,19733
None,163,19689
None,164,19767
None,165,19711
None,166,19664
None,167,19721
None,168,19726
None,169,19660
None,170,19779
None,171,19814
None,172,19741
None,173,19675
None,174,19740
None,175,19672
None,176,19739
None,177,19673
None,178,19731
None,179,19702
None,180,19687
None,181,19726
None,182,19699
None,183,19669
None,184,19721
None,185,19739
None,186,19620
None,187,19685
None,188,19739
None,189,19705
None,190,19794
None,191,19728
None,192,19703
None,193,19697
None,194,19735
None,195,19700
None,196,19683
None,197,19738
None,198,19728
None,199,19772
IE,0,19901
IE,1,19933
IE,2,19919
IE,3,19949
IE,4,19808
IE,5,19966
IE,6,19967
IE,7,19955
IE,8,19968
IE,9,19983
IE,10,19920
IE,11,19813
IE,12,19946
IE,13,19890
IE,14,19959
IE,15,19892
IE,16,19941
IE,17,19943
IE,18,19959
IE,19,19910
IE,20,19964
IE,21,19921
IE,22,19875
IE,23,19922
IE,24,19958
IE,25,19960
IE,26,19878
IE,27,19905
IE,28,19968
IE,29,19872
IE,30,19882
IE,31,19881
IE,32,19987
IE,33,19977
IE,34,19961
IE,35,19933
IE,36,19895
IE,37,19919
IE,38,19874
IE,39,19921
IE,40,19921
IE,41,19916
IE,42,19892
IE,43,19982
IE,44,19884
IE,45,19862
IE,46,19929
IE,47,19969
IE,48,19950
IE,49,19943
IE,50,19889
IE,51,19916
IE,52,19974
IE,53,19896
IE,54,19870
IE,55,19922
IE,56,19948
IE,57,19870
IE,58,19962
IE,59,19896
IE,60,19902
IE,61,19969
IE,62,19887
IE,63,19942
IE,64,19984
IE,65,19848
IE,66,19877
IE,67,19953
IE,68,20000
IE,69,19897
IE,70,19916
IE,71,19953
IE,72,19838
IE,73,19933
IE,74,19895
IE,75,19974
IE,76,19918
IE,77,19831
IE,78,19940
IE,79,19887
IE,80,19906
IE,81,19983
IE,82,19966
IE,83,19969
IE,84,19917
IE,85,19902
IE,86,19905
IE,87,19869
IE,88,19913
IE,89,19883
IE,90,19923
IE,91,19971
IE,92,19863
IE,93,19806
IE,94,19904
IE,95,19963
IE,96,19910
IE,97,19982
IE,98,19938
IE,99,19867
IE,100,19951
IE,101,19952
IE,102,19982
IE,103,19946
IE,104,19832
IE,105,19950
IE,106,19928
IE,107,19978
IE,108,19917
IE,109,19763
IE,110,19886
IE,111,19872
IE,112,19919
IE,113,19847
IE,114,19965
IE,115,19958
IE,116,19878
IE,117,19916
IE,118,19929
IE,119,19899
IE,120,19902
IE,121,19930
IE,122,19908
IE,123,19979
IE,124,19997
IE,125,19793
IE,126,19970
IE,127,19967
IE,128,19963
IE,129,19901
IE,130,19949
IE,131,19974
IE,132,19873
IE,133,19905
IE,134,19998
IE,135,19961
IE,136,19923
IE,137,19924
IE,138,19985
IE,139,19979
IE,140,19964
IE,141,19898
IE,142,19954
IE,143,19945
IE,144,19862
IE,145,19932
IE,146,19823
IE,147,19936
IE,148,19976
IE,149,19946
IE,150,19923
IE,151,19954
IE,152,19974
IE,153,19956
IE,154,19921
IE,155,19931
IE,156,19921
IE,157,19950
IE,158,19964
IE,159,19982
IE,160,19981
IE,161,20000
IE,162,19897
IE,163,19850
IE,164,19963
IE,165,19946
IE,166,19960
IE,167,19934
IE,168,19969
IE,169,19951
IE,170,19883
IE,171,19925
IE,172,19997
IE,173,19884
IE,174,19942
IE,175,19920
IE,176,19904
IE,177,19886
IE,178,19906
IE,179,19854
IE,180,19873
IE,181,19866
IE,182,19877
IE,183,19961
IE,184,19917
IE,185,19932
IE,186,19850
IE,187,19906
IE,188,19899
IE,189,19871
IE,190,19924
IE,191,19932
IE,192,19972
IE,193,19971
IE,194,19870
IE,195,19985
IE,196,19839
IE,197,19959
IE,198,19892
IE,199,19937
ER,0,19634
ER,1,19692
ER,2,19697
ER,3,19701
ER,4,19711
ER,5,19693
ER,6,19702
ER,7,19657
ER,8,19762
ER,9,19720
ER,10,19631
ER,11,19731
ER,12,19718
ER,13,19728
ER,14,19769
ER,15,19615
ER,16,19771
ER,17,19746
ER,18,19705
ER,19,19711
ER,20,19654
ER,21,19615
ER,22,19734
ER,23,19591
ER,24,19705
ER,25,19711
ER,26,19701
ER,27,19687
ER,28,19715
ER,29,19735
ER,30,19742
ER,31,19734
ER,32,19664
ER,33,19709
ER,34,19664
ER,35,19723
ER,36,19797
ER,37,19739
ER,38,19765
ER,39,19709
ER,40,19707
ER,41,19623
ER,42,19669
ER,43,19754
ER,44,19768
ER,45,19761
ER,46,19750
ER,47,19726
ER,48,19654
ER,49,19741
ER,50,19722
ER,51,19765
ER,52,19764
ER,53,19738
ER,54,19691
ER,55,19765
ER,56,19676
ER,57,19797
ER,58,19738
ER,59,19746
ER,60,19800
ER,61,19725
ER,62,19661
ER,63,19805
ER,64,19721
ER,65,19728
ER,66,19732
ER,67,19766
ER,68,19684
ER,69,19709
ER,70,19702
ER,71,19657
ER,72,19741
ER,73,19665
ER,74,19776
ER,75,19642
ER,76,19858
ER,77,19766
ER,78,19610
ER,79,19713
ER,80,19737
ER,81,19690
ER,82,19769
ER,83,19709
ER,84,19775
ER,85,19649
ER,86,19662
ER,87,19656
ER,88,19728
ER,89,19687
ER,90,19677
ER,91,19705
ER,92,19653
ER,93,19755
ER,94,19656
ER,95,19735
ER,96,19686
ER,97,19720
ER,98,19689
ER,99,19686
ER,100,19639
ER,101,19681
ER,102,19718
ER,103,19663
ER,104,19712
ER,105,19675
ER,106,19722
ER,107,19713
ER,108,19662
ER,109,19757
ER,110,19751
ER,111,19729
ER,112,19696
ER,113,19656
ER,114,19647
ER,115,19664
ER,116,19766
ER,117,19700
ER,118,19605
ER,119,19659
ER,120,19660
ER,121,19697
ER,122,19719
ER,123,19706
ER,124,19696
ER,125,19676
ER,126,19697
ER,127,19796
ER,128,19709
ER,129,19671
ER,130,19643
ER,131,19700
ER,132,19741
ER,133,19701
ER,134,19612
ER,135,19771
ER,136,19653
ER,137,19718
ER,138,19648
ER,139,19716
ER,140,19825
ER,141,19735
ER,142,19736
ER,143,19675
ER,144,19746
ER,145,19643
ER,146,19715
ER,147,19680
ER,148,19808
ER,149,19700
ER,150,19693
ER,151,19562
ER,152,19670
ER,153,19733
ER,154,19764
ER,155,19631
ER,156,19724
ER,157,19649
ER,158,19682
ER,159,19669
ER,160,19639
ER,161,19661
ER,162,19729
ER,163,19712
ER,164,19782
ER,165,19716
ER,166,19718
ER,167,19653
ER,168,19667
ER,169,19678
ER,170,19743
ER,171,19683
ER,172,19669
ER,173,19737
ER,174,19735
ER,175,19739
ER,176,19730
ER,177,19704
ER,178,19656
ER,179,19754
ER,180,19661
ER,181,19688
ER,182,19616
ER,183,19633
ER,184,19702
ER,185,19686
ER,186,19743
ER,187,19765
ER,188,19679
ER,189,19756
ER,190,19745
ER,191,19674
ER,192,19741
ER,193,19696
ER,194,19728
ER,195,19599
ER,196,19621
ER,197,19728
ER,198,19760
ER,199,19695
ER+IE,0,19926
ER+IE,1,19872
ER+IE,2,19938
ER+IE,3,19980
ER+IE,4,19908
ER+IE,5,19948
ER+IE,6,19937
ER+IE,7,19975
ER+IE,8,20000
ER+IE,9,19896
ER+IE,10,19974
ER+IE,11,19943
ER+IE,12,19963
ER+IE,13,19937
ER+IE,14,19976
ER+IE,15,19951
ER+IE,16,19961
ER+IE,17,19967
ER+IE,18,19929
ER+IE,19,19972
ER+IE,20,19922
ER+IE,21,19954
ER+IE,22,19875
ER+IE,23,19942
