species,sex,median_speed_mmPs,median_temperature_degC
H. crassidens,F,5.2575,16.86
H. crassidens,F,6.4281,9.7
H. crassidens,F,7.1978,10.84
H. crassidens,unknown,12.9061,11.83
H. crassidens,F,7.593,11.13
H. crassidens,M,8.6498,14.41
H. crassidens,F,3.6336,18.59
H. crassidens,F,9.1637,10.96
H. crassidens,F,6.3458,9.51
H. crassidens,M,4.9078,12.43
H. maori,unknown,7.4662,18.72
H. maori,unknown,5.9629,18.67
H. maori,unknown,4.1571,20.55
H. maori,unknown,5.913,7.94
H. maori,unknown,4.1617,6.85
H. maori,unknown,7.809,28.35
H. maori,unknown,3.9881,19.37
H. maori,unknown,6.6537,12.11
H. maori,unknown,6.3417,6.82
H. maori,unknown,7.0051,7.7
H. maori,unknown,7.9584,14.83
H. maori,unknown,4.4372,19.06
H. maori,unknown,4.8783,21.57
H. maori,unknown,6.1412,6.33
H. maori,unknown,6.0082,13.95
H. thoracica,unknown,4.8502,10.43
H. thoracica,unknown,7.1732,16.59
H. thoracica,unknown,7.8197,24.83
H. thoracica,unknown,9.2747,12.96
H. thoracica,unknown,9.7744,12.91
H. thoracica,unknown,8.5181,14.36
H. thoracica,unknown,8.397,10.31
H. thoracica,unknown,8.4595,15.15
H. thoracica,unknown,3.4341,23.1
