,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
0,2.12,34,53.0,61,15680.630356063893,605.4788547427511,1.0724307096102188,right,10,free,head,605.4788547427511,165.42209363384268,0.056419196515918105
1,8.0,193,200.0,206,-6997.076756225739,-504.48557924547595,0.5379782090976175,left,10,free,head,504.48557924547595,172.18290653138405,0.5181852312744168
2,8.8,210,220.0,227,6653.103617998488,390.0940442740563,0.6711462950754151,right,10,free,head,390.0940442740563,127.13632535606666,0.22510962609483565
3,1.92,38,48.0,63,-15856.17378381267,-521.076585923456,0.9999843556980437,left,18,associated,head,521.076585923456,286.3977439684014,0.25417726523370693
4,2.36,54,59.0,61,-5310.275869369989,-390.58724713090567,0.24204196615117837,left,18,associated,head,390.58724713090567,321.451512967397,0.7317288985368642
5,4.72,85,118.0,130,-20055.208582064464,-704.0529468527611,1.7952298227166203,left,18,associated,head,704.0529468527611,90.16238282979856,0.5254885269769389
6,0.28,1,7.0,12,17049.586671580804,940.9028795645911,0.46457980042491515,right,19,associated,head,940.9028795645911,620.7604315015997,8.17287163958769
7,0.96,17,24.0,30,16938.256502548767,939.6118383853352,0.5372888575089689,right,19,associated,head,939.6118383853352,567.1567804312787,2.575608793191691
8,1.52,31,38.0,49,-18987.91088178349,-1040.308912382186,0.7131632946535977,left,19,associated,head,1040.308912382186,351.2781708996542,1.1067120970830906
9,3.24,71,81.0,88,-8160.066544171477,-494.04262714593915,0.6592593142311671,left,19,free,head,494.04262714593915,146.14698290161562,0.6198794007808736
10,4.4,99,110.0,112,477.24020936035555,336.14864914130055,0.5142011913737053,right,19,free,head,336.14864914130055,138.29154180166867,0.3973924529980561
11,4.56,112,114.0,119,-3465.256635119156,-317.08360641386247,0.2669746313523103,left,19,free,head,317.08360641386247,239.83949816651523,18.62932276857348
12,4.96,119,124.0,134,18419.57304523821,801.2814136351466,0.5883935372644987,right,19,associated,head,801.2814136351466,578.8059701768652,5.176059348330347
13,5.68,138,142.0,150,5890.510004699632,494.7544033254741,0.4592816877988548,right,19,associated,head,494.7544033254741,139.29998023861003,0.5261705580534028
14,6.0,100,150.0,164,11494.475739832156,337.54664042971984,2.5838152303465445,right,24,associated,head,337.54664042971984,58.005004277480054,0.5382026370613395
15,8.56,210,214.0,219,5075.362750442321,347.2670337503401,0.36369695903065574,right,24,associated,head,347.2670337503401,244.79268961576065,7.793212352464446
16,8.96,220,224.0,227,-5625.002481327445,-545.960694838563,0.27046771968919187,left,24,associated,head,545.960694838563,334.300475835047,0.14793422857881813
17,9.36,230,234.0,239,19728.138885435576,1132.5971410504199,0.3836560073203771,right,24,associated,head,1132.5971410504199,948.2798779064751,0.28070733559583816
18,9.72,243,243.0,245,4535.879826270969,1000.9432140159774,0.09331986512789285,right,24,associated,head,1000.9432140159774,978.2077220644425,29.321977942810516
19,10.0,227,250.0,265,70380.40188973695,1252.3962342502894,1.5080075448702213,right,24,associated,head,1252.3962342502894,868.7811532758783,2.2906520793225833
20,10.4,256,260.0,262,10233.828425215206,931.2448150125531,0.2402650606193879,right,24,associated,head,931.2448150125531,775.5753777150744,3.67636430913295
21,11.24,278,281.0,283,11451.251377714425,1102.9105698972817,0.17716494221913082,right,24,associated,head,1102.9105698972817,992.6075499876333,0.0073513829400504195
22,0.56,13,14.0,15,3115.684166969962,682.4152883712825,0.0840122892889569,right,25,free,head,682.4152883712825,677.0583907757825,0.016501793173436467
23,0.68,10,17.0,23,16112.452012548987,701.5831291775022,0.5340930114024719,right,25,free,head,701.5831291775022,558.1022679276354,0.013171555627290818
24,1.36,7,34.0,46,39028.663799507325,841.2577244749137,1.5566078481416263,right,25,free,head,841.2577244749137,399.30902208612554,0.005295672272420364
25,0.28,7,7.0,8,-580.2596152812027,-253.18602007531473,0.04497269476032116,left,27,associated,head,253.18602007531473,233.64676524812555,6.75418168621673
26,0.4,5,10.0,14,-4346.762182275203,-279.5220687468197,0.3443799100949548,left,27,associated,head,279.5220687468197,230.06146893880663,0.06011034575696639
27,0.92,14,23.0,31,21260.4195869055,984.6292498382936,0.6894516423015361,right,27,associated,head,984.6292498382936,475.0272106689126,0.02085144719980764
28,1.68,34,42.0,49,-14831.355071795664,-856.009251037727,0.5770587126459216,left,27,associated,head,856.009251037727,360.12090339221,0.000595244435512989
29,2.32,57,58.0,59,-2658.5936172806128,-587.1103169885087,0.06911310150409122,left,27,free,head,587.1103169885087,572.9199853628093,0.014126352587402219
30,2.56,54,64.0,73,-25630.278851909177,-1120.2785013201064,0.7647278772569683,left,27,free,head,1120.2785013201064,574.2058718566182,0.023633078416727956
31,4.6,105,115.0,144,30810.314040054254,862.925785278336,1.570739583538944,right,27,free,head,862.925785278336,268.59236653889286,0.0011148610892262258
32,5.4,127,135.0,141,10564.853600196231,551.4839020185485,0.544251863216403,right,27,free,head,551.4839020185485,309.61131629153726,0.0009674281313088872
33,0.56,6,14.0,30,18260.73519249881,846.4632739693718,0.9550224795408218,right,28,free,head,846.4632739693718,177.07921687884465,0.0005430924076413872
34,2.28,44,57.0,68,-21621.958660805212,-858.4802082471217,0.9597036565535351,left,28,free,head,858.4802082471217,363.65045071165446,0.000897217725882693
