mechanic,final_infection_rate
None,0.62
None,0.84
None,0.18
None,0.94
None,0.52
None,0.44
None,0.72
None,0.84
None,0.0
None,0.88
None,1.0
None,0.8
None,1.0
None,1.0
None,0.56
None,0.12
None,0.68
None,0.6
None,0.64
None,0.12
None,0.12
None,0.86
None,0.0
None,0.18
None,0.0
None,0.36
None,1.0
None,0.0
None,0.52
None,1.0
None,0.6
None,0.64
None,1.0
None,1.0
None,0.22
None,0.46
None,0.54
None,0.38
None,0.02
None,0.96
None,0.14
None,1.0
None,0.0
None,0.86
None,0.2
None,0.36
None,0.92
None,0.98
None,0.0
None,1.0
None,0.0
None,0.76
None,0.28
None,0.28
None,1.0
None,1.0
None,0.66
None,0.14
None,0.16
None,0.7
None,0.32
None,0.94
None,0.64
None,1.0
None,0.58
None,0.22
None,0.0
None,0.28
None,0.74
None,0.56
None,0.0
None,0.98
None,0.04
None,0.52
None,0.46
None,0.62
None,1.0
None,1.0
None,0.22
None,0.14
None,1.0
None,0.0
None,1.0
None,0.66
None,0.36
None,0.78
None,0.0
None,0.52
None,0.12
None,0.44
None,0.16
None,0.36
None,0.58
None,0.46
None,0.28
None,0.66
None,0.44
None,0.18
None,0.7
None,0.86
None,0.98
None,0.28
None,0.58
None,1.0
None,0.14
None,0.28
None,0.2
None,0.0
None,0.54
None,0.46
None,0.0
None,0.74
None,0.5
None,1.0
None,0.0
None,0.84
None,0.58
None,0.66
None,0.76
None,0.76
None,0.82
None,0.82
None,0.0
None,0.52
None,0.44
None,0.12
None,0.44
None,0.16
None,1.0
None,0.0
None,0.98
None,0.78
None,1.0
None,0.42
None,0.42
None,0.24
None,0.58
None,0.24
None,0.7
None,1.0
None,0.22
None,0.78
None,0.68
None,0.02
None,0.4
None,0.84
None,0.08
None,0.42
None,0.98
None,0.56
None,0.54
None,0.42
None,0.5
None,0.1
None,0.0
None,0.24
None,0.8
None,0.96
None,0.36
None,0.0
None,0.0
None,0.8
None,0.46
None,0.0
None,0.78
None,1.0
None,1.0
None,0.62
None,0.72
None,0.24
None,1.0
None,1.0
None,1.0
None,0.44
None,0.0
None,0.0
None,0.0
None,0.32
None,0.0
None,0.96
None,0.3
None,0.2
None,0.0
None,1.0
None,0.56
None,0.0
None,0.0
None,0.0
None,0.36
None,0.58
None,0.2
None,0.34
None,0.8
None,0.0
None,0.28
None,0.0
None,1.0
None,0.48
None,1.0
None,0.68
ER,0.92
ER,1.0
ER,0.9
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.94
ER,1.0
ER,0.7
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.84
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.86
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.92
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.7
ER,1.0
ER,1.0
ER,0.74
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.82
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.94
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.52
ER,1.0
ER,1.0
ER,1.0
ER,0.92
ER,0.92
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.9
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.88
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,1.0
ER,0.98
ER,1.0
ER,0.82
ER,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,0.94
ER+IE,0.92
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,0.94
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,0.98
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
ER+IE,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
CI+ER+IE,1.0
