mechanic,replicate,reached_fixation
None,0,0
None,1,0
None,2,0
None,3,0
None,4,0
None,5,0
None,6,0
None,7,0
None,8,0
None,9,0
None,10,1
None,11,0
None,12,1
None,13,1
None,14,0
None,15,0
None,16,0
None,17,0
None,18,0
None,19,0
None,20,0
None,21,0
None,22,0
None,23,0
None,24,0
None,25,0
None,26,1
None,27,0
None,28,0
None,29,1
None,30,0
None,31,0
None,32,1
None,33,1
None,34,0
None,35,0
None,36,0
None,37,0
None,38,0
None,39,0
None,40,0
None,41,1
None,42,0
None,43,0
None,44,0
None,45,0
None,46,0
None,47,0
None,48,0
None,49,1
None,50,0
None,51,0
None,52,0
None,53,0
None,54,1
None,55,1
None,56,0
None,57,0
None,58,0
None,59,0
None,60,0
None,61,0
None,62,0
None,63,1
None,64,0
None,65,0
None,66,0
None,67,0
None,68,0
None,69,0
None,70,0
None,71,0
None,72,0
None,73,0
None,74,0
None,75,0
None,76,1
None,77,1
None,78,0
None,79,0
None,80,1
None,81,0
None,82,1
None,83,0
None,84,0
None,85,0
None,86,0
None,87,0
None,88,0
None,89,0
None,90,0
None,91,0
None,92,0
None,93,0
None,94,0
None,95,0
None,96,0
None,97,0
None,98,0
None,99,0
None,100,0
None,101,0
None,102,0
None,103,1
None,104,0
None,105,0
None,106,0
None,107,0
None,108,0
None,109,0
None,110,0
None,111,0
None,112,0
None,113,1
None,114,0
None,115,0
None,116,0
None,117,0
None,118,0
None,119,0
None,120,0
None,121,0
None,122,0
None,123,0
None,124,0
None,125,0
None,126,0
None,127,0
None,128,1
None,129,0
None,130,0
None,131,0
None,132,1
None,133,0
None,134,0
None,135,0
None,136,0
None,137,0
None,138,0
None,139,1
None,140,0
None,141,0
None,142,0
None,143,0
None,144,0
None,145,0
None,146,0
None,147,0
None,148,0
None,149,0
None,150,0
None,151,0
None,152,0
None,153,0
None,154,0
None,155,0
None,156,0
None,157,0
None,158,0
None,159,0
None,160,0
None,161,0
None,162,0
None,163,0
None,164,0
None,165,1
None,166,1
None,167,0
None,168,0
None,169,0
None,170,1
None,171,1
None,172,1
None,173,0
None,174,0
None,175,0
None,176,0
None,177,0
None,178,0
None,179,0
None,180,0
None,181,0
None,182,0
None,183,1
None,184,0
None,185,0
None,186,0
None,187,0
None,188,0
None,189,0
None,190,0
None,191,0
None,192,0
None,193,0
None,194,0
None,195,0
None,196,1
None,197,0
None,198,1
None,199,0
IE,0,1
IE,1,1
IE,2,1
IE,3,1
IE,4,1
IE,5,0
IE,6,1
IE,7,0
IE,8,1
IE,9,0
IE,10,0
IE,11,1
IE,12,1
IE,13,0
IE,14,0
IE,15,0
IE,16,1
IE,17,0
IE,18,1
IE,19,0
IE,20,0
IE,21,1
IE,22,1
IE,23,0
IE,24,1
IE,25,1
IE,26,0
IE,27,0
IE,28,0
IE,29,0
IE,30,1
IE,31,1
IE,32,1
IE,33,0
IE,34,1
IE,35,0
IE,36,1
IE,37,1
IE,38,0
IE,39,0
IE,40,1
IE,41,0
IE,42,0
IE,43,1
IE,44,0
IE,45,1
IE,46,1
IE,47,0
IE,48,0
IE,49,1
IE,50,0
IE,51,0
IE,52,0
IE,53,0
IE,54,1
IE,55,0
IE,56,0
IE,57,0
IE,58,1
IE,59,0
IE,60,1
IE,61,0
IE,62,1
IE,63,1
IE,64,1
IE,65,0
IE,66,0
IE,67,0
IE,68,0
IE,69,0
IE,70,0
IE,71,0
IE,72,1
IE,73,1
IE,74,0
IE,75,0
IE,76,0
IE,77,1
