mechanic,replicate,final_infection_rate
None,0,0.56
None,1,0.54
None,2,0.16
None,3,0.78
None,4,0.68
None,5,0.46
None,6,0.38
None,7,0.58
None,8,0.0
None,9,0.86
None,10,1.0
None,11,0.84
None,12,0.88
None,13,0.74
None,14,0.84
None,15,0.2
None,16,0.46
None,17,0.52
None,18,0.58
None,19,0.42
None,20,0.34
None,21,0.7
None,22,0.0
None,23,0.24
None,24,0.0
None,25,0.22
None,26,1.0
None,27,0.04
None,28,0.5
None,29,0.92
None,30,0.6
None,31,0.62
None,32,0.92
None,33,1.0
None,34,0.14
None,35,0.56
None,36,0.62
None,37,0.32
None,38,0.12
None,39,0.78
None,40,0.22
None,41,0.94
None,42,0.0
None,43,0.86
None,44,0.36
None,45,0.38
None,46,0.64
None,47,0.74
None,48,0.0
None,49,1.0
None,50,0.0
None,51,0.64
None,52,0.56
None,53,0.32
None,54,0.98
None,55,1.0
None,56,0.58
None,57,0.42
None,58,0.28
None,59,0.9
None,60,0.36
None,61,0.94
None,62,0.58
None,63,0.74
None,64,0.6
None,65,0.32
None,66,0.06
None,67,0.56
None,68,0.7
None,69,0.44
None,70,0.0
None,71,0.92
None,72,0.12
None,73,0.56
None,74,0.7
None,75,0.64
None,76,0.9
None,77,1.0
None,78,0.42
None,79,0.1
None,80,1.0
None,81,0.14
None,82,1.0
None,83,0.46
None,84,0.54
None,85,0.44
None,86,0.0
None,87,0.42
None,88,0.12
None,89,0.72
None,90,0.18
None,91,0.2
None,92,0.68
None,93,0.46
None,94,0.32
None,95,0.74
None,96,0.56
None,97,0.22
None,98,0.56
None,99,0.92
None,100,0.8
None,101,0.32
None,102,0.72
None,103,0.86
None,104,0.4
None,105,0.36
None,106,0.14
None,107,0.06
None,108,0.64
None,109,0.38
None,110,0.06
None,111,0.58
None,112,0.72
None,113,1.0
None,114,0.0
None,115,0.56
None,116,0.5
None,117,0.62
None,118,0.8
None,119,0.96
None,120,0.78
None,121,0.96
None,122,0.28
None,123,0.9
None,124,0.64
None,125,0.14
None,126,0.44
None,127,0.16
None,128,1.0
None,129,0.0
None,130,0.94
None,131,0.82
None,132,1.0
None,133,0.32
None,134,0.24
None,135,0.28
None,136,0.48
None,137,0.28
None,138,0.5
None,139,1.0
None,140,0.12
None,141,0.52
None,142,0.7
None,143,0.16
None,144,0.4
None,145,0.68
None,146,0.26
None,147,0.64
None,148,0.96
None,149,0.62
None,150,0.74
None,151,0.32
None,152,0.66
None,153,0.1
None,154,0.1
None,155,0.28
None,156,0.64
None,157,0.86
None,158,0.28
None,159,0.1
None,160,0.0
None,161,0.7
None,162,0.54
None,163,0.18
None,164,0.76
None,165,1.0
None,166,0.9
None,167,0.56
None,168,0.84
None,169,0.32
None,170,0.9
None,171,1.0
None,172,0.96
None,173,0.42
None,174,0.0
None,175,0.0
None,176,0.24
None,177,0.18
None,178,0.0
None,179,0.88
None,180,0.34
None,181,0.3
None,182,0.0
None,183,1.0
None,184,0.7
None,185,0.02
None,186,0.0
None,187,0.16
None,188,0.44
None,189,0.76
None,190,0.1
None,191,0.26
None,192,0.86
None,193,0.0
None,194,0.28
None,195,0.0
None,196,1.0
None,197,0.4
None,198,0.86
None,199,0.38
IE,0,1.0
IE,1,0.82
IE,2,0.88
IE,3,0.86
IE,4,0.58
IE,5,1.0
IE,6,1.0
IE,7,0.98
IE,8,1.0
IE,9,1.0
IE,10,1.0
IE,11,1.0
IE,12,0.96
IE,13,0.86
IE,14,0.82
IE,15,1.0
IE,16,1.0
IE,17,1.0
IE,18,0.82
IE,19,0.8
IE,20,1.0
IE,21,1.0
IE,22,1.0
IE,23,1.0
IE,24,1.0
IE,25,1.0
IE,26,1.0
IE,27,1.0
IE,28,1.0
IE,29,1.0
IE,30,1.0
IE,31,0.94
IE,32,1.0
IE,33,1.0
IE,34,0.64
IE,35,1.0
IE,36,1.0
IE,37,1.0
IE,38,1.0
IE,39,0.78
IE,40,1.0
IE,41,0.88
IE,42,1.0
IE,43,0.72
IE,44,1.0
IE,45,1.0
IE,46,1.0
IE,47,1.0
IE,48,0.88
IE,49,1.0
IE,50,0.94
IE,51,0.88
IE,52,0.96
IE,53,1.0
IE,54,1.0
IE,55,0.94
IE,56,1.0
IE,57,1.0
IE,58,0.98
IE,59,1.0
IE,60,0.0
IE,61,1.0
IE,62,1.0
IE,63,1.0
IE,64,1.0
IE,65,1.0
IE,66,0.78
IE,67,1.0
IE,68,1.0
IE,69,1.0
IE,70,0.6
IE,71,0.94
IE,72,1.0
IE,73,1.0
IE,74,1.0
IE,75,1.0
IE,76,0.84
IE,77,0.94
IE,78,1.0
IE,79,0.96
IE,80,1.0
IE,81,0.74
IE,82,1.0
IE,83,0.96
IE,84,1.0
IE,85,0.96
IE,86,0.96
IE,87,1.0
IE,88,1.0
IE,89,1.0
IE,90,1.0
IE,91,1.0
IE,92,0.78
IE,93,0.94
IE,94,1.0
IE,95,0.9
IE,96,1.0
IE,97,1.0
IE,98,1.0
IE,99,1.0
IE,100,1.0
IE,101,1.0
IE,102,1.0
IE,103,1.0
IE,104,1.0
IE,105,1.0
IE,106,0.74
IE,107,1.0
IE,108,0.96
IE,109,1.0
IE,110,0.8
IE,111,1.0
IE,112,1.0
IE,113,1.0
IE,114,1.0
IE,115,0.96
IE,116,0.88
IE,117,1.0
IE,118,1.0
IE,119,1.0
IE,120,1.0
IE,121,1.0
IE,122,1.0
IE,123,1.0
IE,124,1.0
IE,125,1.0
IE,126,1.0
IE,127,1.0
IE,128,1.0
IE,129,1.0
IE,130,1.0
IE,131,1.0
IE,132,1.0
IE,133,1.0
IE,134,1.0
IE,135,0.54
IE,136,0.66
IE,137,1.0
IE,138,1.0
IE,139,1.0
IE,140,1.0
IE,141,0.94
IE,142,1.0
IE,143,1.0
IE,144,1.0
IE,145,0.78
IE,146,1.0
IE,147,1.0
IE,148,1.0
IE,149,1.0
IE,150,1.0
IE,151,1.0
IE,152,1.0
IE,153,0.9
IE,154,0.14
IE,155,1.0
IE,156,0.88
IE,157,1.0
IE,158,1.0
IE,159,1.0
IE,160,1.0
IE,161,1.0
IE,162,0.5
IE,163,0.5
IE,164,1.0
IE,165,0.88
IE,166,0.82
IE,167,1.0
IE,168,1.0
IE,169,1.0
IE,170,1.0
IE,171,0.88
IE,172,1.0
IE,173,1.0
IE,174,1.0
IE,175,1.0
IE,176,1.0
IE,177,1.0
IE,178,0.94
IE,179,1.0
IE,180,1.0
IE,181,1.0
IE,182,1.0
IE,183,1.0
IE,184,1.0
IE,185,0.9
IE,186,0.88
IE,187,1.0
IE,188,0.76
IE,189,0.9
IE,190,1.0
IE,191,1.0
IE,192,0.9
IE,193,1.0
IE,194,1.0
IE,195,0.8
IE,196,0.7
IE,197,1.0
IE,198,0.88
IE,199,1.0
ER,0,0.72
ER,1,0.96
ER,2,0.78
ER,3,1.0
ER,4,1.0
ER,5,0.86
ER,6,1.0
ER,7,1.0
ER,8,1.0
ER,9,0.94
ER,10,0.96
ER,11,0.82
ER,12,1.0
ER,13,1.0
ER,14,1.0
ER,15,1.0
ER,16,1.0
ER,17,1.0
ER,18,1.0
ER,19,0.94
ER,20,1.0
ER,21,1.0
ER,22,1.0
ER,23,1.0
ER,24,1.0
