mechanic,time_to_fixation
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,12.0
None,
None,
None,
None,
None,
None,
None,13.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,10.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,7.0
None,
None,
None,11.0
None,
None,9.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,5.0
None,
None,
None,
None,6.0
None,
None,
None,
None,
None,
None,
None,7.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,12.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
ER,
ER,
ER,
ER,13.0
ER,13.0
ER,
ER,11.0
ER,13.0
ER,9.0
ER,
ER,
ER,
ER,9.0
ER,12.0
ER,9.0
ER,11.0
ER,7.0
ER,11.0
ER,6.0
ER,
ER,8.0
ER,11.0
ER,9.0
ER,9.0
ER,5.0
ER,8.0
ER,8.0
ER,8.0
ER,9.0
ER,
ER,13.0
ER,
ER,7.0
ER,11.0
ER,10.0
ER,8.0
ER,6.0
ER,12.0
ER,7.0
ER,6.0
ER,
ER,10.0
ER,7.0
ER,7.0
ER,12.0
ER,8.0
ER,11.0
ER,10.0
ER,10.0
ER,6.0
ER,10.0
ER,10.0
ER,11.0
ER,7.0
ER,5.0
ER,11.0
ER,11.0
ER,
ER,4.0
ER,11.0
ER,6.0
ER,
ER,6.0
ER,6.0
ER,9.0
ER,
ER,13.0
ER,10.0
ER,9.0
ER,9.0
ER,9.0
ER,
ER,6.0
ER,
ER,12.0
ER,6.0
ER,9.0
ER,8.0
ER,6.0
ER,10.0
ER,13.0
ER,4.0
ER,
ER,
ER,
ER,
ER,11.0
ER,9.0
ER,13.0
ER,13.0
ER,13.0
ER,12.0
ER,9.0
ER,13.0
ER,9.0
ER,
ER,10.0
ER,6.0
ER,11.0
ER,12.0
ER,7.0
ER,9.0
ER,8.0
ER,
ER,6.0
ER,
ER,
ER,
ER,6.0
ER,8.0
ER,7.0
ER,7.0
ER,6.0
ER,6.0
ER,11.0
ER,7.0
ER,7.0
ER,
ER,
ER,6.0
ER,13.0
ER,12.0
ER,7.0
ER,
ER,
ER,8.0
ER,7.0
ER,11.0
ER,
ER,9.0
ER,
ER,
ER,6.0
ER,
ER,10.0
ER,4.0
ER,10.0
ER,
ER,12.0
ER,9.0
ER,9.0
ER,11.0
ER,
ER,12.0
ER,8.0
ER,9.0
ER,
ER,
ER,7.0
ER,11.0
ER,11.0
ER,4.0
ER,12.0
ER,9.0
ER,8.0
ER,9.0
ER,9.0
ER,10.0
ER,12.0
ER,11.0
ER,
ER,
ER,13.0
ER,6.0
ER,
ER,4.0
ER,11.0
ER,8.0
ER,7.0
ER,6.0
ER,12.0
ER,
ER,6.0
ER,10.0
ER,7.0
ER,9.0
ER,9.0
ER,10.0
ER,10.0
ER,
ER,9.0
ER,7.0
ER,10.0
ER,9.0
ER,
ER,8.0
ER,12.0
ER,12.0
ER,8.0
ER,10.0
ER,11.0
ER,13.0
ER,7.0
ER,11.0
ER,
ER,12.0
ER,
ER,7.0
ER,
ER,10.0
ER+IE,7.0
ER+IE,8.0
ER+IE,7.0
ER+IE,13.0
ER+IE,5.0
ER+IE,6.0
ER+IE,8.0
ER+IE,4.0
ER+IE,7.0
ER+IE,11.0
ER+IE,6.0
ER+IE,7.0
ER+IE,6.0
ER+IE,6.0
ER+IE,7.0
ER+IE,9.0
ER+IE,6.0
ER+IE,10.0
ER+IE,11.0
ER+IE,9.0
ER+IE,5.0
ER+IE,4.0
ER+IE,7.0
ER+IE,6.0
ER+IE,11.0
ER+IE,8.0
ER+IE,9.0
ER+IE,6.0
ER+IE,4.0
ER+IE,6.0
ER+IE,7.0
ER+IE,7.0
ER+IE,8.0
ER+IE,7.0
ER+IE,5.0
ER+IE,11.0
ER+IE,6.0
ER+IE,7.0
ER+IE,6.0
ER+IE,7.0
ER+IE,4.0
ER+IE,7.0
ER+IE,8.0
ER+IE,6.0
ER+IE,10.0
ER+IE,5.0
ER+IE,7.0
ER+IE,5.0
ER+IE,7.0
ER+IE,9.0
ER+IE,7.0
ER+IE,4.0
ER+IE,3.0
ER+IE,6.0
ER+IE,6.0
ER+IE,13.0
ER+IE,9.0
ER+IE,10.0
ER+IE,8.0
ER+IE,5.0
ER+IE,11.0
ER+IE,11.0
ER+IE,9.0
ER+IE,6.0
ER+IE,10.0
ER+IE,9.0
ER+IE,4.0
ER+IE,5.0
ER+IE,8.0
ER+IE,7.0
ER+IE,9.0
ER+IE,12.0
ER+IE,5.0
ER+IE,11.0
ER+IE,5.0
ER+IE,9.0
ER+IE,6.0
ER+IE,5.0
ER+IE,6.0
ER+IE,6.0
ER+IE,3.0
ER+IE,5.0
ER+IE,13.0
ER+IE,8.0
ER+IE,8.0
ER+IE,10.0
ER+IE,9.0
ER+IE,7.0
ER+IE,4.0
ER+IE,9.0
ER+IE,6.0
ER+IE,5.0
ER+IE,6.0
ER+IE,10.0
ER+IE,7.0
ER+IE,4.0
ER+IE,6.0
ER+IE,11.0
ER+IE,7.0
ER+IE,3.0
ER+IE,8.0
ER+IE,7.0
ER+IE,7.0
ER+IE,9.0
ER+IE,7.0
ER+IE,9.0
ER+IE,8.0
ER+IE,10.0
ER+IE,4.0
ER+IE,6.0
ER+IE,4.0
ER+IE,6.0
ER+IE,10.0
ER+IE,9.0
ER+IE,6.0
ER+IE,8.0
ER+IE,8.0
ER+IE,6.0
ER+IE,6.0
ER+IE,7.0
ER+IE,8.0
ER+IE,9.0
ER+IE,6.0
ER+IE,8.0
ER+IE,9.0
ER+IE,7.0
ER+IE,7.0
ER+IE,8.0
ER+IE,8.0
ER+IE,8.0
ER+IE,6.0
ER+IE,5.0
ER+IE,7.0
ER+IE,6.0
ER+IE,6.0
ER+IE,7.0
ER+IE,5.0
ER+IE,7.0
ER+IE,4.0
ER+IE,8.0
ER+IE,6.0
ER+IE,6.0
ER+IE,6.0
ER+IE,5.0
ER+IE,7.0
ER+IE,6.0
ER+IE,9.0
ER+IE,5.0
ER+IE,8.0
ER+IE,6.0
ER+IE,5.0
ER+IE,7.0
ER+IE,9.0
ER+IE,8.0
ER+IE,9.0
ER+IE,4.0
ER+IE,4.0
ER+IE,6.0
ER+IE,4.0
ER+IE,5.0
ER+IE,9.0
ER+IE,7.0
ER+IE,5.0
ER+IE,5.0
ER+IE,9.0
ER+IE,10.0
ER+IE,5.0
ER+IE,6.0
ER+IE,6.0
ER+IE,4.0
ER+IE,7.0
ER+IE,6.0
ER+IE,
ER+IE,4.0
ER+IE,7.0
ER+IE,8.0
ER+IE,5.0
ER+IE,4.0
ER+IE,6.0
ER+IE,9.0
ER+IE,10.0
ER+IE,5.0
ER+IE,5.0
ER+IE,7.0
