mechanic,time_to_fixation
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,12.0
None,
None,
None,
None,
None,
None,
None,13.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,10.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,7.0
None,
None,
None,11.0
None,
None,9.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,5.0
None,
None,
None,
None,6.0
None,
None,
None,
None,
None,
None,
None,7.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,12.0
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,
None,11.0
None,
None,
None,
ER,
ER,
ER,
ER,13.0
ER,13.0
ER,
ER,11.0
ER,13.0
ER,9.0
ER,
ER,
ER,
ER,9.0
ER,12.0
ER,9.0
ER,11.0
ER,7.0
ER,11.0
ER,6.0
ER,
ER,8.0
ER,11.0
ER,9.0
ER,9.0
ER,5.0
ER,8.0
ER,8.0
ER,8.0
ER,9.0
ER,
ER,13.0
ER,
ER,7.0
ER,11.0
ER,10.0
ER,8.0
ER,6.0
ER,12.0
ER,7.0
ER,6.0
ER,
ER,10.0
ER,7.0
ER,7.0
ER,12.0
ER,8.0
ER,11.0
ER,10.0
ER,10.0
ER,6.0
ER,10.0
ER,10.0
ER,11.0
ER,7.0
ER,5.0
ER,11.0
ER,11.0
ER,
ER,4.0
ER,11.0
ER,6.0
ER,
ER,6.0
ER,6.0
ER,9.0
ER,
ER,13.0
ER,10.0
ER,9.0
ER,9.0
ER,9.0
ER,
ER,6.0
ER,
ER,12.0
ER,6.0
ER,9.0
ER,8.0
ER,6.0
ER,10.0
ER,13.0
ER,4.0
ER,
ER,
ER,
ER,
ER,11.0
ER,9.0
ER,13.0
ER,13.0
ER,13.0
ER,12.0
ER,9.0
ER,13.0
ER,9.0
ER,
ER,10.0
ER,6.0
ER,11.0
ER,12.0
ER,7.0
ER,9.0
ER,8.0
ER,
ER,6.0
ER,
ER,
ER,
ER,6.0
ER,8.0
ER,7.0
ER,7.0
ER,6.0
ER,6.0
ER,11.0
ER,7.0
ER,7.0
ER,
ER,
ER,6.0
ER,13.0
ER,12.0
ER,7.0
ER,
ER,
ER,8.0
ER,7.0
ER,11.0
ER,
ER,9.0
ER,
ER,
ER,6.0
ER,
ER,10.0
ER,4.0
ER,10.0
ER,
ER,12.0
ER,9.0
ER,9.0
ER,11.0
ER,
ER,12.0
ER,8.0
ER,9.0
ER,
ER,
ER,7.0
ER,11.0
ER,11.0
ER,4.0
ER,12.0
ER,9.0
ER,8.0
ER,9.0
ER,9.0
ER,10.0
ER,12.0
ER,11.0
ER,
ER,
ER,13.0
ER,6.0
ER,
ER,4.0
ER,11.0
ER,8.0
ER,7.0
ER,6.0
ER,12.0
ER,
ER,6.0
ER,10.0
ER,7.0
ER,9.0
ER,9.0
ER,10.0
ER,10.0
ER,
ER,9.0
ER,7.0
ER,10.0
ER,9.0
ER,
ER,8.0
ER,12.0
ER,12.0
ER,8.0
ER,10.0
ER,11.0
ER,13.0
ER,7.0
ER,11.0
ER,
ER,12.0
ER,
ER,7.0
ER,
ER,10.0
IE,10.0
IE,
IE,
IE,
IE,
IE,11.0
IE,6.0
IE,
IE,12.0
IE,9.0
IE,13.0
IE,13.0
IE,
IE,
IE,
IE,9.0
IE,6.0
IE,7.0
IE,
IE,
IE,12.0
IE,7.0
IE,10.0
IE,13.0
IE,5.0
IE,13.0
IE,8.0
IE,12.0
IE,10.0
IE,11.0
IE,8.0
IE,
IE,7.0
IE,6.0
IE,
IE,7.0
IE,8.0
IE,7.0
IE,7.0
IE,
IE,5.0
IE,
IE,11.0
IE,
IE,12.0
IE,10.0
IE,7.0
IE,7.0
IE,
IE,11.0
IE,
IE,
IE,
IE,11.0
IE,6.0
IE,
IE,10.0
IE,8.0
IE,
IE,8.0
IE,
IE,13.0
IE,9.0
IE,12.0
IE,11.0
IE,7.0
IE,
IE,13.0
IE,8.0
IE,11.0
IE,
IE,
IE,11.0
IE,9.0
IE,11.0
IE,7.0
IE,
IE,
IE,8.0
IE,
IE,9.0
IE,
IE,13.0
IE,
IE,9.0
IE,
IE,
IE,9.0
IE,10.0
IE,8.0
IE,5.0
IE,7.0
IE,
IE,
IE,6.0
IE,
IE,6.0
IE,8.0
IE,13.0
IE,12.0
IE,6.0
IE,9.0
IE,8.0
IE,7.0
IE,10.0
IE,10.0
IE,
IE,9.0
IE,
IE,5.0
IE,
IE,7.0
IE,5.0
IE,9.0
IE,9.0
IE,
IE,
IE,7.0
IE,10.0
IE,6.0
IE,6.0
IE,6.0
IE,9.0
IE,13.0
IE,7.0
IE,7.0
IE,4.0
IE,10.0
IE,11.0
IE,7.0
IE,8.0
IE,8.0
IE,10.0
IE,10.0
IE,10.0
IE,
IE,
IE,9.0
IE,12.0
IE,10.0
IE,7.0
IE,
IE,12.0
IE,8.0
IE,12.0
IE,
IE,11.0
IE,11.0
IE,10.0
IE,11.0
IE,9.0
IE,9.0
IE,11.0
IE,
IE,
IE,7.0
IE,
IE,7.0
IE,6.0
IE,8.0
IE,10.0
IE,13.0
IE,
IE,
IE,11.0
IE,
IE,
IE,8.0
IE,11.0
IE,8.0
IE,6.0
IE,
IE,9.0
IE,6.0
IE,7.0
IE,7.0
IE,8.0
IE,6.0
IE,
IE,6.0
IE,5.0
IE,8.0
IE,11.0
IE,8.0
IE,6.0
IE,
IE,
IE,13.0
IE,
IE,
IE,6.0
IE,11.0
IE,
IE,10.0
IE,7.0
IE,
IE,
IE,8.0
IE,
IE,13.0
MK,7.0
MK,7.0
MK,9.0
MK,12.0
MK,13.0
MK,7.0
MK,7.0
MK,10.0
MK,6.0
MK,6.0
MK,11.0
MK,7.0
MK,9.0
MK,7.0
MK,4.0
MK,8.0
MK,6.0
MK,6.0
MK,9.0
MK,7.0
MK,8.0
MK,6.0
MK,9.0
MK,9.0
MK,6.0
MK,
MK,9.0
MK,9.0
MK,7.0
MK,
MK,6.0
MK,6.0
MK,8.0
MK,8.0
MK,12.0
MK,8.0
MK,6.0
MK,10.0
MK,5.0
MK,9.0
MK,6.0
MK,6.0
MK,11.0
MK,
MK,11.0
MK,8.0
MK,5.0
MK,11.0
MK,8.0
MK,6.0
MK,6.0
MK,11.0
MK,11.0
MK,10.0
MK,9.0
MK,7.0
MK,6.0
MK,9.0
MK,6.0
MK,8.0
MK,6.0
MK,11.0
MK,7.0
MK,6.0
MK,5.0
MK,8.0
MK,12.0
MK,8.0
MK,13.0
MK,8.0
MK,7.0
MK,10.0
MK,8.0
MK,11.0
MK,8.0
MK,10.0
MK,
MK,10.0
MK,8.0
MK,5.0
MK,4.0
MK,5.0
MK,9.0
MK,7.0
MK,8.0
MK,9.0
MK,9.0
MK,10.0
MK,11.0
MK,8.0
MK,
MK,8.0
