genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g2,-10.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-9.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-9.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-9.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-9.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-8.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-8.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-8.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-8.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-7.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-7.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-7.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-7.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-6.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-6.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-6.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-6.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-5.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-5.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-5.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-5.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-4.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-4.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-4.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-4.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-3.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-3.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-3.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-3.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-2.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-2.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-2.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-2.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-1.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-1.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-1.25,1.0
dnc-wt,Bouton_vs_Axon,g2,-1.0,1.0
dnc-wt,Bouton_vs_Axon,g2,-0.75,1.0
dnc-wt,Bouton_vs_Axon,g2,-0.5,1.0
dnc-wt,Bouton_vs_Axon,g2,-0.25,1.0
dnc-wt,Bouton_vs_Axon,g2,0.0,1.0
dnc-wt,Bouton_vs_Axon,g2,0.25,1.0
dnc-wt,Bouton_vs_Axon,g2,0.5,0.125
dnc-wt,Bouton_vs_Axon,g2,0.75,0.125
dnc-wt,Bouton_vs_Axon,g2,1.0,1.0
dnc-wt,Bouton_vs_Axon,g2,1.25,1.0
dnc-wt,Bouton_vs_Axon,g2,1.5,1.0
dnc-wt,Bouton_vs_Axon,g2,1.75,1.0
dnc-wt,Bouton_vs_Axon,g2,2.0,1.0
dnc-wt,Bouton_vs_Axon,g2,2.25,1.0
dnc-wt,Bouton_vs_Axon,g2,2.5,1.0
dnc-wt,Bouton_vs_Axon,g2,2.75,1.0
dnc-wt,Bouton_vs_Axon,g2,3.0,1.0
dnc-wt,Bouton_vs_Axon,g2,3.25,1.0
dnc-wt,Bouton_vs_Axon,g2,3.5,1.0
dnc-wt,Bouton_vs_Axon,g2,3.75,1.0
dnc-wt,Bouton_vs_Axon,g2,4.0,1.0
dnc-wt,Bouton_vs_Axon,g2,4.25,1.0
dnc-wt,Bouton_vs_Axon,g2,4.5,1.0
dnc-wt,Bouton_vs_Axon,g2,4.75,1.0
dnc-wt,Bouton_vs_Axon,g2,5.0,1.0
dnc-wt,Bouton_vs_Axon,g2,5.25,1.0
dnc-wt,Bouton_vs_Axon,g2,5.5,1.0
dnc-wt,Bouton_vs_Axon,g2,5.75,1.0
dnc-wt,Bouton_vs_Axon,g2,6.0,0.125
dnc-wt,Bouton_vs_Axon,g2,6.25,0.125
dnc-wt,Bouton_vs_Axon,g2,6.5,1.0
dnc-wt,Bouton_vs_Axon,g2,6.75,1.0
dnc-wt,Bouton_vs_Axon,g2,7.0,1.0
dnc-wt,Bouton_vs_Axon,g2,7.25,1.0
dnc-wt,Bouton_vs_Axon,g2,7.5,1.0
dnc-wt,Bouton_vs_Axon,g2,7.75,1.0
dnc-wt,Bouton_vs_Axon,g2,8.0,1.0
dnc-wt,Bouton_vs_Axon,g2,8.25,1.0
dnc-wt,Bouton_vs_Axon,g2,8.5,1.0
dnc-wt,Bouton_vs_Axon,g2,8.75,1.0
dnc-wt,Bouton_vs_Axon,g2,9.0,1.0
dnc-wt,Bouton_vs_Axon,g2,9.25,1.0
dnc-wt,Bouton_vs_Axon,g2,9.5,1.0
dnc-wt,Bouton_vs_Axon,g2,9.75,1.0
dnc-wt,Bouton_vs_Axon,g2,10.0,1.0
dnc-wt,Bouton_vs_Axon,g2,10.25,1.0
dnc-wt,Bouton_vs_Axon,g2,10.5,1.0
dnc-wt,Bouton_vs_Axon,g2,10.75,1.0
dnc-wt,Bouton_vs_Axon,g2,11.0,1.0
dnc-wt,Bouton_vs_Axon,g2,11.25,1.0
dnc-wt,Bouton_vs_Axon,g2,11.5,1.0
dnc-wt,Bouton_vs_Axon,g2,11.75,0.25
dnc-wt,Bouton_vs_Axon,g2,12.0,0.25
dnc-wt,Bouton_vs_Axon,g2,12.25,1.0
dnc-wt,Bouton_vs_Axon,g2,12.5,1.0
dnc-wt,Bouton_vs_Axon,g2,12.75,1.0
dnc-wt,Bouton_vs_Axon,g2,13.0,1.0
dnc-wt,Bouton_vs_Axon,g2,13.25,1.0
dnc-wt,Bouton_vs_Axon,g2,13.5,1.0
dnc-wt,Bouton_vs_Axon,g2,13.75,1.0
dnc-wt,Bouton_vs_Axon,g2,14.0,1.0
dnc-wt,Bouton_vs_Axon,g2,14.25,1.0
dnc-wt,Bouton_vs_Axon,g2,14.5,1.0
dnc-wt,Bouton_vs_Axon,g2,14.75,1.0
dnc-wt,Bouton_vs_Axon,g2,15.0,1.0
dnc-wt,Bouton_vs_Axon,g2,15.25,1.0
dnc-wt,Bouton_vs_Axon,g2,15.5,1.0
dnc-wt,Bouton_vs_Axon,g2,15.75,1.0
dnc-wt,Bouton_vs_Axon,g2,16.0,1.0
dnc-wt,Bouton_vs_Axon,g2,16.25,1.0
dnc-wt,Bouton_vs_Axon,g2,16.5,1.0
dnc-wt,Bouton_vs_Axon,g2,16.75,1.0
dnc-wt,Bouton_vs_Axon,g2,17.0,1.0
dnc-wt,Bouton_vs_Axon,g2,17.25,1.0
dnc-wt,Bouton_vs_Axon,g2,17.5,1.0
dnc-wt,Bouton_vs_Axon,g2,17.75,1.0
dnc-wt,Bouton_vs_Axon,g2,18.0,1.0
dnc-wt,Bouton_vs_Axon,g2,18.25,1.0
dnc-wt,Bouton_vs_Axon,g2,18.5,1.0
dnc-wt,Bouton_vs_Axon,g2,18.75,0.25
dnc-wt,Bouton_vs_Axon,g2,19.0,1.0
dnc-wt,Bouton_vs_Axon,g2,19.25,1.0
dnc-wt,Bouton_vs_Axon,g2,19.5,1.0
dnc-wt,Bouton_vs_Axon,g2,19.75,1.0
dnc-wt,Bouton_vs_Axon,g2,20.0,1.0
dnc-wt,Bouton_vs_Axon,g2,20.25,1.0
dnc-wt,Bouton_vs_Axon,g2,20.5,1.0
dnc-wt,Bouton_vs_Axon,g2,20.75,1.0
dnc-wt,Bouton_vs_Axon,g2,21.0,1.0
dnc-wt,Bouton_vs_Axon,g2,21.25,1.0
dnc-wt,Bouton_vs_Axon,g2,21.5,0.625
dnc-wt,Bouton_vs_Axon,g2,21.75,1.0
dnc-wt,Bouton_vs_Axon,g2,22.0,0.75
dnc-wt,Bouton_vs_Axon,g2,22.25,1.0
dnc-wt,Bouton_vs_Axon,g2,22.5,1.0
dnc-wt,Bouton_vs_Axon,g2,22.75,1.0
dnc-wt,Bouton_vs_Axon,g2,23.0,1.0
dnc-wt,Bouton_vs_Axon,g2,23.25,1.0
dnc-wt,Bouton_vs_Axon,g2,23.5,1.0
dnc-wt,Bouton_vs_Axon,g2,23.75,1.0
dnc-wt,Bouton_vs_Axon,g2,24.0,1.0
dnc-wt,Bouton_vs_Axon,g2,24.25,1.0
dnc-wt,Bouton_vs_Axon,g2,24.5,1.0
dnc-wt,Bouton_vs_Axon,g2,24.75,1.0
dnc-wt,Bouton_vs_Axon,g2,25.0,1.0
dnc-wt,Bouton_vs_Axon,g2,25.25,1.0
dnc-wt,Bouton_vs_Axon,g2,25.5,1.0
dnc-wt,Bouton_vs_Axon,g2,25.75,1.0
dnc-wt,Bouton_vs_Axon,g2,26.0,1.0
dnc-wt,Bouton_vs_Axon,g2,26.25,1.0
dnc-wt,Bouton_vs_Axon,g2,26.5,1.0
dnc-wt,Bouton_vs_Axon,g2,26.75,1.0
dnc-wt,Bouton_vs_Axon,g2,27.0,1.0
dnc-wt,Bouton_vs_Axon,g2,27.25,1.0
dnc-wt,Bouton_vs_Axon,g2,27.5,1.0
dnc-wt,Bouton_vs_Axon,g2,27.75,0.5
dnc-wt,Bouton_vs_Axon,g2,28.0,0.5
dnc-wt,Bouton_vs_Axon,g2,28.25,1.0
dnc-wt,Bouton_vs_Axon,g2,28.5,1.0
dnc-wt,Bouton_vs_Axon,g2,28.75,1.0
dnc-wt,Bouton_vs_Axon,g2,29.0,1.0
dnc-wt,Bouton_vs_Axon,g2,29.25,1.0
dnc-wt,Bouton_vs_Axon,g2,29.5,1.0
dnc-wt,Bouton_vs_Axon,g2,29.75,1.0
dnc-wt,Bouton_vs_Axon,g2,30.0,1.0
dnc-wt,Bouton_vs_Axon,g2,30.25,1.0
dnc-wt,Bouton_vs_Axon,g2,30.5,1.0
dnc-wt,Bouton_vs_Axon,g2,30.75,1.0
dnc-wt,Bouton_vs_Axon,g2,31.0,1.0
dnc-wt,Bouton_vs_Axon,g2,31.25,0.125
dnc-wt,Bouton_vs_Axon,g2,31.5,0.125
dnc-wt,Bouton_vs_Axon,g2,31.75,0.125
dnc-wt,Bouton_vs_Axon,g2,32.0,1.0
dnc-wt,Bouton_vs_Axon,g2,32.25,1.0
dnc-wt,Bouton_vs_Axon,g2,32.5,1.0
dnc-wt,Bouton_vs_Axon,g2,32.75,1.0
dnc-wt,Bouton_vs_Axon,g2,33.0,1.0
dnc-wt,Bouton_vs_Axon,g2,33.25,1.0
dnc-wt,Bouton_vs_Axon,g2,33.5,1.0
dnc-wt,Bouton_vs_Axon,g2,33.75,1.0
dnc-wt,Bouton_vs_Axon,g2,34.0,1.0
dnc-wt,Bouton_vs_Axon,g2,34.25,1.0
dnc-wt,Bouton_vs_Axon,g2,34.5,1.0
dnc-wt,Bouton_vs_Axon,g2,34.75,1.0
