structure,compartment,time_s,p_fwer
Bouton,g1,0.25,1.0
Bouton,g1,0.5,1.0
Bouton,g1,0.75,1.0
Bouton,g1,1.0,1.0
Bouton,g1,1.25,1.0
Bouton,g1,1.5,1.0
Bouton,g1,1.75,1.0
Bouton,g1,2.0,1.0
Bouton,g1,2.25,1.0
Bouton,g1,2.5,1.0
Bouton,g1,2.75,1.0
Bouton,g1,3.0,0.9987567987567988
Bouton,g1,3.25,1.0
Bouton,g1,3.5,1.0
Bouton,g1,3.75,1.0
Bouton,g1,4.0,1.0
Bouton,g1,4.25,1.0
Bouton,g1,4.5,1.0
Bouton,g1,4.75,1.0
Bouton,g1,5.0,1.0
Bouton,g1,5.25,1.0
Bouton,g1,5.5,1.0
Bouton,g1,5.75,1.0
Bouton,g1,6.0,1.0
Bouton,g1,6.25,0.9544677544677544
Bouton,g1,6.5,1.0
Bouton,g1,6.75,1.0
Bouton,g1,7.0,1.0
Bouton,g1,7.25,1.0
Bouton,g1,7.5,1.0
Bouton,g1,7.75,1.0
Bouton,g1,8.0,1.0
Bouton,g1,8.25,1.0
Bouton,g1,8.5,1.0
Bouton,g1,8.75,1.0
Bouton,g1,9.0,0.998912198912199
Bouton,g1,9.25,1.0
Bouton,g1,9.5,1.0
Bouton,g1,9.75,1.0
Bouton,g1,10.0,1.0
Bouton,g1,10.25,1.0
Bouton,g1,10.5,0.9951825951825952
Bouton,g1,10.75,1.0
Bouton,g1,11.0,1.0
Bouton,g1,11.25,0.24708624708624707
Bouton,g1,11.5,0.24708624708624707
Bouton,g1,11.75,0.24708624708624707
Bouton,g1,12.0,1.0
Bouton,g1,12.25,1.0
Bouton,g1,12.5,1.0
Bouton,g1,12.75,1.0
Bouton,g1,13.0,1.0
Bouton,g1,13.25,1.0
Bouton,g1,13.5,1.0
Bouton,g1,13.75,1.0
Bouton,g1,14.0,1.0
Bouton,g1,14.25,1.0
Bouton,g1,14.5,0.6049728049728049
Bouton,g1,14.75,1.0
Bouton,g1,15.0,1.0
Bouton,g1,15.25,1.0
Bouton,g1,15.5,0.98989898989899
Bouton,g1,15.75,1.0
Bouton,g1,16.0,1.0
Bouton,g1,16.25,1.0
Bouton,g1,16.5,0.6902874902874903
Bouton,g1,16.75,0.6902874902874903
Bouton,g1,17.0,1.0
Bouton,g1,17.25,1.0
Bouton,g1,17.5,1.0
Bouton,g1,17.75,1.0
Bouton,g1,18.0,1.0
Bouton,g1,18.25,1.0
Bouton,g1,18.5,1.0
Bouton,g1,18.75,1.0
Bouton,g1,19.0,1.0
Bouton,g1,19.25,1.0
Bouton,g1,19.5,1.0
Bouton,g1,19.75,1.0
Bouton,g1,20.0,1.0
Bouton,g1,20.25,1.0
Bouton,g1,20.5,1.0
Bouton,g1,20.75,0.9104895104895104
Bouton,g1,21.0,1.0
Bouton,g1,21.25,1.0
Bouton,g1,21.5,1.0
Bouton,g1,21.75,0.20248640248640248
Bouton,g1,22.0,0.20248640248640248
Bouton,g1,22.25,0.20248640248640248
Bouton,g1,22.5,1.0
Bouton,g1,22.75,1.0
Bouton,g1,23.0,1.0
Bouton,g1,23.25,1.0
Bouton,g1,23.5,1.0
Bouton,g1,23.75,1.0
Bouton,g1,24.0,1.0
Bouton,g1,24.25,1.0
Bouton,g1,24.5,1.0
Bouton,g1,24.75,1.0
Bouton,g1,25.0,1.0
Bouton,g1,25.25,1.0
Bouton,g1,25.5,1.0
Bouton,g1,25.75,1.0
Bouton,g1,26.0,1.0
Bouton,g1,26.25,1.0
Bouton,g1,26.5,1.0
Bouton,g1,26.75,0.248018648018648
Bouton,g1,27.0,0.248018648018648
Bouton,g1,27.25,1.0
Bouton,g1,27.5,1.0
Bouton,g1,27.75,0.875990675990676
Bouton,g1,28.0,1.0
Bouton,g1,28.25,1.0
Bouton,g1,28.5,1.0
Bouton,g1,28.75,0.9998445998445998
Bouton,g1,29.0,1.0
Bouton,g1,29.25,1.0
Bouton,g1,29.5,1.0
Bouton,g1,29.75,0.2584304584304584
Bouton,g1,30.0,0.2584304584304584
Bouton,g1,30.25,0.2584304584304584
Bouton,g1,30.5,1.0
Bouton,g1,30.75,0.998912198912199
Bouton,g1,31.0,1.0
Bouton,g1,31.25,1.0
Bouton,g1,31.5,1.0
Bouton,g1,31.75,0.5920745920745921
Bouton,g1,32.0,0.5920745920745921
Bouton,g1,32.25,1.0
Bouton,g1,32.5,1.0
Bouton,g1,32.75,1.0
Bouton,g1,33.0,1.0
Bouton,g1,33.25,0.972960372960373
Bouton,g1,33.5,1.0
Bouton,g1,33.75,1.0
Bouton,g1,34.0,0.9916083916083916
Bouton,g1,34.25,1.0
Bouton,g1,34.5,1.0
Bouton,g1,34.75,1.0
Bouton,g1,35.0,1.0
Bouton,g1,35.25,1.0
Bouton,g1,35.5,1.0
Bouton,g1,35.75,1.0
Bouton,g1,36.0,1.0
Bouton,g1,36.25,1.0
Bouton,g1,36.5,1.0
Bouton,g1,36.75,1.0
Bouton,g1,37.0,1.0
Bouton,g1,37.25,1.0
Bouton,g1,37.5,1.0
Bouton,g1,37.75,1.0
Bouton,g1,38.0,1.0
Bouton,g1,38.25,1.0
Bouton,g1,38.5,1.0
Bouton,g1,38.75,1.0
Bouton,g1,39.0,1.0
Bouton,g1,39.25,1.0
Bouton,g1,39.5,1.0
Bouton,g1,39.75,1.0
Bouton,g1,40.0,1.0
Bouton,g1,40.25,1.0
Bouton,g1,40.5,1.0
Bouton,g1,40.75,1.0
Bouton,g1,41.0,1.0
Bouton,g1,41.25,1.0
Bouton,g1,41.5,1.0
Bouton,g1,41.75,1.0
Bouton,g1,42.0,1.0
Bouton,g1,42.25,1.0
Bouton,g1,42.5,1.0
Bouton,g1,42.75,1.0
Bouton,g1,43.0,1.0
Bouton,g1,43.25,1.0
Bouton,g1,43.5,1.0
Bouton,g1,43.75,1.0
Bouton,g1,44.0,0.9998445998445998
Bouton,g1,44.25,1.0
Bouton,g1,44.5,1.0
Bouton,g1,44.75,1.0
Bouton,g1,45.0,1.0
Bouton,g1,45.25,1.0
Bouton,g1,45.5,1.0
Bouton,g1,45.75,1.0
Bouton,g1,46.0,1.0
Bouton,g1,46.25,1.0
Bouton,g1,46.5,1.0
Bouton,g1,46.75,1.0
Bouton,g1,47.0,1.0
Bouton,g1,47.25,1.0
Bouton,g1,47.5,1.0
Bouton,g1,47.75,1.0
Bouton,g1,48.0,1.0
Bouton,g1,48.25,1.0
Bouton,g1,48.5,1.0
Bouton,g1,48.75,1.0
Bouton,g1,49.0,1.0
Bouton,g1,49.25,1.0
Bouton,g1,49.5,1.0
Bouton,g1,49.75,1.0
Bouton,g1,50.0,1.0
Bouton,g1,50.25,1.0
Bouton,g1,50.5,1.0
Bouton,g1,50.75,1.0
Bouton,g1,51.0,1.0
Bouton,g1,51.25,1.0
Bouton,g1,51.5,0.997979797979798
Bouton,g1,51.75,1.0
Bouton,g1,52.0,1.0
Bouton,g1,52.25,1.0
Bouton,g1,52.5,1.0
Bouton,g1,52.75,1.0
Bouton,g1,53.0,0.9984459984459985
Bouton,g1,53.25,1.0
Bouton,g1,53.5,0.9987567987567988
Bouton,g1,53.75,1.0
Bouton,g1,54.0,1.0
Bouton,g1,54.25,1.0
Bouton,g1,54.5,1.0
Bouton,g1,54.75,0.9940947940947941
Bouton,g1,55.0,1.0
Bouton,g1,55.25,1.0
Bouton,g1,55.5,0.983993783993784
Bouton,g1,55.75,1.0
Bouton,g1,56.0,0.998912198912199
Bouton,g1,56.25,1.0
Bouton,g1,56.5,1.0
Bouton,g1,56.75,1.0
Bouton,g1,57.0,1.0
Bouton,g1,57.25,1.0
Bouton,g1,57.5,1.0
Bouton,g1,57.75,1.0
Bouton,g1,58.0,1.0
Bouton,g1,58.25,1.0
Bouton,g1,58.5,0.9246309246309247
Bouton,g1,58.75,1.0
Bouton,g1,59.0,1.0
Bouton,g1,59.25,1.0
Bouton,g1,59.5,1.0
Bouton,g1,59.75,1.0
Bouton,g1,60.0,1.0
Bouton,g1,60.25,1.0
Bouton,g1,60.5,1.0
Bouton,g1,60.75,0.8486402486402487
Bouton,g1,61.0,1.0
Bouton,g1,61.25,1.0
