groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
Fructose_10.6,54,Fructose_14.0,210,0.5045,0.6860637931034484,False,n.s.
Fructose_10.6,54,Fructose_26.6,6,0.001100000000000101,0.015600000000001168,True,*
Fructose_10.6,54,Fructose_26.3,51,0.1305,0.2993823529411765,False,n.s.
Fructose_10.6,54,Fructose_19.2,53,0.72115,0.8272014705882352,False,n.s.
Fructose_10.6,54,Fructose_26.2,39,0.5781499999999999,0.7158047619047618,False,n.s.
Fructose_10.6,54,Fructose_8.0,161,0.5101500000000001,0.6860637931034484,False,n.s.
Fructose_10.6,54,Fructose_5.6,97,0.2881,0.48851739130434785,False,n.s.
Fructose_10.6,54,Fructose_2.0,108,0.29945,0.49695957446808514,False,n.s.
Fructose_10.6,54,Fructose_22.9,105,0.79865,0.8642506849315069,False,n.s.
Fructose_10.6,54,Fructose_7.6,338,0.44399999999999995,0.6339272727272727,False,n.s.
Fructose_10.6,54,Fructose_18.15,53,0.006950000000000012,0.04928181818181827,True,*
Fructose_10.6,54,Fructose_15.1,97,0.0918000000000001,0.2754000000000003,False,n.s.
Fructose_14.0,210,Fructose_26.6,6,0.38260000000000005,0.596856,False,n.s.
Fructose_14.0,210,Fructose_26.3,51,0.02005,0.1009666666666671,False,n.s.
Fructose_14.0,210,Fructose_19.2,53,0.2122,0.41379000000000005,False,n.s.
Fructose_14.0,210,Fructose_26.2,39,0.5068,0.6860637931034484,False,n.s.
Fructose_14.0,210,Fructose_8.0,161,0.93315,0.9452688311688312,False,n.s.
Fructose_14.0,210,Fructose_5.6,97,0.8422,0.8877243243243244,False,n.s.
Fructose_14.0,210,Fructose_2.0,108,0.56125,0.7060887096774194,False,n.s.
Fructose_14.0,210,Fructose_22.9,105,0.1114,0.28964,False,n.s.
Fructose_14.0,210,Fructose_7.6,338,0.60575,0.72804,False,n.s.
Fructose_14.0,210,Fructose_18.15,53,0.2579,0.4726090909090908,False,n.s.
Fructose_14.0,210,Fructose_15.1,97,0.8088500000000001,0.8642506849315069,False,n.s.
Fructose_26.6,6,Fructose_26.3,51,0.0123,0.0738,False,n.s.
Fructose_26.6,6,Fructose_19.2,53,0.0164,0.09137142857142858,False,n.s.
Fructose_26.6,6,Fructose_26.2,39,0.0051,0.0454999999999998,True,*
Fructose_26.6,6,Fructose_8.0,161,0.2809,0.48689333333333334,False,n.s.
Fructose_26.6,6,Fructose_5.6,97,0.1969,0.40416315789473684,False,n.s.
Fructose_26.6,6,Fructose_2.0,108,0.0246,0.10098947368421053,False,n.s.
Fructose_26.6,6,Fructose_22.9,105,0.02175,0.1009666666666671,False,n.s.
Fructose_26.6,6,Fructose_7.6,338,0.1417,0.3157885714285714,False,n.s.
Fructose_26.6,6,Fructose_18.15,53,0.43385,0.6339272727272727,False,n.s.
Fructose_26.6,6,Fructose_15.1,97,0.37215,0.5924020408163265,False,n.s.
Fructose_26.3,51,Fructose_19.2,53,0.06020000000000003,0.20415652173913054,False,n.s.
Fructose_26.3,51,Fructose_26.2,39,0.11925000000000008,0.29408437499999984,False,n.s.
Fructose_26.3,51,Fructose_8.0,161,0.0233000000000001,0.1009666666666671,False,n.s.
Fructose_26.3,51,Fructose_5.6,97,0.03344999999999998,0.13045499999999993,False,n.s.
Fructose_26.3,51,Fructose_2.0,108,0.008499999999999952,0.05524999999999969,False,n.s.
Fructose_26.3,51,Fructose_22.9,105,0.1107499999999999,0.28964,False,n.s.
Fructose_26.3,51,Fructose_7.6,338,0.022350000000000092,0.1009666666666671,False,n.s.
Fructose_26.3,51,Fructose_18.15,53,9.999999999998899e-05,0.0038999999999995705,True,**
Fructose_26.3,51,Fructose_15.1,97,0.0012000000000000899,0.015600000000001168,True,*
Fructose_19.2,53,Fructose_26.2,39,0.32585,0.52950625,False,n.s.
Fructose_19.2,53,Fructose_8.0,161,0.26245000000000007,0.4726090909090908,False,n.s.
Fructose_19.2,53,Fructose_5.6,97,0.0686500000000001,0.22311250000000032,False,n.s.
Fructose_19.2,53,Fructose_2.0,108,0.16704999999999992,0.3521594594594593,False,n.s.
Fructose_19.2,53,Fructose_22.9,105,0.90055,0.9242486842105263,False,n.s.
Fructose_19.2,53,Fructose_7.6,338,0.26659999999999995,0.4726090909090908,False,n.s.
Fructose_19.2,53,Fructose_18.15,53,0.00019999999999997797,0.0038999999999995705,True,**
Fructose_19.2,53,Fructose_15.1,97,0.0059499999999999,0.04640999999999922,True,*
Fructose_26.2,39,Fructose_8.0,161,0.5423500000000001,0.6934967213114756,False,n.s.
Fructose_26.2,39,Fructose_5.6,97,0.4094,0.6204,False,n.s.
Fructose_26.2,39,Fructose_2.0,108,0.41359999999999997,0.6204,False,n.s.
Fructose_26.2,39,Fructose_22.9,105,0.5237,0.6906900000000001,False,n.s.
Fructose_26.2,39,Fructose_7.6,338,0.6214999999999999,0.7344999999999999,False,n.s.
Fructose_26.2,39,Fructose_18.15,53,0.00019999999999997797,0.0038999999999995705,True,**
Fructose_26.2,39,Fructose_15.1,97,0.04849999999999999,0.17195454545454542,False,n.s.
Fructose_8.0,161,Fructose_5.6,97,0.9757499999999999,0.9757499999999999,False,n.s.
Fructose_8.0,161,Fructose_2.0,108,0.76025,0.8471357142857142,False,n.s.
Fructose_8.0,161,Fructose_22.9,105,0.1563,0.33864999999999995,False,n.s.
Fructose_8.0,161,Fructose_7.6,338,0.74355,0.8405347826086957,False,n.s.
Fructose_8.0,161,Fructose_18.15,53,0.2057,0.4114,False,n.s.
Fructose_8.0,161,Fructose_15.1,97,0.80295,0.8642506849315069,False,n.s.
Fructose_5.6,97,Fructose_2.0,108,0.6067,0.72804,False,n.s.
Fructose_5.6,97,Fructose_22.9,105,0.03915,0.14541428571428572,False,n.s.
Fructose_5.6,97,Fructose_7.6,338,0.6918,0.805379104477612,False,n.s.
Fructose_5.6,97,Fructose_18.15,53,0.09674999999999989,0.2794999999999997,False,n.s.
Fructose_5.6,97,Fructose_15.1,97,0.5313000000000001,0.6906900000000001,False,n.s.
Fructose_2.0,108,Fructose_22.9,105,0.08815,0.275028,False,n.s.
Fructose_2.0,108,Fructose_7.6,338,0.87515,0.910156,False,n.s.
Fructose_2.0,108,Fructose_18.15,53,0.005249999999999977,0.0454999999999998,True,*
Fructose_2.0,108,Fructose_15.1,97,0.12919999999999998,0.2993823529411765,False,n.s.
Fructose_22.9,105,Fructose_7.6,338,0.12064999999999992,0.29408437499999984,False,n.s.
Fructose_22.9,105,Fructose_18.15,53,0.00019999999999997797,0.0038999999999995705,True,**
Fructose_22.9,105,Fructose_15.1,97,0.0023999999999999577,0.026742857142856673,True,*
Fructose_7.6,338,Fructose_18.15,53,0.10349999999999993,0.28832142857142834,False,n.s.
Fructose_7.6,338,Fructose_15.1,97,0.2338,0.44479024390243904,False,n.s.
Fructose_18.15,53,Fructose_15.1,97,0.447,0.6339272727272727,False,n.s.
