groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
female_18.15,27,male_18.15,27,0.70575,0.9570000000000001,False,n.s.
male_26.2,27,female_26.2,27,0.8187,0.9570000000000001,False,n.s.
male_26.6,3,female_26.6,3,0.0999000000000001,0.70785,False,n.s.
female_5.6,54,male_5.6,54,0.18520000000000003,0.8025333333333334,False,n.s.
female_15.1,54,male_15.1,54,0.88615,0.9570000000000001,False,n.s.
female_10.6,27,male_10.6,27,0.77915,0.9570000000000001,False,n.s.
female_26.3,27,male_26.3,27,0.1089,0.70785,False,n.s.
female_22.9,54,male_22.9,54,0.5224,0.9570000000000001,False,n.s.
female_19.2,27,male_19.2,27,0.9570000000000001,0.9570000000000001,False,n.s.
male_7.6,183,female_7.6,181,0.61545,0.9570000000000001,False,n.s.
male_14.0,108,female_14.0,108,0.76555,0.9570000000000001,False,n.s.
male_8.0,81,female_8.0,81,0.51355,0.9570000000000001,False,n.s.
male_2.0,54,female_2.0,54,0.69605,0.9570000000000001,False,n.s.
