groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
Fructose_10.6,54,Fructose_14.0,216,0.6288,0.7212705882352941,False,n.s.
Fructose_10.6,54,Fructose_26.6,6,0.014599999999999946,0.11387999999999959,False,n.s.
Fructose_10.6,54,Fructose_26.3,54,0.1195,0.3107,False,n.s.
Fructose_10.6,54,Fructose_19.2,54,0.6571,0.742808695652174,False,n.s.
Fructose_10.6,54,Fructose_26.2,54,0.5355000000000001,0.702,False,n.s.
Fructose_10.6,54,Fructose_8.0,162,0.59205,0.7212705882352941,False,n.s.
Fructose_10.6,54,Fructose_5.6,108,0.3223499999999999,0.537204255319149,False,n.s.
Fructose_10.6,54,Fructose_2.0,108,0.42490000000000006,0.6137444444444445,False,n.s.
Fructose_10.6,54,Fructose_22.9,108,0.57975,0.7177857142857142,False,n.s.
Fructose_10.6,54,Fructose_7.6,364,0.5770500000000001,0.7177857142857142,False,n.s.
Fructose_10.6,54,Fructose_18.15,54,0.037800000000000056,0.17481176470588236,False,n.s.
Fructose_10.6,54,Fructose_15.1,108,0.11125000000000007,0.3099107142857145,False,n.s.
Fructose_14.0,216,Fructose_26.6,6,0.3960999999999999,0.6137444444444445,False,n.s.
Fructose_14.0,216,Fructose_26.3,54,0.0679,0.26481000000000005,False,n.s.
Fructose_14.0,216,Fructose_19.2,54,0.2738,0.49956279069767434,False,n.s.
Fructose_14.0,216,Fructose_26.2,54,0.8349,0.9044749999999999,False,n.s.
Fructose_14.0,216,Fructose_8.0,162,0.9085,0.9202987012987013,False,n.s.
Fructose_14.0,216,Fructose_5.6,108,0.86415,0.906776,False,n.s.
Fructose_14.0,216,Fructose_2.0,108,0.52865,0.702,False,n.s.
Fructose_14.0,216,Fructose_22.9,108,0.1284,0.32307096774193544,False,n.s.
Fructose_14.0,216,Fructose_7.6,364,0.54,0.702,False,n.s.
Fructose_14.0,216,Fructose_18.15,54,0.4182999999999999,0.6137444444444445,False,n.s.
Fructose_14.0,216,Fructose_15.1,108,0.5334000000000001,0.702,False,n.s.
Fructose_26.6,6,Fructose_26.3,54,0.03125,0.17410714285714285,False,n.s.
Fructose_26.6,6,Fructose_19.2,54,0.01335,0.11387999999999959,False,n.s.
Fructose_26.6,6,Fructose_26.2,54,0.1158,0.3107,False,n.s.
Fructose_26.6,6,Fructose_8.0,162,0.3237,0.537204255319149,False,n.s.
Fructose_26.6,6,Fructose_5.6,108,0.2361,0.4846263157894737,False,n.s.
Fructose_26.6,6,Fructose_2.0,108,0.0381,0.17481176470588236,False,n.s.
Fructose_26.6,6,Fructose_22.9,108,0.0379,0.17481176470588236,False,n.s.
Fructose_26.6,6,Fructose_7.6,364,0.1527,0.34030285714285713,False,n.s.
Fructose_26.6,6,Fructose_18.15,54,0.2754,0.49956279069767434,False,n.s.
Fructose_26.6,6,Fructose_15.1,108,0.41945,0.6137444444444445,False,n.s.
Fructose_26.3,54,Fructose_19.2,54,0.14644999999999997,0.34030285714285713,False,n.s.
Fructose_26.3,54,Fructose_26.2,54,0.02519999999999989,0.16379999999999928,False,n.s.
Fructose_26.3,54,Fructose_8.0,162,0.04459999999999997,0.18309473684210514,False,n.s.
Fructose_26.3,54,Fructose_5.6,108,0.011800000000000033,0.11387999999999959,False,n.s.
Fructose_26.3,54,Fructose_2.0,108,0.01750000000000007,0.1240909090909096,False,n.s.
Fructose_26.3,54,Fructose_22.9,108,0.27,0.49956279069767434,False,n.s.
Fructose_26.3,54,Fructose_7.6,364,0.07410000000000005,0.27522857142857166,False,n.s.
Fructose_26.3,54,Fructose_18.15,54,0.00019999999999997797,0.007799999999999141,True,**
Fructose_26.3,54,Fructose_15.1,108,0.0004999999999999449,0.009749999999998926,True,**
Fructose_19.2,54,Fructose_26.2,54,0.09620000000000006,0.29580000000000006,False,n.s.
Fructose_19.2,54,Fructose_8.0,162,0.2984500000000001,0.5173133333333335,False,n.s.
Fructose_19.2,54,Fructose_5.6,108,0.041099999999999914,0.17809999999999962,False,n.s.
Fructose_19.2,54,Fructose_2.0,108,0.19514999999999993,0.4113972972972972,False,n.s.
Fructose_19.2,54,Fructose_22.9,108,0.8897,0.9131131578947369,False,n.s.
Fructose_19.2,54,Fructose_7.6,364,0.28774999999999995,0.5101022727272726,False,n.s.
Fructose_19.2,54,Fructose_18.15,54,0.00039999999999995595,0.009749999999998926,True,**
Fructose_19.2,54,Fructose_15.1,108,0.004899999999999904,0.06369999999999876,False,n.s.
Fructose_26.2,54,Fructose_8.0,162,0.8685499999999999,0.906776,False,n.s.
Fructose_26.2,54,Fructose_5.6,108,0.6247,0.7212705882352941,False,n.s.
Fructose_26.2,54,Fructose_2.0,108,0.80125,0.8928214285714285,False,n.s.
Fructose_26.2,54,Fructose_22.9,108,0.0869,0.29470434782608695,False,n.s.
Fructose_26.2,54,Fructose_7.6,364,0.8719,0.906776,False,n.s.
Fructose_26.2,54,Fructose_18.15,54,0.09250000000000003,0.29580000000000006,False,n.s.
Fructose_26.2,54,Fructose_15.1,108,0.2729999999999999,0.49956279069767434,False,n.s.
Fructose_8.0,162,Fructose_5.6,108,0.8344499999999999,0.9044749999999999,False,n.s.
Fructose_8.0,162,Fructose_2.0,108,0.5376,0.702,False,n.s.
Fructose_8.0,162,Fructose_22.9,108,0.1508,0.34030285714285713,False,n.s.
Fructose_8.0,162,Fructose_7.6,364,0.62845,0.7212705882352941,False,n.s.
Fructose_8.0,162,Fructose_18.15,54,0.3767499999999999,0.5997244897959183,False,n.s.
Fructose_8.0,162,Fructose_15.1,108,0.5539000000000001,0.7082655737704919,False,n.s.
Fructose_5.6,108,Fructose_2.0,108,0.25535,0.49956279069767434,False,n.s.
Fructose_5.6,108,Fructose_22.9,108,0.0273,0.16380000000000003,False,n.s.
Fructose_5.6,108,Fructose_7.6,364,0.41385,0.6137444444444445,False,n.s.
Fructose_5.6,108,Fructose_18.15,54,0.36840000000000006,0.59865,False,n.s.
Fructose_5.6,108,Fructose_15.1,108,0.5303500000000001,0.702,False,n.s.
Fructose_2.0,108,Fructose_22.9,108,0.1108,0.3099107142857145,False,n.s.
Fructose_2.0,108,Fructose_7.6,364,0.9474,0.9474,False,n.s.
Fructose_2.0,108,Fructose_18.15,54,0.01330000000000009,0.11387999999999959,False,n.s.
Fructose_2.0,108,Fructose_15.1,108,0.07929999999999993,0.2811545454545452,False,n.s.
Fructose_22.9,108,Fructose_7.6,364,0.13319999999999999,0.324675,False,n.s.
Fructose_22.9,108,Fructose_18.15,54,9.999999999998899e-05,0.007799999999999141,True,**
Fructose_22.9,108,Fructose_15.1,108,0.0006999999999999229,0.010919999999998799,True,*
Fructose_7.6,364,Fructose_18.15,54,0.09860000000000002,0.29580000000000006,False,n.s.
Fructose_7.6,364,Fructose_15.1,108,0.17454999999999998,0.3781916666666666,False,n.s.
Fructose_18.15,54,Fructose_15.1,108,0.6208,0.7212705882352941,False,n.s.
