,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,4,2,35,2,0.025347318677468325,0.042245531129113875,True,*
1,4,2,S4,2,7.744216431044088e-06,2.581405477014696e-05,True,***
2,4,2,H,2,4.340022989092065e-06,2.581405477014696e-05,True,***
3,4,2,S35,2,7.744216431044088e-06,2.581405477014696e-05,True,***
4,35,2,S4,2,0.0034147911781178208,0.0068295823562356415,True,**
5,35,2,H,2,0.04689741514041126,0.052108239044901396,False,n.s.
6,35,2,S35,2,0.0034147911781178208,0.0068295823562356415,True,**
7,S4,2,H,2,0.03915577464616387,0.04894471830770483,True,*
8,S4,2,S35,2,1.0,1.0,False,n.s.
9,H,2,S35,2,0.03915577464616387,0.04894471830770483,True,*
