groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
Salt_8.0,202,Salt_15.0,41,0.01445,0.033716666666666666,True,*
Salt_8.0,202,Salt_1.0,52,0.9217,0.9217,False,n.s.
Salt_8.0,202,Salt_18.8,49,0.26335,0.40712,False,n.s.
Salt_8.0,202,Salt_12.0,50,0.5155,0.6367941176470587,False,n.s.
Salt_8.0,202,Salt_4.0,206,0.4374,0.5740875000000001,False,n.s.
Salt_8.0,202,Salt_6.0,207,0.8541,0.896805,False,n.s.
Salt_15.0,41,Salt_1.0,52,9.999999999998899e-05,0.0006999999999999229,True,***
Salt_15.0,41,Salt_18.8,49,9.999999999998899e-05,0.0006999999999999229,True,***
Salt_15.0,41,Salt_12.0,50,0.010950000000000015,0.032850000000000046,True,*
Salt_15.0,41,Salt_4.0,206,9.999999999998899e-05,0.0006999999999999229,True,***
Salt_15.0,41,Salt_6.0,207,0.00019999999999997797,0.0010499999999998844,True,**
Salt_1.0,52,Salt_18.8,49,0.0008999999999999009,0.003779999999999584,True,**
Salt_1.0,52,Salt_12.0,50,0.17235,0.3016125,False,n.s.
Salt_1.0,52,Salt_4.0,206,0.5471999999999999,0.6384,False,n.s.
Salt_1.0,52,Salt_6.0,207,0.7747,0.8562473684210526,False,n.s.
Salt_18.8,49,Salt_12.0,50,0.0029,0.01015,True,*
Salt_18.8,49,Salt_4.0,206,0.0328,0.06888000000000001,False,n.s.
Salt_18.8,49,Salt_6.0,207,0.01395,0.033716666666666666,True,*
Salt_12.0,50,Salt_4.0,206,0.10610000000000008,0.2025545454545456,False,n.s.
Salt_12.0,50,Salt_6.0,207,0.2744,0.40712,False,n.s.
Salt_4.0,206,Salt_6.0,207,0.2908,0.40712,False,n.s.
