groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
Salt_8.0,216,Salt_15.0,54,0.0166,0.03486,True,*
Salt_8.0,216,Salt_1.0,54,0.45294999999999996,0.5284416666666667,False,n.s.
Salt_8.0,216,Salt_18.8,54,0.01200000000000001,0.028000000000000025,True,*
Salt_8.0,216,Salt_12.0,54,0.6958,0.7111000000000001,False,n.s.
Salt_8.0,216,Salt_4.0,215,0.12624999999999997,0.18937499999999996,False,n.s.
Salt_8.0,216,Salt_6.0,216,0.42245,0.52185,False,n.s.
Salt_15.0,54,Salt_1.0,54,9.999999999998899e-05,0.00042,True,***
Salt_15.0,54,Salt_18.8,54,9.999999999998899e-05,0.00042,True,***
Salt_15.0,54,Salt_12.0,54,0.028000000000000025,0.0534545454545455,False,n.s.
Salt_15.0,54,Salt_4.0,215,9.999999999998899e-05,0.00042,True,***
Salt_15.0,54,Salt_6.0,216,0.00019999999999997797,0.0006999999999999229,True,***
Salt_1.0,54,Salt_18.8,54,9.999999999998899e-05,0.00042,True,***
Salt_1.0,54,Salt_12.0,54,0.0541,0.0873923076923077,False,n.s.
Salt_1.0,54,Salt_4.0,215,0.7111000000000001,0.7111000000000001,False,n.s.
Salt_1.0,54,Salt_6.0,216,0.69675,0.7111000000000001,False,n.s.
Salt_18.8,54,Salt_12.0,54,0.0001,0.00042,True,***
Salt_18.8,54,Salt_4.0,215,0.0036,0.00945,True,**
Salt_18.8,54,Salt_6.0,216,0.0009,0.0027,True,**
Salt_12.0,54,Salt_4.0,215,0.0371999999999999,0.06509999999999982,False,n.s.
Salt_12.0,54,Salt_6.0,216,0.22819999999999996,0.31947999999999993,False,n.s.
Salt_4.0,215,Salt_6.0,216,0.34975,0.459046875,False,n.s.
