groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
ER,200,no,200,0.00019999999999997797,0.00023076923076923076,True,***
ER,200,IE,200,0.0028,0.0028,True,**
ER,200,CI+MK+ER+IE,200,0.0002,0.00023076923076923076,True,***
ER,200,MK,200,0.0002,0.00023076923076923076,True,***
ER,200,CI,200,0.00019999999999997797,0.00023076923076923076,True,***
no,200,IE,200,0.0002,0.00023076923076923076,True,***
no,200,CI+MK+ER+IE,200,0.0002,0.00023076923076923076,True,***
no,200,MK,200,0.0002,0.00023076923076923076,True,***
no,200,CI,200,0.0004,0.0004285714285714286,True,***
IE,200,CI+MK+ER+IE,200,0.0002,0.00023076923076923076,True,***
IE,200,MK,200,0.0002,0.00023076923076923076,True,***
IE,200,CI,200,0.00019999999999997797,0.00023076923076923076,True,***
CI+MK+ER+IE,200,MK,200,0.00019999999999997797,0.00023076923076923076,True,***
CI+MK+ER+IE,200,CI,200,0.00019999999999997797,0.00023076923076923076,True,***
MK,200,CI,200,0.00019999999999997797,0.00023076923076923076,True,***
