groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
no,200,CI+ER+IE,200,0.0002,0.0002,True,***
no,200,CI+ER,200,0.0002,0.0002,True,***
no,200,ER+IE,200,0.0002,0.0002,True,***
no,200,ER,200,0.0002,0.0002,True,***
CI+ER+IE,200,CI+ER,200,0.00019999999999997797,0.0002,True,***
CI+ER+IE,200,ER+IE,200,0.00019999999999997797,0.0002,True,***
CI+ER+IE,200,ER,200,0.00019999999999997797,0.0002,True,***
CI+ER,200,ER+IE,200,0.0002,0.0002,True,***
CI+ER,200,ER,200,0.00019999999999997797,0.0002,True,***
ER+IE,200,ER,200,0.00019999999999997797,0.0002,True,***
