groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
ER,200,no,200,0.00019999999999997797,0.00025,True,***
ER,200,IE,200,0.005,0.005,True,**
ER,200,CI+MK+ER+IE,200,0.0002,0.00025,True,***
ER,200,MK,200,0.0002,0.00025,True,***
ER,200,CI,200,0.0023999999999999577,0.002571428571428526,True,**
no,200,IE,200,0.0002,0.00025,True,***
no,200,CI+MK+ER+IE,200,0.0002,0.00025,True,***
no,200,MK,200,0.0002,0.00025,True,***
no,200,CI,200,0.0004,0.00046153846153846153,True,***
IE,200,CI+MK+ER+IE,200,0.0002,0.00025,True,***
IE,200,MK,200,0.0002,0.00025,True,***
IE,200,CI,200,0.00019999999999997797,0.00025,True,***
CI+MK+ER+IE,200,MK,200,0.00019999999999997797,0.00025,True,***
CI+MK+ER+IE,200,CI,200,0.00019999999999997797,0.00025,True,***
MK,200,CI,200,0.00019999999999997797,0.00025,True,***
