groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
MK+ER+IE,200,MK+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,MK+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI+MK+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,no,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI+ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
MK+ER+IE,200,CI+MK+IE,200,0.0026999999999999247,0.0029189189189188372,True,**
MK+ER+IE,200,CI+MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,MK+IE,200,0.0002,0.00022222222222222223,True,***
MK+ER,200,CI+MK+ER,200,0.0507,0.05244827586206897,False,n.s.
MK+ER,200,CI+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,no,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,CI+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,CI+ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
MK+ER,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
MK+ER,200,CI+MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+ER,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
ER+IE,200,MK+IE,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI+MK+ER,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
ER+IE,200,ER,200,0.00019999999999997797,0.00022222222222222223,True,***
ER+IE,200,no,200,0.00019999999999997797,0.00022222222222222223,True,***
ER+IE,200,IE,200,0.00019999999999997797,0.00022222222222222223,True,***
ER+IE,200,CI+IE,200,0.5137,0.5137,False,n.s.
ER+IE,200,CI+ER+IE,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI+MK+IE,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI+MK,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,MK,200,0.0002,0.00022222222222222223,True,***
ER+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,CI+MK+ER,200,0.015900000000000025,0.016591304347826113,True,*
MK+IE,200,CI+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,ER,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,no,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,CI+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,CI+ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,CI+MK+ER+IE,200,0.0002,0.00022222222222222223,True,***
MK+IE,200,CI+MK+IE,200,0.002,0.002181818181818182,True,**
MK+IE,200,CI+MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,MK,200,0.00019999999999997797,0.00022222222222222223,True,***
MK+IE,200,CI,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,CI+ER,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,ER,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,no,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,IE,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,CI+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
CI+MK+ER,200,CI+ER+IE,200,0.00019999999999997797,0.00022222222222222223,True,***
