groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
MK+ER+IE,200,MK+ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,ER+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,MK+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI+MK+ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI+ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,no,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI+ER+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI+MK+ER+IE,200,0.0002,0.00022429906542056075,True,***
MK+ER+IE,200,CI+MK+IE,200,0.0025999999999999357,0.002810810810810741,True,**
MK+ER+IE,200,CI+MK,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,MK,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER+IE,200,CI,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,ER+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,MK+IE,200,0.0002,0.00022429906542056075,True,***
MK+ER,200,CI+MK+ER,200,0.0567,0.0586551724137931,False,n.s.
MK+ER,200,CI+ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,ER,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,no,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,CI+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,CI+ER+IE,200,0.00019999999999997797,0.00022429906542056075,True,***
MK+ER,200,CI+MK+ER+IE,200,0.0002,0.00022429906542056075,True,***
MK+ER,200,CI+MK+IE,200,0.0002,0.00022429906542056075,True,***
MK+ER,200,CI+MK,200,0.00019999999999997797,0.00022429906542056075,True,***
