groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+IE,200,CI,200,0.0094,0.009748148148148148,True,**
CI+IE,200,ER+IE,200,0.0002,0.00025454545454545456,True,***
CI+IE,200,no,200,0.0002,0.00025454545454545456,True,***
CI+IE,200,CI+ER+IE,200,0.00019999999999997797,0.00025454545454545456,True,***
CI+IE,200,CI+ER,200,0.00019999999999997797,0.00025454545454545456,True,***
CI+IE,200,IE,200,0.0002,0.00025454545454545456,True,***
CI+IE,200,ER,200,0.0002,0.00025454545454545456,True,***
CI,200,ER+IE,200,0.0002,0.00025454545454545456,True,***
CI,200,no,200,0.0002,0.00025454545454545456,True,***
CI,200,CI+ER+IE,200,0.00029999999999996696,0.00034999999999996145,True,***
CI,200,CI+ER,200,0.00019999999999997797,0.00025454545454545456,True,***
CI,200,IE,200,0.0002,0.00025454545454545456,True,***
CI,200,ER,200,0.0002,0.00025454545454545456,True,***
ER+IE,200,no,200,0.00019999999999997797,0.00025454545454545456,True,***
ER+IE,200,CI+ER+IE,200,0.00019999999999997797,0.00025454545454545456,True,***
ER+IE,200,CI+ER,200,0.00029999999999996696,0.00034999999999996145,True,***
ER+IE,200,IE,200,0.00039999999999995595,0.00044799999999995066,True,***
ER+IE,200,ER,200,0.00019999999999997797,0.00025454545454545456,True,***
no,200,CI+ER+IE,200,0.00019999999999997797,0.00025454545454545456,True,***
no,200,CI+ER,200,0.00019999999999997797,0.00025454545454545456,True,***
no,200,IE,200,0.0002,0.00025454545454545456,True,***
no,200,ER,200,0.021400000000000086,0.021400000000000086,True,*
CI+ER+IE,200,CI+ER,200,0.0005999999999999339,0.000646153846153775,True,***
CI+ER+IE,200,IE,200,0.0002,0.00025454545454545456,True,***
CI+ER+IE,200,ER,200,0.0002,0.00025454545454545456,True,***
CI+ER,200,IE,200,0.0002,0.00025454545454545456,True,***
CI+ER,200,ER,200,0.0002,0.00025454545454545456,True,***
IE,200,ER,200,0.00019999999999997797,0.00025454545454545456,True,***
