
--- Summary of Test Results (FDR alpha = 0.05) ---
Group               | Wilcoxon W  | Original p   | Corrected q   | Reject H0   
-------------------------------------------------------------------------------
id_female_18.15     | 143.00      | 0.2792       | 0.4189        | False       
id_male_18.15       | 133.00      | 0.1855       | 0.3656        | False       
id_male_26.2        | 168.00      | 0.6277       | 0.7663        | False       
id_female_26.2      | 128.50      | 0.1551       | 0.3656        | False       
id_male_26.6        | 1.00        | 0.5000       | 0.6500        | False       
id_female_26.6      | 0.00        | 0.2500       | 0.3900        | False       
id_female_5.6       | 586.50      | 0.1804       | 0.3656        | False       
id_male_5.6         | 605.00      | 0.2381       | 0.3900        | False       
id_female_15.1      | 596.00      | 0.2086       | 0.3699        | False       
id_male_15.1        | 596.00      | 0.2086       | 0.3699        | False       
id_female_10.6      | 182.00      | 0.8779       | 0.9125        | False       
id_male_10.6        | 153.00      | 0.3997       | 0.5568        | False       
id_female_26.3      | 118.00      | 0.0906       | 0.2355        | False       
id_male_26.3        | 42.50       | 0.0002       | 0.0050        | True        
id_female_22.9      | 525.50      | 0.0623       | 0.2025        | False       
id_male_22.9        | 419.00      | 0.0054       | 0.0422        | True        
id_female_19.2      | 87.00       | 0.0130       | 0.0754        | False       
id_male_19.2        | 102.00      | 0.0362       | 0.1569        | False       
id_male_7.6         | 7472.00     | 0.1875       | 0.3656        | False       
id_female_7.6       | 6647.00     | 0.0245       | 0.1192        | False       
id_male_14.0        | 2492.00     | 0.1673       | 0.3656        | False       
id_female_14.0      | 2875.00     | 0.8361       | 0.9058        | False       
id_male_8.0         | 1605.00     | 0.7957       | 0.8907        | False       
id_female_8.0       | 1606.00     | 0.7993       | 0.8907        | False       
id_male_2.0         | 638.00      | 0.3705       | 0.5352        | False       
id_female_2.0       | 516.00      | 0.0517       | 0.1832        | False       
pool_Fructose_18.15 | 539.50      | 0.0812       | 0.2263        | False       
pool_Fructose_26.2  | 686.00      | 0.6288       | 0.7663        | False       
pool_Fructose_26.6  | 10.00       | 1.0000       | 1.0000        | False       
pool_Fructose_5.6   | 2897.00     | 0.8891       | 0.9125        | False       
pool_Fructose_15.1  | 2364.00     | 0.0761       | 0.2263        | False       
pool_Fructose_10.6  | 662.00      | 0.4909       | 0.6500        | False       
pool_Fructose_26.3  | 317.50      | 0.0003       | 0.0050        | True        
pool_Fructose_22.9  | 1868.00     | 0.0010       | 0.0129        | True        
pool_Fructose_19.2  | 375.00      | 0.0016       | 0.0154        | True        
pool_Fructose_7.6   | 28254.50    | 0.0135       | 0.0754        | False       
pool_Fructose_14.0  | 10651.50    | 0.2464       | 0.3900        | False       
pool_Fructose_8.0   | 6372.00     | 0.7018       | 0.8293        | False       
pool_Fructose_2.0   | 2279.00     | 0.0420       | 0.1637        | False       
-------------------------------------------------------------------------------
