response,statistic,method,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
Tukutuku,meanDiff,pooled,pre_ctrl,480,post_ctrl,480,0.4375,0.4375,False,n.s.
Oligosoma,meanDiff,pooled,pre_ctrl,480,post_ctrl,480,0.0274,0.0274,True,*
total_lizard,meanDiff,pooled,pre_ctrl,480,post_ctrl,480,0.04165,0.04165,True,*
Rattus,meanDiff,pooled,pre_ctrl,320,post_ctrl,320,0.01110000000000011,0.01110000000000011,True,*
Lizard,meanDiff,pooled,pre_ctrl,320,post_ctrl,320,0.6207,0.6207,False,n.s.
Nothing,meanDiff,pooled,pre_ctrl,480,post_ctrl,480,0.08420000000000005,0.08420000000000005,False,n.s.
Tukutuku,meanDiff,ACO,pre_ctrl,160,post_ctrl,160,0.2836,0.2836,False,n.s.
Oligosoma,meanDiff,ACO,pre_ctrl,160,post_ctrl,160,0.68005,0.68005,False,n.s.
total_lizard,meanDiff,ACO,pre_ctrl,160,post_ctrl,160,0.2389,0.2389,False,n.s.
Nothing,meanDiff,ACO,pre_ctrl,160,post_ctrl,160,0.17284999999999995,0.17284999999999995,False,n.s.
Tukutuku,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.99535,0.99535,False,n.s.
Oligosoma,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.1112,0.1112,False,n.s.
total_lizard,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.22165,0.22165,False,n.s.
Rattus,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.010000000000000009,0.010000000000000009,True,*
Lizard,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.49645,0.49645,False,n.s.
Nothing,meanDiff,BTT,pre_ctrl,160,post_ctrl,160,0.9985,0.9985,False,n.s.
Tukutuku,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.6241000000000001,0.6241000000000001,False,n.s.
Oligosoma,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.1179,0.1179,False,n.s.
total_lizard,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.2323,0.2323,False,n.s.
Rattus,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.99995,0.99995,False,n.s.
Lizard,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.99135,0.99135,False,n.s.
Nothing,meanDiff,STT,pre_ctrl,160,post_ctrl,160,0.09499999999999997,0.09499999999999997,False,n.s.
