,groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
0,pos4,2,neg3,2,0.13603712811414423,0.20405569217121636,False,n.s.
1,pos4,2,neg4,2,0.32911398597860525,0.37974690689839063,False,n.s.
2,pos4,2,posH,2,0.023492304402167447,0.04752622252025311,True,*
3,pos4,2,pos3,2,0.13603712811414423,0.20405569217121636,False,n.s.
4,pos4,2,negH,2,0.1711947331169503,0.23344736334129587,False,n.s.
5,neg3,2,neg4,2,0.025347318677468325,0.04752622252025311,True,*
6,neg3,2,posH,2,0.0005243819470745452,0.003932864603059089,True,**
7,neg3,2,pos3,2,1.0,1.0,False,n.s.
8,neg3,2,negH,2,0.008656630145002737,0.03246236304376027,True,*
9,neg4,2,posH,2,0.28979565147822584,0.3622445643477823,False,n.s.
10,neg4,2,pos3,2,0.025347318677468325,0.04752622252025311,True,*
11,neg4,2,negH,2,0.8987080285451663,0.9629014591555353,False,n.s.
12,posH,2,pos3,2,0.0005243819470745446,0.003932864603059089,True,**
13,posH,2,negH,2,0.021389646146193764,0.04752622252025311,True,*
14,pos3,2,negH,2,0.008656630145002737,0.03246236304376027,True,*
