
--- Summary of Test Results (FDR alpha = 0.05) ---
Group          | Wilcoxon W  | Original p   | Corrected q   | Reject H0   
--------------------------------------------------------------------------
id_male_1.0    | 181.50      | 0.8593       | 0.8593        | False       
id_female_1.0  | 132.00      | 0.1775       | 0.2663        | False       
id_male_18.8   | 120.50      | 0.1004       | 0.1978        | False       
id_female_18.8 | 40.00       | 0.0001       | 0.0026        | True        
id_female_6.0  | 2411.50     | 0.1036       | 0.1978        | False       
id_male_6.0    | 2632.00     | 0.3412       | 0.4478        | False       
id_female_15.0 | 97.50       | 0.0280       | 0.0981        | False       
id_male_15.0   | 89.50       | 0.0162       | 0.0850        | False       
id_female_12.0 | 176.00      | 0.7676       | 0.8060        | False       
id_male_12.0   | 130.00      | 0.1624       | 0.2626        | False       
id_male_4.0    | 2305.50     | 0.0509       | 0.1526        | False       
id_female_4.0  | 2631.50     | 0.4244       | 0.4952        | False       
id_male_8.0    | 2487.00     | 0.1626       | 0.2626        | False       
id_female_8.0  | 2331.00     | 0.0609       | 0.1598        | False       
pool_Salt_1.0  | 657.50      | 0.4669       | 0.5160        | False       
pool_Salt_18.8 | 329.50      | 0.0004       | 0.0040        | True        
pool_Salt_6.0  | 10093.50    | 0.0774       | 0.1805        | False       
pool_Salt_15.0 | 375.00      | 0.0015       | 0.0105        | True        
pool_Salt_12.0 | 624.00      | 0.3095       | 0.4333        | False       
pool_Salt_4.0  | 10875.00    | 0.4212       | 0.4952        | False       
pool_Salt_8.0  | 9605.50     | 0.0216       | 0.0908        | False       
--------------------------------------------------------------------------
