groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+MK+ER+IE,200,MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,no,200,0.00029999999999996696,0.0013999999999998458,True,**
CI+MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,no,200,0.00039999999999995595,0.0015999999999998238,True,**
MK+ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,no,200,0.00019999999999997797,0.0013999999999998458,True,**
MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,no,200,0.00029999999999996696,0.0013999999999998458,True,**
ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,no,200,0.00019999999999997797,0.0013999999999998458,True,**
CI+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
no,200,CI+ER,200,0.0002,0.0013999999999998458,True,**
no,200,ER,200,0.0002,0.0013999999999998458,True,**
CI+ER,200,ER,200,0.9999,0.9999,False,n.s.
