groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
MK,200,CI+MK+ER+IE,200,0.9999,0.9999,False,n.s.
MK,200,no,200,0.00019999999999997797,0.0006000000000000001,True,***
MK,200,IE,200,0.9999,0.9999,False,n.s.
MK,200,ER,200,0.9999,0.9999,False,n.s.
MK,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,no,200,0.00019999999999997797,0.0006000000000000001,True,***
CI+MK+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
no,200,IE,200,0.0002,0.0006000000000000001,True,***
no,200,ER,200,0.0002,0.0006000000000000001,True,***
no,200,CI,200,0.0001,0.0006000000000000001,True,***
IE,200,ER,200,0.9999,0.9999,False,n.s.
IE,200,CI,200,0.9999,0.9999,False,n.s.
ER,200,CI,200,0.9999,0.9999,False,n.s.
