groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+IE,200,CI+MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,no,200,0.04410000000000003,0.5003076923076922,False,n.s.
CI+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,no,200,0.044399999999999995,0.5003076923076922,False,n.s.
CI+MK+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,no,200,0.04370000000000007,0.5003076923076922,False,n.s.
MK+ER,200,CI+MK,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI,200,0.9999,0.9999,False,n.s.
MK+ER,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER,200,MK,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,no,200,0.043199999999999905,0.5003076923076922,False,n.s.
MK+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,no,200,0.05269999999999997,0.5003076923076922,False,n.s.
ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,no,200,0.043299999999999894,0.5003076923076922,False,n.s.
CI+ER+IE,200,CI+MK,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,MK,200,0.9999,0.9999,False,n.s.
no,200,CI+MK,200,0.0435,0.5003076923076922,False,n.s.
no,200,CI+MK+ER,200,0.0395,0.5003076923076922,False,n.s.
no,200,IE,200,0.9999,0.9999,False,n.s.
no,200,MK+IE,200,0.0542,0.5003076923076922,False,n.s.
no,200,CI,200,0.047,0.5003076923076922,False,n.s.
no,200,ER,200,0.0005,0.060000000000000005,False,n.s.
no,200,CI+ER,200,0.0488,0.5003076923076922,False,n.s.
no,200,CI+MK+IE,200,0.0442,0.5003076923076922,False,n.s.
no,200,MK,200,0.339,0.9999,False,n.s.
CI+MK,200,CI+MK+ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+MK+ER,200,MK,200,0.9999,0.9999,False,n.s.
IE,200,MK+IE,200,0.9999,0.9999,False,n.s.
IE,200,CI,200,0.9999,0.9999,False,n.s.
IE,200,ER,200,0.9999,0.9999,False,n.s.
IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
IE,200,MK,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI,200,0.9999,0.9999,False,n.s.
MK+IE,200,ER,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
MK+IE,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
MK+IE,200,MK,200,0.9999,0.9999,False,n.s.
CI,200,ER,200,0.9999,0.9999,False,n.s.
CI,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI,200,MK,200,0.9999,0.9999,False,n.s.
ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
ER,200,MK,200,0.9999,0.9999,False,n.s.
CI+ER,200,CI+MK+IE,200,0.9999,0.9999,False,n.s.
CI+ER,200,MK,200,0.9999,0.9999,False,n.s.
CI+MK+IE,200,MK,200,0.9999,0.9999,False,n.s.
