groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+IE,200,CI+MK+ER+IE,200,0.9999,1.0,False,n.s.
CI+IE,200,MK+ER,200,0.2447,0.3863684210526316,False,n.s.
CI+IE,200,MK+ER+IE,200,0.022,0.056249999999999994,False,n.s.
CI+IE,200,ER+IE,199,0.1202,0.21854545454545454,False,n.s.
CI+IE,200,CI+ER+IE,200,0.02069999999999994,0.05519999999999984,False,n.s.
CI+IE,200,no,16,0.0106,0.0318,True,*
CI+IE,200,CI+MK,200,0.9999,1.0,False,n.s.
CI+IE,200,CI+MK+ER,200,0.9999,1.0,False,n.s.
CI+IE,200,IE,139,0.4055,0.5792857142857144,False,n.s.
CI+IE,200,MK+IE,199,0.0185,0.05045454545454545,False,n.s.
CI+IE,200,CI,200,0.9999,1.0,False,n.s.
CI+IE,200,ER,154,0.0002,0.0018461538461538461,True,**
CI+IE,200,CI+ER,200,0.9999,1.0,False,n.s.
CI+IE,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI+IE,200,MK,187,0.0031,0.013285714285714284,True,*
CI+MK+ER+IE,200,MK+ER,200,0.1839,0.3108169014084507,False,n.s.
CI+MK+ER+IE,200,MK+ER+IE,200,0.0001,0.0018461538461538461,True,**
CI+MK+ER+IE,200,ER+IE,199,0.3611,0.5349629629629629,False,n.s.
CI+MK+ER+IE,200,CI+ER+IE,200,0.42700000000000005,0.5889655172413794,False,n.s.
CI+MK+ER+IE,200,no,16,0.0848,0.16681967213114754,False,n.s.
CI+MK+ER+IE,200,CI+MK,200,0.9999,1.0,False,n.s.
CI+MK+ER+IE,200,CI+MK+ER,200,0.9999,1.0,False,n.s.
CI+MK+ER+IE,200,IE,139,0.058,0.11898305084745762,False,n.s.
CI+MK+ER+IE,200,MK+IE,199,0.2592,0.4039480519480519,False,n.s.
CI+MK+ER+IE,200,CI,200,0.9999,1.0,False,n.s.
CI+MK+ER+IE,200,ER,154,0.0002,0.0018461538461538461,True,**
CI+MK+ER+IE,200,CI+ER,200,0.9999,1.0,False,n.s.
CI+MK+ER+IE,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI+MK+ER+IE,200,MK,187,0.0222,0.056249999999999994,False,n.s.
MK+ER,200,MK+ER+IE,200,0.23930000000000007,0.3828800000000001,False,n.s.
MK+ER,200,ER+IE,199,0.0225,0.056249999999999994,False,n.s.
MK+ER,200,CI+ER+IE,200,0.010499999999999954,0.0318,True,*
MK+ER,200,no,16,0.0002,0.0018461538461538461,True,**
MK+ER,200,CI+MK,200,1.0,1.0,False,n.s.
MK+ER,200,CI+MK+ER,200,0.0038000000000000256,0.014470588235294091,True,*
MK+ER,200,IE,139,0.0368,0.07907142857142857,False,n.s.
MK+ER,200,MK+IE,199,0.004,0.014470588235294091,True,*
MK+ER,200,CI,200,0.9999,1.0,False,n.s.
MK+ER,200,ER,154,0.0002,0.0018461538461538461,True,**
MK+ER,200,CI+ER,200,0.3869,0.5661951219512196,False,n.s.
MK+ER,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
MK+ER,200,MK,187,0.0037,0.014470588235294091,True,*
MK+ER+IE,200,ER+IE,199,0.012,0.0351219512195122,True,*
MK+ER+IE,200,CI+ER+IE,200,0.9999,1.0,False,n.s.
MK+ER+IE,200,no,16,0.0045,0.015,True,*
MK+ER+IE,200,CI+MK,200,0.9999,1.0,False,n.s.
MK+ER+IE,200,CI+MK+ER,200,0.4625999999999999,0.6237303370786516,False,n.s.
MK+ER+IE,200,IE,139,0.0002,0.0018461538461538461,True,**
MK+ER+IE,200,MK+IE,199,0.031,0.06888888888888889,False,n.s.
MK+ER+IE,200,CI,200,0.012499999999999956,0.03571428571428559,True,*
MK+ER+IE,200,ER,154,0.0001,0.0018461538461538461,True,**
MK+ER+IE,200,CI+ER,200,0.0024999999999999467,0.011999999999999744,True,*
MK+ER+IE,200,CI+MK+IE,200,0.0039000000000000146,0.014470588235294091,True,*
MK+ER+IE,200,MK,187,0.0019,0.0095,True,**
ER+IE,199,CI+ER+IE,200,0.04919999999999991,0.10357894736842087,False,n.s.
ER+IE,199,no,16,0.0043,0.014742857142857143,True,*
ER+IE,199,CI+MK,200,0.0826,0.1652,False,n.s.
ER+IE,199,CI+MK+ER,200,0.00039999999999995595,0.003,True,**
ER+IE,199,IE,139,0.1755,0.3008571428571428,False,n.s.
ER+IE,199,MK+IE,199,0.9879,1.0,False,n.s.
ER+IE,199,CI,200,0.0026999999999999247,0.012444444444444444,True,*
ER+IE,199,ER,154,0.4044,0.5792857142857144,False,n.s.
ER+IE,199,CI+ER,200,0.3206,0.4809,False,n.s.
ER+IE,199,CI+MK+IE,200,0.9999,1.0,False,n.s.
ER+IE,199,MK,187,0.1746,0.3008571428571428,False,n.s.
CI+ER+IE,200,no,16,0.5999,0.7998666666666666,False,n.s.
CI+ER+IE,200,CI+MK,200,0.9999,1.0,False,n.s.
CI+ER+IE,200,CI+MK+ER,200,0.0002,0.0018461538461538461,True,**
CI+ER+IE,200,IE,139,0.0001,0.0018461538461538461,True,**
CI+ER+IE,200,MK+IE,199,0.1907,0.31783333333333336,False,n.s.
CI+ER+IE,200,CI,200,0.9999,1.0,False,n.s.
CI+ER+IE,200,ER,154,0.0028,0.012444444444444444,True,*
CI+ER+IE,200,CI+ER,200,0.1652,0.2958805970149254,False,n.s.
CI+ER+IE,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI+ER+IE,200,MK,187,0.0243,0.05951020408163265,False,n.s.
no,16,CI+MK,200,0.00039999999999995595,0.003,True,**
no,16,CI+MK+ER,200,0.00019999999999997797,0.0018461538461538461,True,**
no,16,IE,139,0.030000000000000027,0.06792452830188686,False,n.s.
no,16,MK+IE,199,0.0005999999999999339,0.003789473684210109,True,**
no,16,CI,200,0.00019999999999997797,0.0018461538461538461,True,**
no,16,ER,154,0.058499999999999996,0.11898305084745762,False,n.s.
no,16,CI+ER,200,0.0006999999999999229,0.0041999999999995374,True,**
no,16,CI+MK+IE,200,0.21710000000000007,0.3568767123287673,False,n.s.
no,16,MK,187,0.0005999999999999339,0.003789473684210109,True,**
CI+MK,200,CI+MK+ER,200,0.0036000000000000476,0.014470588235294091,True,*
CI+MK,200,IE,139,0.4263,0.5889655172413794,False,n.s.
CI+MK,200,MK+IE,199,0.0369,0.07907142857142857,False,n.s.
CI+MK,200,CI,200,0.3053999999999999,0.46389873417721506,False,n.s.
CI+MK,200,ER,154,0.2245,0.36405405405405405,False,n.s.
CI+MK,200,CI+ER,200,0.9999,1.0,False,n.s.
CI+MK,200,CI+MK+IE,200,0.42589999999999995,0.5889655172413794,False,n.s.
CI+MK,200,MK,187,0.0283,0.0653076923076923,False,n.s.
CI+MK+ER,200,IE,139,0.0257,0.06047058823529412,False,n.s.
CI+MK+ER,200,MK+IE,199,0.0002,0.0018461538461538461,True,**
CI+MK+ER,200,CI,200,0.9999,1.0,False,n.s.
CI+MK+ER,200,ER,154,0.0004,0.003,True,**
CI+MK+ER,200,CI+ER,200,0.9999,1.0,False,n.s.
CI+MK+ER,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI+MK+ER,200,MK,187,0.0002,0.0018461538461538461,True,**
IE,139,MK+IE,199,0.008599999999999941,0.02715789473684192,True,*
IE,139,CI,200,0.09349999999999992,0.17501538461538463,False,n.s.
IE,139,ER,154,0.9998,1.0,False,n.s.
IE,139,CI+ER,200,0.0004999999999999449,0.003529411764705494,True,**
IE,139,CI+MK+IE,200,0.0014000000000000679,0.007636363636364007,True,**
IE,139,MK,187,0.0887,0.16895238095238094,False,n.s.
MK+IE,199,CI,200,0.001100000000000101,0.006285714285714863,True,**
MK+IE,199,ER,154,0.0166,0.046325581395348835,True,*
MK+IE,199,CI+ER,200,0.08790000000000009,0.16895238095238094,False,n.s.
MK+IE,199,CI+MK+IE,200,0.9999,1.0,False,n.s.
MK+IE,199,MK,187,0.0018,0.009391304347826085,True,**
CI,200,ER,154,0.1739,0.3008571428571428,False,n.s.
CI,200,CI+ER,200,0.9999,1.0,False,n.s.
CI,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI,200,MK,187,0.2962,0.45569230769230773,False,n.s.
ER,154,CI+ER,200,0.0040999999999999925,0.014470588235294091,True,*
ER,154,CI+MK+IE,200,0.008499999999999952,0.02715789473684192,True,*
ER,154,MK,187,0.4402999999999999,0.6004090909090908,False,n.s.
CI+ER,200,CI+MK+IE,200,0.9999,1.0,False,n.s.
CI+ER,200,MK,187,0.0252,0.06047058823529412,False,n.s.
CI+MK+IE,200,MK,187,0.0948,0.17501538461538463,False,n.s.
