groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+ER+IE,200,ER+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,CI+IE,200,0.9999,0.9999,False,n.s.
CI+ER+IE,200,no,200,0.00019999999999997797,0.0009333333333333334,True,***
CI+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
ER+IE,200,ER,200,0.9999,0.9999,False,n.s.
ER+IE,200,IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,CI+IE,200,0.9999,0.9999,False,n.s.
ER+IE,200,no,200,0.00019999999999997797,0.0009333333333333334,True,***
ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI,200,ER,200,0.9999,0.9999,False,n.s.
CI,200,IE,200,0.9999,0.9999,False,n.s.
CI,200,CI+IE,200,0.9999,0.9999,False,n.s.
CI,200,no,200,0.00019999999999997797,0.0009333333333333334,True,***
CI,200,CI+ER,200,0.9999,0.9999,False,n.s.
ER,200,IE,200,0.9999,0.9999,False,n.s.
ER,200,CI+IE,200,0.9999,0.9999,False,n.s.
ER,200,no,200,0.00019999999999997797,0.0009333333333333334,True,***
ER,200,CI+ER,200,0.9999,0.9999,False,n.s.
IE,200,CI+IE,200,0.9999,0.9999,False,n.s.
IE,200,no,200,0.00019999999999997797,0.0009333333333333334,True,***
IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+IE,200,no,200,0.00029999999999996696,0.0011999999999998678,True,**
CI+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
no,200,CI+ER,200,0.0002,0.0009333333333333334,True,***
