groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
CI+MK+ER+IE,200,MK+ER,200,0.1848,0.27233684210526315,False,n.s.
CI+MK+ER+IE,200,MK+ER+IE,200,0.0002,0.0011200000000000001,True,**
CI+MK+ER+IE,200,ER+IE,199,0.3602,0.4577391304347825,False,n.s.
CI+MK+ER+IE,200,CI+ER+IE,200,0.4140999999999999,0.46379199999999987,False,n.s.
CI+MK+ER+IE,200,no,16,0.0817,0.142975,False,n.s.
CI+MK+ER+IE,200,CI+ER,200,0.9999,0.9999,False,n.s.
CI+MK+ER+IE,200,ER,154,0.1416,0.23322352941176472,False,n.s.
MK+ER,200,MK+ER+IE,200,0.23970000000000002,0.33558000000000004,False,n.s.
MK+ER,200,ER+IE,199,0.0248,0.053415384615384615,False,n.s.
MK+ER,200,CI+ER+IE,200,0.008099999999999996,0.02061818181818181,True,*
MK+ER,200,no,16,0.0002,0.0011200000000000001,True,**
MK+ER,200,CI+ER,200,0.3759999999999999,0.4577391304347825,False,n.s.
MK+ER,200,ER,154,0.0002,0.0011200000000000001,True,**
MK+ER+IE,200,ER+IE,199,0.0129,0.030100000000000002,True,*
MK+ER+IE,200,CI+ER+IE,200,0.9999,0.9999,False,n.s.
MK+ER+IE,200,no,16,0.0028,0.00871111111111111,True,**
MK+ER+IE,200,CI+ER,200,0.0025999999999999357,0.00871111111111111,True,**
MK+ER+IE,200,ER,154,0.0002,0.0011200000000000001,True,**
ER+IE,199,CI+ER+IE,200,0.0504,0.1008,False,n.s.
ER+IE,199,no,16,0.0041,0.01148,True,*
ER+IE,199,CI+ER,200,0.31810000000000005,0.4241333333333334,False,n.s.
ER+IE,199,ER,154,0.4099,0.46379199999999987,False,n.s.
CI+ER+IE,200,no,16,0.6164,0.6638153846153846,False,n.s.
CI+ER+IE,200,CI+ER,200,0.1575,0.245,False,n.s.
CI+ER+IE,200,ER,154,0.0002,0.0011200000000000001,True,**
no,16,CI+ER,200,0.0007999999999999119,0.0031999999999996476,True,**
no,16,ER,154,0.05489999999999995,0.1024799999999999,False,n.s.
CI+ER,200,ER,154,0.0003,0.0014,True,**
