groupA,groupA_n,groupB,groupB_n,p value,p value corrected,h,sig. level
MK,187,CI+MK+ER+IE,200,0.031099999999999905,0.08474999999999999,False,n.s.
MK,187,no,16,0.0018,0.009,True,**
MK,187,IE,139,0.0339,0.08474999999999999,False,n.s.
MK,187,ER,154,0.4764,0.5496923076923077,False,n.s.
MK,187,CI,200,0.2506999999999999,0.3133749999999999,False,n.s.
CI+MK+ER+IE,200,no,16,0.0783,0.1305,False,n.s.
CI+MK+ER+IE,200,IE,139,0.0543,0.10462500000000013,False,n.s.
CI+MK+ER+IE,200,ER,154,0.0002,0.002249999999999752,True,**
CI+MK+ER+IE,200,CI,200,0.9999,0.9999,False,n.s.
no,16,IE,139,0.03180000000000005,0.08474999999999999,False,n.s.
no,16,ER,154,0.05580000000000007,0.10462500000000013,False,n.s.
no,16,CI,200,0.00029999999999996696,0.002249999999999752,True,**
IE,139,ER,154,0.9973000000000001,0.9999,False,n.s.
IE,139,CI,200,0.09030000000000005,0.13545000000000007,False,n.s.
ER,154,CI,200,0.22209999999999996,0.30286363636363633,False,n.s.
